id,name,description
SEC-2.1,Section 2.1,Statutory authority for confidentiality of substance use disorder patient records
SEC-2.2,Section 2.2,Purpose and effect
SEC-2.3,Section 2.3,Civil and criminal penalties for violations
SEC-2.4,Section 2.4,Complaints of noncompliance
SEC-2.11,Section 2.11,Definitions
SEC-2.12,Section 2.12,Applicability
SEC-2.13,Section 2.13,Confidentiality restrictions and safeguards
SEC-2.14,Section 2.14,Minor patients
SEC-2.15,Section 2.15,Patients who lack capacity and deceased patients
SEC-2.16,Section 2.16,Security for records and notification of breaches
SEC-2.17,Section 2.17,Undercover agents and informants
SEC-2.18,Section 2.18,Restrictions on the use of identification cards
SEC-2.19,Section 2.19,Disposition of records by discontinued programs
SEC-2.20,Section 2.20,Relationship to state laws
SEC-2.21,Section 2.21,Relationship to federal statutes protecting research subjects against compulsory disclosure
SEC-2.22,Section 2.22,Notice to patients of Federal confidentiality requirements
SEC-2.23,Section 2.23,Patient access and restrictions on use and disclosure
SEC-2.24,Section 2.24,Requirements for intermediaries
SEC-2.25,Section 2.25,Accounting of disclosures
SEC-2.26,Section 2.26,Right to request privacy protection for records
SEC-2.31,Section 2.31,Consent requirements
SEC-2.32,Section 2.32,Notice and copy of consent to accompany disclosure
SEC-2.33,Section 2.33,Uses and disclosures permitted with written consent
SEC-2.34,Section 2.34,Uses and Disclosures to prevent multiple enrollments
SEC-2.35,Section 2.35,Disclosures to elements of the criminal justice system which have referred patients
SEC-2.36,Section 2.36,Disclosures to prescription drug monitoring programs
SEC-2.51,Section 2.51,Medical emergencies
SEC-2.52,Section 2.52,Scientific research
SEC-2.53,Section 2.53,"Management audits, financial audits, and program evaluation"
SEC-2.54,Section 2.54,Disclosures for public health
SEC-2.61,Section 2.61,Legal effect of order
SEC-2.62,Section 2.62,"Order not applicable to records disclosed without consent to researchers, auditors, and evaluators"
SEC-2.63,Section 2.63,Confidential communications
SEC-2.64,Section 2.64,Procedures and criteria for orders authorizing uses and disclosures for noncriminal purposes
SEC-2.65,Section 2.65,Procedures and criteria for orders authorizing use and disclosure of records to criminally investigate or prosecute patients
SEC-2.66,Section 2.66,Procedures and criteria for orders authorizing use and disclosure to investigate a part 2 program or the person holding the records
SEC-2.67,Section 2.67,Orders authorizing the use of undercover agents and informants to investigate employees or agents
SEC-2.68,Section 2.68,Report to the Secretary
