source_id,target_id,rel_type,source_document
sra_s1,sra_s1_q1,HAS_QUESTION,DTOP-OLD
sra_s1,sra_s1_q2,HAS_QUESTION,DTOP-OLD
sra_s1,sra_s1_q3,HAS_QUESTION,DTOP-OLD
sra_s1,sra_s1_q4,HAS_QUESTION,DTOP-OLD
sra_s1,sra_s1_q5,HAS_QUESTION,DTOP-OLD
sra_s1,sra_s1_q6,HAS_QUESTION,DTOP-OLD
sra_s1,sra_s1_q7,HAS_QUESTION,DTOP-OLD
sra_s1,sra_s1_q8,HAS_QUESTION,DTOP-OLD
sra_s1,sra_s1_q9,HAS_QUESTION,DTOP-OLD
sra_s1,sra_s1_q10,HAS_QUESTION,DTOP-OLD
sra_s2,sra_s2_q1,HAS_QUESTION,DTOP-OLD
sra_s2,sra_s2_q2,HAS_QUESTION,DTOP-OLD
sra_s2,sra_s2_q3,HAS_QUESTION,DTOP-OLD
sra_s2,sra_s2_q4,HAS_QUESTION,DTOP-OLD
sra_s2,sra_s2_q5,HAS_QUESTION,DTOP-OLD
sra_s2,sra_s2_q6,HAS_QUESTION,DTOP-OLD
sra_s2,sra_s2_q7,HAS_QUESTION,DTOP-OLD
sra_s2,sra_s2_q8,HAS_QUESTION,DTOP-OLD
sra_s3,sra_s3_q1,HAS_QUESTION,DTOP-OLD
sra_s3,sra_s3_q2,HAS_QUESTION,DTOP-OLD
sra_s3,sra_s3_q3,HAS_QUESTION,DTOP-OLD
sra_s3,sra_s3_q4,HAS_QUESTION,DTOP-OLD
sra_s3,sra_s3_q5,HAS_QUESTION,DTOP-OLD
sra_s3,sra_s3_q6,HAS_QUESTION,DTOP-OLD
sra_s3,sra_s3_q7,HAS_QUESTION,DTOP-OLD
sra_s3,sra_s3_q8,HAS_QUESTION,DTOP-OLD
sra_s3,sra_s3_q9,HAS_QUESTION,DTOP-OLD
sra_s3,sra_s3_q10,HAS_QUESTION,DTOP-OLD
sra_s3,sra_s3_q11,HAS_QUESTION,DTOP-OLD
sra_s3,sra_s3_q12,HAS_QUESTION,DTOP-OLD
sra_s3,sra_s3_q13,HAS_QUESTION,DTOP-OLD
