source_id,target_id,rel_type,next_label,source_document
sra_s1_q1_o1,sra_s1_q2,LEADS_TO,Q2,DTOP-OLD
sra_s1_q1_o2,sra_s1_q5,LEADS_TO,Q5,DTOP-OLD
sra_s1_q1_o3,sra_s1_q5,LEADS_TO,Q5,DTOP-OLD
sra_s1_q2_o1,sra_s1_q3,LEADS_TO,Q3,DTOP-OLD
sra_s1_q2_o2,sra_s1_q4,LEADS_TO,Q4,DTOP-OLD
sra_s1_q2_o3,sra_s1_q4,LEADS_TO,Q4,DTOP-OLD
sra_s1_q3_o1,sra_s1_q4,LEADS_TO,Q4,DTOP-OLD
sra_s1_q3_o2,sra_s1_q4,LEADS_TO,Q4,DTOP-OLD
sra_s1_q3_o3,sra_s1_q4,LEADS_TO,Q4,DTOP-OLD
sra_s1_q3_o4,sra_s1_q4,LEADS_TO,Q4,DTOP-OLD
sra_s1_q3_o5,sra_s1_q4,LEADS_TO,Q4,DTOP-OLD
sra_s1_q4_o1,sra_s1_q6,LEADS_TO,Q6,DTOP-OLD
sra_s1_q4_o2,sra_s1_q6,LEADS_TO,Q6,DTOP-OLD
sra_s1_q4_o3,sra_s1_q6,LEADS_TO,Q6,DTOP-OLD
sra_s1_q4_o4,sra_s1_q6,LEADS_TO,Q6,DTOP-OLD
sra_s1_q6_o1,sra_s1_q7,LEADS_TO,Q7,DTOP-OLD
sra_s1_q6_o2,sra_s1_q7,LEADS_TO,Q7,DTOP-OLD
sra_s1_q6_o3,sra_s1_q7,LEADS_TO,Q7,DTOP-OLD
sra_s1_q6_o4,sra_s1_q7,LEADS_TO,Q7,DTOP-OLD
sra_s1_q6_o5,sra_s1_q7,LEADS_TO,Q7,DTOP-OLD
sra_s1_q7_o1,sra_s1_q8,LEADS_TO,Q8,DTOP-OLD
sra_s1_q7_o2,sra_s1_q8,LEADS_TO,Q8,DTOP-OLD
sra_s1_q7_o3,sra_s1_q8,LEADS_TO,Q8,DTOP-OLD
sra_s1_q7_o4,sra_s1_q8,LEADS_TO,Q8,DTOP-OLD
sra_s1_q8_o1,sra_s1_q9,LEADS_TO,Q9,DTOP-OLD
sra_s1_q9_o1,sra_s1_q10,LEADS_TO,Q10,DTOP-OLD
sra_s2_q1_o1,sra_s2_q2,LEADS_TO,Q2,DTOP-OLD
sra_s2_q1_o2,sra_s2_q2,LEADS_TO,Q2,DTOP-OLD
sra_s2_q2_o1,sra_s2_q3,LEADS_TO,Q3,DTOP-OLD
sra_s2_q2_o2,sra_s2_q3,LEADS_TO,Q3,DTOP-OLD
sra_s2_q2_o3,sra_s2_q5,LEADS_TO,Q5,DTOP-OLD
sra_s2_q2_o4,sra_s2_q5,LEADS_TO,Q5,DTOP-OLD
sra_s2_q2_o5,sra_s2_q5,LEADS_TO,Q5,DTOP-OLD
sra_s2_q3_o1,sra_s2_q4,LEADS_TO,Q4,DTOP-OLD
sra_s2_q3_o2,sra_s2_q4,LEADS_TO,Q4,DTOP-OLD
sra_s2_q3_o3,sra_s2_q5,LEADS_TO,Q5,DTOP-OLD
sra_s2_q4_o1,sra_s2_q5,LEADS_TO,Q5,DTOP-OLD
sra_s2_q4_o2,sra_s2_q5,LEADS_TO,Q5,DTOP-OLD
sra_s2_q4_o3,sra_s2_q5,LEADS_TO,Q5,DTOP-OLD
sra_s2_q4_o4,sra_s2_q5,LEADS_TO,Q5,DTOP-OLD
sra_s2_q5_o1,sra_s2_q6,LEADS_TO,Q6,DTOP-OLD
sra_s2_q5_o2,sra_s2_q6,LEADS_TO,Q6,DTOP-OLD
sra_s2_q5_o3,sra_s2_q6,LEADS_TO,Q6,DTOP-OLD
sra_s2_q5_o4,sra_s2_q6,LEADS_TO,Q6,DTOP-OLD
