safeguard_id,title,asset_type,security_function,implementation_groups,description
1.1,Establish and Maintain Detailed Enterprise Asset Inventory,Devices,Identify,IG1;IG2;IG3,"Establish and maintain an accurate, detailed, and up-to-date inventory of all enterprise assets with the potential to store or process data, to include: end-user devices (including portable and mobile), network devices, non-computing/IoT devices, and servers. Ensure the inventory records the network address (if static), hardware address, machine name, enterprise asset owner, department for each asset, and whether the asset has been approved to connect to the network. For mobile end-user devices, MDM type tools can support this process, where appropriate. This inventory includes assets connected to the infrastructure physically, virtually, remotely, and those within cloud environments. Additionally, it includes assets that are regularly connected to the enterprise’s network infrastructure, even if they are not under control of the enterprise. Review and update the inventory of all enterprise assets bi-annually, or more frequently."
1.2,Address Unauthorized Assets,Devices,Respond,IG1;IG2;IG3,"Ensure that a process exists to address unauthorized assets on a weekly basis. The enterprise may choose to remove the asset from the network, deny the asset from connecting remotely to the network, or quarantine the asset."
1.3,Utilize an Active Discovery Tool,Devices,Detect,IG2;IG3,"Utilize an active discovery tool to identify assets connected to the enterprise’s network. Configure the active discovery tool to execute daily, or more frequently."
1.4,Use Dynamic Host Configuration Protocol (DHCP) Logging to Update,Devices,Identify,IG2;IG3,"Use DHCP logging on all DHCP servers or Internet Protocol (IP) address management tools to update the enterprise’s asset inventory. Review and use logs to update the enterprise’s asset inventory weekly, or more frequently."
1.5,Use a Passive Asset Discovery Tool,Devices,Detect,IG3,"Use a passive discovery tool to identify assets connected to the enterprise’s network. Review and use scans to update the enterprise’s asset inventory at least weekly, or more frequently."
2.1,Establish and Maintain a Software Inventory,Software,Identify,IG1;IG2;IG3,"Establish and maintain a detailed inventory of all licensed software installed on enterprise assets. The software inventory must document the title, publisher, initial install/use date, and business purpose for each entry; where appropriate, include the Uniform Resource Locator (URL), app store(s), version(s), deployment mechanism, decommission date, and number of licenses. Review and update the software inventory bi-annually, or more frequently."
2.2,Ensure Authorized Software is Currently Supported,Software,Identify,IG1;IG2;IG3,"Ensure that only currently supported software is designated as authorized in the software inventory for enterprise assets. If software is unsupported, yet necessary for the fulfillment of the enterprise’s mission, document an exception detailing mitigating controls and residual risk acceptance. For any unsupported software without an exception documentation, designate as unauthorized. Review the software list to verify software support at least monthly, or more frequently."
2.3,Address Unauthorized Software,Software,Respond,IG1;IG2;IG3,"Ensure that unauthorized software is either removed from use on enterprise assets or receives a documented exception. Review monthly, or more frequently."
2.4,Utilize Automated Software Inventory Tools,Software,Detect,IG2;IG3,"Utilize software inventory tools, when possible, throughout the enterprise to automate the discovery and documentation of installed software."
2.5,Allowlist Authorized Software,Software,Protect,IG2;IG3,"Use technical controls, such as application allowlisting, to ensure that only authorized software can execute or be accessed. Reassess bi-annually, or more frequently."
2.6,Allowlist Authorized Libraries,Software,Protect,IG2;IG3,"Use technical controls to ensure that only authorized software libraries, such as specific .dll, .ocx, and .so files, are allowed to load into a system process. Block unauthorized libraries from loading into a system process. Reassess bi-annually, or more frequently."
2.7,Allowlist Authorized Scripts,Software,Protect,IG3,"Use technical controls, such as digital signatures and version control, to ensure that only authorized scripts, such as specific .ps1, and .py files are allowed to execute. Block unauthorized scripts from executing. Reassess bi-annually, or more frequently."
3.1,Establish and Maintain a Data Management Process,Data,Govern,IG1;IG2;IG3,"Establish and maintain a documented data management process. In the process, address data sensitivity, data owner, handling of data, data retention limits, and disposal requirements, based on sensitivity and retention standards for the enterprise. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard."
3.2,Establish and Maintain a Data Inventory,Data,Identify,IG1;IG2;IG3,"Establish and maintain a data inventory based on the enterprise’s data management process. Inventory sensitive data, at a minimum. Review and update inventory annually, at a minimum, with a priority on sensitive data."
3.3,Configure Data Access Control Lists,Data,Protect,IG1;IG2;IG3,"Configure data access control lists based on a user’s need to know. Apply data access control lists, also known as access permissions, to local and remote file systems, databases, and applications."
3.4,Enforce Data Retention,Data,Protect,IG1;IG2;IG3,"Retain data according to the enterprise’s documented data management process. Data retention must include both minimum and maximum timelines."
3.5,Securely Dispose of Data,Data,Protect,IG1;IG2;IG3,"Securely dispose of data as outlined in the enterprise’s documented data management process. Ensure the disposal process and method are commensurate with the data sensitivity."
3.6,Encrypt Data on End-User Devices,Data,Protect,IG1;IG2;IG3,"Encrypt data on end-user devices containing sensitive data. Example implementations can include: Windows BitLocker®, Apple FileVault®, Linux® dm-crypt."
3.7,Establish and Maintain a Data Classification Scheme,Data,Identify,IG2;IG3,"Establish and maintain an overall data classification scheme for the enterprise. Enterprises may use labels, such as “Sensitive, ” “Confidential, ” and “Public, ” and classify their data according to those labels. Review and update the classification scheme annually, or when significant enterprise changes occur that could impact this Safeguard."
3.8,Document Data Flows,Data,Identify,IG2;IG3,"Document data flows. Data flow documentation includes service provider data flows and should be based on the enterprise’s data management process. Review and update documentation annually, or when significant enterprise changes occur that could impact this Safeguard."
3.9,Encrypt Data on Removable Media,Data,Protect,IG2;IG3,"Encrypt data on removable media."
3.10,Encrypt Sensitive Data in Transit,Data,Protect,IG2;IG3,"Encrypt sensitive data in transit. Example implementations can include: Transport Layer Security (TLS) and Open Secure Shell (OpenSSH)."
