from_node_type,from_node_id,relationship_type,to_node_type,to_node_id
Safeguard,1.1,BELONGS_TO_IG,ImplementationGroup,IG1
Safeguard,1.1,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,1.1,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,1.2,BELONGS_TO_IG,ImplementationGroup,IG1
Safeguard,1.2,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,1.2,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,1.3,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,1.3,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,1.4,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,1.4,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,1.5,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,2.1,BELONGS_TO_IG,ImplementationGroup,IG1
Safeguard,2.1,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,2.1,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,2.2,BELONGS_TO_IG,ImplementationGroup,IG1
Safeguard,2.2,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,2.2,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,2.3,BELONGS_TO_IG,ImplementationGroup,IG1
Safeguard,2.3,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,2.3,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,2.4,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,2.4,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,2.5,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,2.5,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,2.6,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,2.6,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,2.7,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,3.1,BELONGS_TO_IG,ImplementationGroup,IG1
Safeguard,3.1,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,3.1,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,3.2,BELONGS_TO_IG,ImplementationGroup,IG1
Safeguard,3.2,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,3.2,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,3.3,BELONGS_TO_IG,ImplementationGroup,IG1
Safeguard,3.3,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,3.3,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,3.4,BELONGS_TO_IG,ImplementationGroup,IG1
Safeguard,3.4,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,3.4,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,3.5,BELONGS_TO_IG,ImplementationGroup,IG1
Safeguard,3.5,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,3.5,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,3.6,BELONGS_TO_IG,ImplementationGroup,IG1
Safeguard,3.6,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,3.6,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,3.7,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,3.7,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,3.8,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,3.8,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,3.9,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,3.9,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,3.10,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,3.10,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,3.11,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,3.11,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,3.12,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,3.12,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,3.13,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,3.14,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,4.1,BELONGS_TO_IG,ImplementationGroup,IG1
Safeguard,4.1,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,4.1,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,4.2,BELONGS_TO_IG,ImplementationGroup,IG1
Safeguard,4.2,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,4.2,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,4.3,BELONGS_TO_IG,ImplementationGroup,IG1
Safeguard,4.3,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,4.3,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,4.4,BELONGS_TO_IG,ImplementationGroup,IG1
Safeguard,4.4,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,4.4,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,4.5,BELONGS_TO_IG,ImplementationGroup,IG1
Safeguard,4.5,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,4.5,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,4.6,BELONGS_TO_IG,ImplementationGroup,IG1
Safeguard,4.6,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,4.6,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,4.7,BELONGS_TO_IG,ImplementationGroup,IG1
Safeguard,4.7,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,4.7,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,4.8,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,4.8,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,4.9,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,4.9,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,4.10,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,4.10,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,4.11,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,4.11,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,4.12,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,5.1,BELONGS_TO_IG,ImplementationGroup,IG1
Safeguard,5.1,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,5.1,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,5.2,BELONGS_TO_IG,ImplementationGroup,IG1
Safeguard,5.2,BELONGS_TO_IG,ImplementationGroup,IG2
Safeguard,5.2,BELONGS_TO_IG,ImplementationGroup,IG3
Safeguard,5.3,BELONGS_TO_IG,ImplementationGroup,IG1
