section_id,section_number,chapter_id,title
SEC-01,1,CHAP-01,Short title and commencement
SEC-02,2,CHAP-01,Definitions
SEC-03,3,CHAP-01,Application of Act
SEC-04,4,CHAP-02,Grounds for processing personal data
SEC-05,5,CHAP-02,Notice
SEC-06,6,CHAP-02,Consent
SEC-07,7,CHAP-02,Certain legitimate uses
SEC-08,8,CHAP-02,General obligations of Data Fiduciary
SEC-09,9,CHAP-02,Processing of personal data of children
SEC-10,10,CHAP-02,Additional obligations of Significant Data Fiduciary
SEC-11,11,CHAP-03,Right to access information about personal data
SEC-12,12,CHAP-03,Right to correction and erasure of personal data
SEC-13,13,CHAP-03,Right of grievance redressal
SEC-14,14,CHAP-03,Right to nominate
SEC-15,15,CHAP-03,Duties of Data Principal
SEC-16,16,CHAP-04,Processing of personal data outside India
SEC-17,17,CHAP-04,Exemptions
SEC-18,18,CHAP-05,Establishment of Board
SEC-19,19,CHAP-05,Composition and qualifications for appointment of Chairperson and Members
SEC-20,20,CHAP-05,"Salary, allowances payable to and term of office"
SEC-21,21,CHAP-05,Disqualifications for appointment and continuation as Chairperson and Members of Board
SEC-22,22,CHAP-05,Resignation by Members and filling of vacancy
SEC-23,23,CHAP-05,Proceedings of Board
SEC-24,24,CHAP-05,Officers and employees of Board
SEC-25,25,CHAP-05,Members and officers to be public servants
SEC-26,26,CHAP-05,Powers of Chairperson
SEC-27,27,CHAP-06,Powers and functions of Board
SEC-28,28,CHAP-06,Procedure to be followed by Board
SEC-29,29,CHAP-07,Appeal to Appellate Tribunal
SEC-30,30,CHAP-07,Orders passed by Appellate Tribunal to be executable as decree
SEC-31,31,CHAP-07,Alternate dispute resolution
SEC-32,32,CHAP-07,Voluntary undertaking
SEC-33,33,CHAP-08,Penalties
SEC-34,34,CHAP-08,Crediting sums realised by way of penalties to Consolidated Fund of India
SEC-35,35,CHAP-09,Protection of action taken in good faith
SEC-36,36,CHAP-09,Power to call for information
SEC-37,37,CHAP-09,Power of Central Government to issue directions
SEC-38,38,CHAP-09,Consistency with other laws
SEC-39,39,CHAP-09,Bar of jurisdiction
SEC-40,40,CHAP-09,Power to make rules
SEC-41,41,CHAP-09,Laying of rules and notifications
SEC-42,42,CHAP-09,Power to amend Schedule
SEC-43,43,CHAP-09,Power to remove difficulties
SEC-44,44,CHAP-09,Amendments to certain Acts
