Relationship_Type,Source_Node_Type,Source_ID,Target_Node_Type,Target_ID,Properties
SUPPORTED_BY,Article,ART-001,Recital,REC-001,order:1
SUPPORTED_BY,Article,ART-001,Recital,REC-002,order:2
SUPPORTED_BY,Article,ART-001,Recital,REC-003,order:3
SUPPORTED_BY,Article,ART-001,Recital,REC-004,order:4
SUPPORTED_BY,Article,ART-001,Recital,REC-005,order:5
SUPPORTED_BY,Article,ART-001,Recital,REC-006,order:6
SUPPORTED_BY,Article,ART-001,Recital,REC-007,order:7
SUPPORTED_BY,Article,ART-001,Recital,REC-008,order:8
SUPPORTED_BY,Article,ART-001,Recital,REC-009,order:9
SUPPORTED_BY,Article,ART-001,Recital,REC-010,order:10
SUPPORTED_BY,Article,ART-001,Recital,REC-011,order:11
SUPPORTED_BY,Article,ART-001,Recital,REC-012,order:12
SUPPORTED_BY,Article,ART-001,Recital,REC-013,order:13
SUPPORTED_BY,Article,ART-002,Recital,REC-014,order:1
SUPPORTED_BY,Article,ART-002,Recital,REC-015,order:2
SUPPORTED_BY,Article,ART-002,Recital,REC-016,order:3
SUPPORTED_BY,Article,ART-002,Recital,REC-017,order:4
SUPPORTED_BY,Article,ART-002,Recital,REC-018,order:5
SUPPORTED_BY,Article,ART-002,Recital,REC-019,order:6
SUPPORTED_BY,Article,ART-002,Recital,REC-020,order:7
SUPPORTED_BY,Article,ART-002,Recital,REC-021,order:8
SUPPORTED_BY,Article,ART-003,Recital,REC-022,order:1
SUPPORTED_BY,Article,ART-003,Recital,REC-023,order:2
SUPPORTED_BY,Article,ART-003,Recital,REC-024,order:3
SUPPORTED_BY,Article,ART-003,Recital,REC-025,order:4
SUPPORTED_BY,Article,ART-004,Recital,REC-026,order:1
SUPPORTED_BY,Article,ART-004,Recital,REC-027,order:2
SUPPORTED_BY,Article,ART-004,Recital,REC-028,order:3
SUPPORTED_BY,Article,ART-004,Recital,REC-029,order:4
SUPPORTED_BY,Article,ART-004,Recital,REC-030,order:5
SUPPORTED_BY,Article,ART-004,Recital,REC-031,order:6
SUPPORTED_BY,Article,ART-004,Recital,REC-032,order:7
