Relationship_Type,Source_Node_Type,Source_ID,Target_Node_Type,Target_ID,Properties
FRAMEWORK_HAS_CHAPTER,Framework,FRAME-001,Chapter,CH-01,1
FRAMEWORK_HAS_CHAPTER,Framework,FRAME-001,Chapter,CH-02,2
FRAMEWORK_HAS_CHAPTER,Framework,FRAME-001,Chapter,CH-03,3
FRAMEWORK_HAS_CHAPTER,Framework,FRAME-001,Chapter,CH-04,4
FRAMEWORK_HAS_CHAPTER,Framework,FRAME-001,Chapter,CH-05,5
FRAMEWORK_HAS_CHAPTER,Framework,FRAME-001,Chapter,CH-06,6
FRAMEWORK_HAS_CHAPTER,Framework,FRAME-001,Chapter,CH-07,7
FRAMEWORK_HAS_CHAPTER,Framework,FRAME-001,Chapter,CH-08,8
FRAMEWORK_HAS_CHAPTER,Framework,FRAME-001,Chapter,CH-09,9
FRAMEWORK_HAS_CHAPTER,Framework,FRAME-001,Chapter,CH-10,10
FRAMEWORK_HAS_CHAPTER,Framework,FRAME-001,Chapter,CH-11,11
