Relationship_Type,Source_Node_Type,Source_ID,Target_Node_Type,Target_ID,Properties
CONTAINS_PARAGRAPH,Recital,REC-001,Paragraph,PARA-001-001,foundational
CONTAINS_PARAGRAPH,Recital,REC-002,Paragraph,PARA-001-002,foundational
CONTAINS_PARAGRAPH,Recital,REC-003,Paragraph,PARA-001-003,foundational
CONTAINS_PARAGRAPH,Recital,REC-004,Paragraph,PARA-002-001,foundational
CONTAINS_PARAGRAPH,Recital,REC-005,Paragraph,PARA-002-002,foundational
CONTAINS_PARAGRAPH,Recital,REC-006,Paragraph,PARA-003-001,foundational
CONTAINS_PARAGRAPH,Recital,REC-007,Paragraph,PARA-004-001,foundational
CONTAINS_PARAGRAPH,Recital,REC-008,Paragraph,PARA-005-001,foundational
CONTAINS_PARAGRAPH,Recital,REC-009,Paragraph,PARA-006-001,foundational
CONTAINS_PARAGRAPH,Recital,REC-010,Paragraph,PARA-007-001,foundational
CONTAINS_PARAGRAPH,Recital,REC-025,Paragraph,PARA-005-001,consent_principle
CONTAINS_PARAGRAPH,Recital,REC-032,Paragraph,PARA-006-001,data_subject_rights
CONTAINS_PARAGRAPH,Recital,REC-050,Paragraph,PARA-015-001,profiling_restriction
CONTAINS_PARAGRAPH,Recital,REC-066,Paragraph,PARA-020-001,data_breach_response
CONTAINS_PARAGRAPH,Recital,REC-089,Paragraph,PARA-032-001,processor_compliance
CONTAINS_PARAGRAPH,Recital,REC-094,Paragraph,PARA-035-001,authority_oversight
CONTAINS_PARAGRAPH,Recital,REC-097,Paragraph,PARA-037-001,cooperation_mechanism
CONTAINS_PARAGRAPH,Recital,REC-130,Paragraph,PARA-055-001,international_transfer
CONTAINS_PARAGRAPH,Recital,REC-155,Paragraph,PARA-077-001,remedies_sanctions
CONTAINS_PARAGRAPH,Recital,REC-165,Paragraph,PARA-090-001,final_provisions
