Node_ID,Node_Type,context_id,name,description,special_requirements,regulated_by_articles,applies_to_data_categories,applies_to_processing_activities
PC001,ProcessingContext,GDPR-EMPLOY,Employment Processing,"Personal data processing in employment relationship context including hiring, management, payroll",Enhanced consent and transparency required,Article 88,"All categories","Recruitment, Performance Evaluation, Payroll"
PC002,ProcessingContext,GDPR-PUB,Public Authority Processing,"Processing by public authorities in official capacity for public interest tasks",Public task lawful basis may apply,Article 6(1)(e),"All categories","Service Delivery, Regulatory Compliance"
PC003,ProcessingContext,GDPR-JOURNO,Journalistic/Artistic Expression,"Processing for journalistic, artistic or literary purposes with public interest consideration",Special derogations may apply,Article 85,"All categories","Publishing, Broadcasting, Creative Production"
PC004,ProcessingContext,GDPR-RESEARCH,Research Processing,"Processing for scientific or historical research purposes including academic studies",May allow for broader purposes,Article 89,"All categories","Data Collection, Analysis, Publication"
PC005,ProcessingContext,GDPR-ARCH,Archiving in Public Interest,"Processing for archiving purposes in public interest with long-term retention",Storage limitation may be relaxed,Article 89,"All categories","Historical Recording, Preservation"
PC006,ProcessingContext,GDPR-STAT,Statistical Processing,"Processing for statistical purposes where results are anonymized or pseudonymized",Strong anonymization requirements,Article 89,"All categories","Market Research, Census, Analytics"
PC007,ProcessingContext,GDPR-XBORDER,Cross-Border Transfer,"Transfer of personal data outside EU/EEA requiring additional safeguards",Transfer mechanisms required,Chapter V,"All categories","International Service Delivery, Cloud Storage"
PC008,ProcessingContext,GDPR-AUTO,Automated Decision Making,"Processing involving automated decision-making with legal or significant effects on data subject",Enhanced rights and transparency,Article 22,"All categories","Credit Scoring, Hiring, Profiling"
PC009,ProcessingContext,GDPR-CHILD,Children's Data Processing,"Processing personal data of children under 16 years with enhanced safeguards",Parental consent or authorization,Article 8,"Children's Personal Data","Education, Online Services"
PC010,ProcessingContext,GDPR-HEALTH,Healthcare Processing,"Processing health data in medical or healthcare context",Healthcare professional privilege applies,Article 9(3),"Health Data, Biometric Data","Medical Treatment, Research"
