node_id,node_name,node_type,definition,official_description,applicable_to,organization_owner,version,status,key_features
glba_pn_001,Privacy Notice with Opt-Out Rights,Document,"Formal privacy notice document required by GLBA Financial Privacy Rule that financial institutions must provide to consumers when they share nonpublic personal information with non-affiliated third parties. Includes explanation of consumer's right to opt out of such disclosures, methods to opt out, and deadline for opting out.","Privacy notice with opt-out is required when financial institution shares NPI with non-affiliated third parties outside of GLBA exceptions. Must be provided: (1) at account opening or establishment of customer relationship (initial notice), (2) at least annually thereafter (annual notice), (3) when material privacy practices change (revised notice). Notice must clearly and conspicuously describe consumer's right to direct institution not to share NPI with non-affiliated third parties. Must provide reasonable opt-out methods (online, telephone, mail). Must specify reasonable time period for consumer to opt out before disclosure occurs. Must inform consumer about any right to revoke opt-out. Notice format must be clear, conspicuous, accurate, plain language, and reasonably formatted for consumer comprehension. Model form available (Regulation P Appendix A) with specific format and content requirements. Electronic delivery permitted with consumer consent.","All consumers and customers of financial institutions that share NPI with non-affiliated third parties outside of GLBA exceptions; Required for each consumer/customer relationship where sharing occurs","Financial institution developing and distributing notice; Privacy Officer or designated privacy personnel responsible for notice content and delivery; Customer service departments responsible for processing opt-out requests","Regulation P Sections 1016.4, 1016.5, 1016.6, 1016.7, 1016.9; 16 CFR Part 1016 Appendix A (Model Privacy Form); FAST Act amendments (December 4, 2015); Updated through 2026","Active requirement; Annual notice exemption available under FAST Act for qualifying institutions","Initial notice at account opening required (or establishment of customer relationship); Annual notice required (unless FAST Act exemption applies); Clear and conspicuous presentation required; Plain language requirement (no complex terminology); Reasonably formatted for readability and comprehension; Must include full description of opt-out rights and methods; Must explain what information institution shares with non-affiliates; Must specify deadline for opting out (minimum reasonable timeframe); Must describe consequences of opting out vs. not opting out; Must provide opt-out methods: online (if available), telephone toll-free number, mail-in form, or other reasonable means; Must identify non-affiliate categories (e.g., mortgage companies, insurance companies, direct marketing companies, non-profits); Must explain affiliate vs. non-affiliate distinctions; Must describe customer's right to revoke opt-out election; For ongoing customers, annual reminder of opt-out rights required; Model form available with standardized format meeting all requirements; Electronic delivery permitted with consumer consent; Must be provided before sharing NPI with non-affiliates (unless consumer has already opted out)"
glba_pn_002,Privacy Notice without Opt-Out,Document,"Formal privacy notice document required by GLBA Financial Privacy Rule for financial institutions that do not share nonpublic personal information with non-affiliated third parties outside of GLBA exceptions. Simplified notice describing institution's privacy practices without opt-out requirements or methods.","Privacy notice without opt-out is required when financial institution limits NPI sharing to: (1) affiliates, (2) service providers under contract, (3) disclosures required by law, (4) GLBA exceptions (Sections 502(b)(2) and 502(e)). Simplified notice may omit opt-out section and related requirements. Must still accurately describe institution's privacy practices regarding NPI collection, use, and protection. Must be provided at account opening and annually (unless FAST Act exemption applies). Notice must be clear, conspicuous, accurate, plain language, reasonably formatted. Electronic delivery permitted with consumer consent. Model form available (Regulation P Appendix A) with option to omit opt-out section.","All consumers and customers of financial institutions that do not share NPI with non-affiliated third parties outside of GLBA exceptions; May be used by institutions that only share within GLBA exceptions","Financial institution developing and distributing notice; Privacy Officer responsible for determining whether opt-out notice is required; Customer service departments responsible for notice delivery","Regulation P Sections 1016.4, 1016.5, 1016.6, 1016.13, 1016.14, 1016.15; 16 CFR Part 1016 Appendix A; FAST Act amendments (December 4, 2015); Updated through 2026","Active requirement; Simplified form available when institution qualifies","Initial notice at account opening required (or establishment of customer relationship); Annual notice required (unless FAST Act exemption applies); Clear and conspicuous format required; Plain language requirement; Reasonably formatted for readability; Must describe NPI categories collected; Must describe how NPI is used; Must describe security and confidentiality practices; May omit opt-out section if institution does not share NPI with non-affiliates outside exceptions; Simplified format acceptable if only using GLBA exceptions; Model form available with simplified format; Electronic delivery permitted with consumer consent; Less detailed than notice with opt-out, but still must address GLBA requirements"
glba_pn_003,Initial Privacy Notice (Account Opening),Document,"Privacy notice provided at time of account opening or establishment of customer relationship with financial institution. Initial notice informs new customers of institution's privacy policies and practices and consumer rights before any information sharing occurs.","Initial privacy notice must be provided not later than when financial institution establishes customer relationship unless the institution can demonstrate it would substantially delay the transaction and customer agrees to wait. For non-customer consumers, notice must be provided before institution shares NPI with non-affiliated third parties. Notice must accurately describe institution's privacy policies and practices. Must include description of NPI categories collected and used. Must describe how NPI is protected. Must disclose any information sharing with affiliates. Must disclose any sharing with non-affiliates (if applicable). If sharing with non-affiliates outside exceptions, must include full opt-out notice and methods. Electronic delivery permitted if consumer consents.","New customers at account opening, consumers establishing relationship with financial institution, non-customer consumers before NPI is shared","Financial institution providing account opening services; New accounts department; Customer service representatives; Privacy Officer","Regulation P Sections 1016.4, 1016.5; 16 CFR Part 1016; FAST Act amendments; Updated through 2026","Active requirement; No exemptions for initial notice","Must be provided not later than when relationship is established (unless substantially delays transaction); Clear and conspicuous format; Plain language; Reasonable formatting; Must be provided in writing or electronically (if consumer consents); Must include all required disclosures applicable to institution's practices; For institutions sharing with non-affiliates, must include full opt-out notice (rights, methods, deadlines); For institutions not sharing with non-affiliates, may use simplified notice; Must be retained by institution for at least [time period] per state law; May be combined with other notices (e.g., Truth in Lending, Truth in Savings) if each maintains 'clear and conspicuous' requirement; Must be understandable to average consumer; Model form available for standardized format"
glba_pn_004,Annual Privacy Notice,Document,"Annual privacy notice required to be provided at least once every 12 consecutive months to existing customers throughout duration of customer relationship. Annual notice informs customers of institution's current privacy policies and practices and any changes since previous disclosure.","Annual privacy notice must be delivered on a consistent basis at least once in any 12-month period for as long as customer relationship lasts. Notice must accurately describe institution's current privacy policies and practices. If institution has not changed privacy practices and is not subject to FAST Act exception, notice may be brief version if most recent notice provided was comprehensive. If privacy practices have changed, notice must reflect new practices. Must be clear, conspicuous, accurate, plain language, reasonably formatted. Electronic delivery permitted if consumer consents. Notice should be delivered at consistent intervals (e.g., annually on account anniversary, or once per calendar year).","All existing customers of financial institutions for duration of customer relationship; Required for customers even if no longer actively using accounts","Financial institution responsible for annual delivery; Privacy Officer overseeing compliance; Customer service/billing department responsible for delivery","Regulation P Sections 1016.5; 16 CFR Part 1016; FAST Act amendments (December 4, 2015 - permits exemption in certain cases); Updated through 2026","Active requirement; Exemption available under FAST Act if: (1) institution only shares NPI in accordance with Sections 502(b)(2) or 502(e), AND (2) institution's policies/practices have not changed since last disclosure","Must be delivered at least once every 12 consecutive months to all existing customers; Delivery on consistent basis (e.g., anniversary, calendar year); May be brief if no changes and FAST Act exemption criteria met (institution only shares per exceptions and practices unchanged); Must include all disclosure categories applicable to institution's practices; If practices have changed, must describe changes; May be combined with other periodic statements (e.g., account statements) or sent separately; Electronic delivery permitted with consumer consent; Must be understandable to average consumer; Plain language requirement maintained; May reference previous notice and indicate 'no changes' if practices unchanged and exemption applies; Retain copy for compliance record; Failure to provide or improper provision is violation"
glba_pn_005,Revised Privacy Notice (Material Change),Document,"Privacy notice provided when financial institution makes material changes to its privacy policies and practices. Revised notice informs existing customers and consumers of significant modifications to how institution collects, uses, discloses, or protects nonpublic personal information.","Revised privacy notice must be provided when institution materially modifies its privacy policies or practices regarding NPI collection, use, or disclosure. Notice must be provided before or at time the new policy/practice takes effect, or, if institution decides to permit current customers to opt out of new practice, notice must be provided at least 30 days before new practice becomes effective. Notice must clearly describe the material change(s). Must be clear, conspicuous, accurate, plain language, reasonably formatted. Electronic delivery permitted if consumer consents. Institution may update existing model form with revised information, or send separate notice highlighting changes.","Existing customers and consumers when material changes are made to institution's privacy practices","Financial institution making policy/practice changes; Privacy Officer responsible for determining materiality and notification; Legal department; Customer service department responsible for delivery","Regulation P Sections 1016.8; 16 CFR Part 1016; FAST Act amendments; Updated through 2026","Active requirement; Material change exception applies only if consumer is permitted to opt out of new practice","Notice required when institution materially modifies privacy policies or practices; May be provided before or at time change takes effect; If opt-out of new practice offered, must provide 30 days before change effective; Notice must describe specific changes clearly; Must differentiate new practices from existing practices; May reference previous notice and explain specific modifications; Clear and conspicuous format required; Plain language requirement; Reasonably formatted for consumer understanding; Electronic delivery permitted with consent; Must be provided in writing or electronically; Material changes include: new information sharing practices, changes to opt-out methods, new retention policies, material changes to data security practices, significant changes to information use; Retain notice for compliance record"
glba_pn_006,Joint Privacy Notice (Multi-Institution),Document,"Single privacy notice developed and used by two or more affiliated financial institutions to satisfy privacy notice requirements for all participating institutions. Joint notice must be accurate for each institution and clearly identify which institutions are covered by joint notice.","Multiple affiliated financial institutions may combine their privacy notices into one joint notice if: (1) notice is accurate as to each institution, (2) notice is clear and conspicuous, (3) each institution is clearly identified, (4) scope of each institution's activities is clear, (5) each institution's practices are accurately described, (6) consumer can identify which institution's policies apply to their relationship. Joint notice simplifies compliance for affiliated institution groups but must maintain accuracy and clarity for each covered institution. Each institution remains responsible for accuracy of information as applied to its own operations. Electronic delivery permitted. Model form may be adapted for multi-institution use.","Customers and consumers of affiliated financial institutions using joint notice; Applies to each customer relationship with participating institutions","Affiliated financial institutions jointly developing and distributing notice; Privacy Officer coordinating across institutions; Customer service departments at each institution responsible for related inquiries","Regulation P Sections 1016.4, 1016.5, 1016.6; 16 CFR Part 1016 Appendix A; GLBA Section 505; Federal Reserve Regulation P FAQ; Updated through 2026","Active; Available option for affiliated institutions","Joint notice must be provided by each participating institution to their respective customers; Notice must be accurate for each institution; Separate sections may identify different institutions; Clear identification of which practices apply to which institution; Consumer must be able to determine their institution and its specific practices; Each institution clearly identified (e.g., '[Bank A], a wholly owned subsidiary of [Parent Company], follows these practices:'); Activities of each institution described separately or clearly; Each institution's information sharing practices accurately disclosed; Opt-out rights (if applicable) clearly described for each institution; May use tabular format to show differences between institutions; Must be clear and conspicuous overall; Model form may be adapted for joint use with multiple institutions; Electronic delivery permitted with consumer consent; Each participating institution responsible for accuracy as to its own operations"
glba_pn_007,Short-Form (Simplified) Notice,Document,"Simplified or condensed privacy notice provided in certain circumstances when financial institution has limited NPI sharing or unchanged practices. Short-form notice addresses core privacy requirements while omitting detailed disclosures for categories not applicable to institution.","Short-form notice may be used when: (1) institution only shares NPI in accordance with GLBA exceptions (Sections 502(b)(2) and 502(e)), (2) institution has not changed privacy practices since last notice, (3) institution meets FAST Act criteria for exemption from annual notice. Short-form notice must still accurately describe institution's NPI collection, use, protection, and any sharing that occurs. Must be clear, conspicuous, accurate, plain language, reasonably formatted. Short-form notice simpler than full model form but must include all required disclosures for institution's actual practices.","Customers and consumers of financial institutions qualifying for simplified notice (limited sharing, unchanged practices, FAST Act exemption qualifying)","Financial institution determining eligibility for short-form notice; Privacy Officer responsible for determining qualification; Customer service responsible for delivery","Regulation P Sections 1016.5, 1016.6; 16 CFR Part 1016; FAST Act amendments (December 4, 2015); Updated through 2026","Active; Available when institution qualifies","May be used only if: (1) institution only discloses per GLBA exceptions (Section 502(b)(2) or 502(e)), AND (2) practices have not changed since prior notice, AND (3) FAST Act exemption applies; Shorter, simpler format than full model form; Must still include core disclosures: NPI categories collected, how information is protected, customer right to access; May omit detailed opt-out section if institution does not share with non-affiliates; May reference previous notice indicating 'no changes from prior notice'; May state 'we do not share your information with non-affiliated third parties except as permitted by law'; Clear indication of institution's practices; Must be understandable to average consumer; May be combined with account statement or other correspondence; Electronic delivery permitted with consent; Cannot be used if institution has changed practices; Cannot be used if institution shares with non-affiliates outside exceptions"
glba_pn_008,Notice with Affiliate Marketing Opt-Out,Document,"Privacy notice with specific opt-out right allowing consumers to prevent financial institution from sharing information with affiliates for marketing purposes. Required when institution shares consumer information with affiliates for marketing of financial products and services.","When financial institution shares nonpublic personal information with affiliates for marketing purposes, institution must provide opt-out notice and method allowing consumer to prevent such marketing sharing. Notice must clearly and conspicuously describe: (1) consumer's right to direct institution not to share NPI with affiliates for marketing, (2) reasonable method to opt out (online, phone, mail), (3) reasonable time to opt out before sharing occurs. Must provide initial opt-out notice and annual reminder of right to opt out. Opt-out election must remain in effect indefinitely until consumer revokes it. Note: This obligation may arise under Fair Credit Reporting Act (FCRA) in addition to GLBA. Must coordinate with FCRA requirements.","Consumers and customers of financial institutions that share NPI with affiliates for marketing purposes; Applies where FCRA also requires affiliate marketing opt-out","Financial institution sharing with affiliates for marketing; Privacy Officer responsible for compliance; Customer service responsible for processing opt-out requests; Compliance department coordinating with FCRA obligations","Regulation P Sections 1016.6, 1016.7; 16 CFR Part 1016; Fair Credit Reporting Act Section 624 (15 USC 1681s); 12 CFR Part 1022 (Affiliate Marketing Rule); Updated through 2026","Active requirement for institutions sharing with affiliates for marketing","Notice must clearly describe right to opt out of affiliate marketing; Must provide clear, conspicuous disclosure of right; Must offer reasonable opt-out method (online, toll-free phone, mail); Must specify timeframe for opting out; May use model form with affiliate marketing opt-out row; If using model form, must complete 'For our affiliates to market to you' row appropriately; Initial notice with opt-out must be provided at account opening; Annual renewal notice required; Consumer may opt out by contacting institution; Opt-out election effective indefinitely unless consumer revokes; Must honor opt-out election promptly; May need to comply with FCRA affiliate marketing opt-out requirements simultaneously; Notice must explain scope of affiliate marketing opt-out"
glba_pn_009,Notice for Joint Marketing Partners,Document,"Privacy notice with disclosure of joint marketing arrangements and right to opt out when financial institution engages in joint marketing of financial products or services with non-affiliated third party institutions. Notice must clearly identify joint marketing partners and disclose how information is shared for such marketing.","When financial institution jointly markets financial products or services with one or more non-affiliated financial institutions under written agreement, institution must provide notice disclosing: (1) existence of joint marketing arrangement, (2) categories of non-affiliated third parties with which institution jointly markets, (3) examples of joint marketing partners if applicable, (4) consumer's right to opt out of disclosure for joint marketing purposes. Notice must be clear, conspicuous, accurate, plain language, reasonably formatted. Electronic delivery permitted. Opt-out method must be clearly disclosed.","Consumers and customers of financial institutions engaged in joint marketing with non-affiliated third parties; Applies where institution jointly markets financial products with other institutions","Financial institution engaging in joint marketing arrangements; Privacy Officer responsible for identifying joint marketing relationships; Customer service responsible for processing opt-out requests; Marketing department coordinating joint marketing activities","Regulation P Sections 1016.6, 1016.13; 16 CFR Part 1016; GLBA Section 502(b)(2)(C) (joint marketing exception); Updated through 2026","Active requirement when institution engages in joint marketing","Notice must disclose that institution jointly markets with other financial institutions; Must identify categories or examples of joint marketing partners; Must clearly state that consumer may opt out; Opt-out method must be provided (online, phone, mail); Notice must explain scope of joint marketing opt-out; If using model form, must complete 'Our joint marketing partners' section; May state '[Institution] jointly markets with [categories of companies such as credit card companies, mortgage companies]'; May provide list of actual joint marketing partners or categories; Consumer has right to opt out of sharing information for joint marketing purposes; Notice must be provided before sharing NPI for joint marketing; May be combined with general privacy notice"
glba_pn_010,Model Privacy Form (Regulation P Appendix A),Document,"Standardized, pre-approved privacy notice form developed by FTC and federal banking regulators to satisfy GLBA privacy notice and opt-out requirements. Model form provides standardized content, format, layout, and specific language to meet all Regulation P requirements with option to customize for institution-specific practices.","Model privacy form provided in Regulation P Appendix A is optional tool to satisfy privacy notice requirements. Financial institutions that use model form may rely on it to meet all content and format requirements of Sections 1016.6 and 1016.7. Model form consists of two pages (may be printed on both sides of single sheet) with standardized sections. Page One includes: date last revised, title, key frame (Why?, What?, How?), disclosure table, opt-out section (if applicable), questions box, mail-in opt-out form. Page Two includes: frequently asked questions (Who we are?, What we do?), definitions, other important information box. Institutions may modify form only as specifically permitted in Regulation P instructions. Electronic delivery permitted. Model form available from Federal Reserve, CFPB, OCC, and FTC websites.","All financial institutions required to provide privacy notices; Model form optional but available for standardized compliance; Used by banks, credit unions, insurance companies, non-bank financial institutions","Financial institution using model form; Privacy Officer responsible for completing model form; Customer service responsible for delivery","Regulation P Sections 1016.6, 1016.9, 1016.10; 16 CFR Part 1016 Appendix A; Federal Reserve Regulation P Appendix A; Updated through 2026","Active; Use optional but widely available for reference","Model form consists of two pages or two-sided single sheet; Minimum 10-point easily readable font required; Page One contains: institution name, date last revised, key frame section explaining why, what, how, disclosure table showing reasons for sharing information, opt-out section (if applicable), customer service contact information, mail-in opt-out form; Page Two contains: frequently asked questions (Who we are?, What we do?), important definitions, other information box; Standardized content meets all Regulation P requirements; Optional to use but use satisfies all content/format requirements; May customize within permitted parameters: institution name, contact information, opt-out methods, categories of non-affiliates, joint marketing partners; Permitted modifications described in Regulation P instructions; Not permitted modifications: core disclosure requirements, table structure, FAQs, definitions, overall format; May be translated into other languages; Electronic delivery permitted if consumer consents; Model form available on Federal Reserve, CFPB, OCC, FTC, and state banking authority websites"
