name,description,query,id,parentId,isFolder
Constraints,,,0,,true
Drop,,"DROP CONSTRAINT framework_id_unique;
DROP CONSTRAINT category_framework_composite_unique;
DROP CONSTRAINT control_framework_composite_unique;
DROP CONSTRAINT attribute_framework_composite_unique;
DROP CONSTRAINT guideline_framework_composite_unique;
DROP CONSTRAINT clause_framework_composite_unique;
DROP CONSTRAINT requirement_framework_composite_unique;",1,0,false
Create,,"CREATE CONSTRAINT framework_id_unique FOR (f:Framework) REQUIRE f.framework_id IS UNIQUE;
CREATE CONSTRAINT clause_framework_composite_unique FOR (c:Clause) REQUIRE (c.framework_id, c.clause_id) IS UNIQUE;
CREATE CONSTRAINT control_framework_composite_unique FOR (ctrl:Control) REQUIRE (ctrl.framework_id, ctrl.control_id) IS UNIQUE;
CREATE CONSTRAINT requirement_framework_composite_unique FOR (r:Requirement) REQUIRE (r.framework_id, r.requirement_id) IS UNIQUE;
CREATE CONSTRAINT control_category_framework_composite_unique FOR (cc:ControlCategory) REQUIRE (cc.framework_id, cc.category_id) IS UNIQUE;
CREATE CONSTRAINT category_framework_composite_unique FOR (c:Category) REQUIRE (c.framework_id, c.category_id) IS UNIQUE;
CREATE CONSTRAINT attribute_framework_composite_unique FOR (a:Attribute) REQUIRE (a.framework_id, a.attribute_id) IS UNIQUE;
CREATE CONSTRAINT guideline_framework_composite_unique FOR (g:Guideline) REQUIRE (g.framework_id, g.guideline_id) IS UNIQUE;
CREATE CONSTRAINT function_framework_composite_unique IF NOT EXISTS FOR (fn:Function) REQUIRE (fn.framework_id, fn.function_id) IS UNIQUE;
CREATE CONSTRAINT subcategory_framework_composite_unique IF NOT EXISTS FOR (s:Subcategory) REQUIRE (s.framework_id, s.subcategory_id) IS UNIQUE;
CREATE CONSTRAINT step_framework_composite_unique IF NOT EXISTS FOR (s:Step) REQUIRE (s.framework_id, s.step_id) IS UNIQUE;
CREATE CONSTRAINT family_framework_composite_unique IF NOT EXISTS FOR (cf:ControlFamily) REQUIRE (cf.framework_id, cf.family_id) IS UNIQUE;
CREATE CONSTRAINT role_framework_composite_unique IF NOT EXISTS FOR (r:Role) REQUIRE (r.framework_id, r.role_id) IS UNIQUE;
CREATE CONSTRAINT system_framework_composite_unique IF NOT EXISTS FOR (sys:System) REQUIRE (sys.framework_id, sys.system_id) IS UNIQUE;",2,0,false
List,,SHOW CONSTRAINTS;,3,0,false
ISO 27001,,,4,,true
Full Graph,,"MATCH path = (:Framework {framework_id: ""ISO27001_2022""})-[*]->() RETURN path",5,4,false
Get all Control,,"MATCH (co:Control) 
WHERE co.framework_id = 
""ISO27001_2022""
RETURN co.control_id,co.control_name",6,4,false
Get all Category Relations,,"MATCH (c:ControlCategory) 
WHERE c.framework_id = 
""ISO27001_2022""
RETURN c.category_id,c.category_name",7,4,false
Control category Relations - name,,"// replace <control_category_name>
MATCH path = (cc:ControlCategory {category_name: ""<control_category_name>""})-[*]->()
WHERE cc.framework_id = ""ISO27001_2022""
RETURN path
",8,4,false
Control Category - ID,,"// replace ,<control_category_id
MATCH path = (cc:ControlCategory {category_id:""<control_category_id>""})-[*]->()
WHERE cc.framework_id = ""ISO27001_2022""
RETURN path
",9,4,false
Get all Clause Relations,,"MATCH (cl:Clause) 
WHERE cl.framework_id = 
""ISO27001_2022""
RETURN cl.clause_id,cl.title",10,4,false
Clause relations - Title,,"// replace <clause_title>
// replace <category> with ""main_clause"" or ""subclause""
MATCH path = (c:Clause {title: ""<clause_title>""})-[*]->()
WHERE c.framework_id = ""ISO27001_2022"" AND c.category = ""<category>""
RETURN path",11,4,false
Clause relations - ID,,"//replace <clause_id>
MATCH path = (c:Clause {clause_id:""<clause_id>""})-[*]->()
WHERE c.framework_id = ""ISO27001_2022"" AND c.category = ""<category>""
RETURN path",12,4,false
ISO 27002,,,13,,true
Full Graph,,"MATCH path = (:Framework {framework_id: ""ISO27002_2022""})-[*]->() RETURN path",14,13,false
"  Get all Category Relations",,"MATCH (ca:Category) 
WHERE ca.category_name IS NOT NULL AND ca.framework_id = 
""ISO27002_2022""
RETURN ca.category_id,ca.category_name,ca.category_code",15,13,false
" Category  - name",,"// replace <category_name>
MATCH path = (cc:Category {category_name: ""<category_name>""})-[*]->()
WHERE cc.framework_id = ""ISO27002_2022""
RETURN path
",16,13,false
Category - ID,,"// replace <category_name>
MATCH path = (cc:Category {category_id:""<category_id>""})-[*]->()
WHERE cc.framework_id = ""ISO27002_2022""
RETURN path
",17,13,false
Category - Code,,"// replace <control_category_code>
MATCH path = (cc:ControlCategory {category_code: ""<control_code>""})-[*]->()
WHERE cc.framework_id = ""ISO27002_2022""
RETURN path
",18,13,false
Get all Controls,,"MATCH (co:Control) 
WHERE co.control_name IS NOT NULL AND co.framework_id = 
""ISO27002_2022""
RETURN co.control_id,co.control_name",19,13,false
Control - Name,,"// replace <control_name>
MATCH path = (co:Control {control_name: ""<control_name>""})-[*]->()
WHERE co.framework_id = ""ISO27002_2022""
RETURN path
",20,13,false
Control - ID,,"// replace <control_ID>
MATCH path = (co:Control {control_id:""<control_id>""})-[*]->()
WHERE co.framework_id = ""ISO27002_2022""
RETURN path
",21,13,false
Get all Guideline Relations,,"MATCH (g:Guideline) 
WHERE g.guideline_type IS NOT NULL AND g.framework_id = 
""ISO27002_2022""
RETURN g.guideline_id,g.guideline_type",22,13,false
Guideline - ID,,"// replace <Guideline_ID>
MATCH path = (g:Guideline {guideline_id: ""<guideline_id>""})-[*]->()
WHERE g.framework_id = ""ISO27002_2022""
RETURN path
",23,13,false
Guideline - Type,,"// replace <Guideline_type>
MATCH path = (g:Guideline {guideline_type: ""<guideline_type>""})-[*]->()
WHERE g.framework_id = ""ISO27002_2022"" AND gt.control_id=""<control_id>""
RETURN path
",24,13,false
Get all Attributes Relations,,"MATCH (A:Attribute) 
WHERE A.attribute_id IS NOT NULL AND A.framework_id = 
""ISO27002_2022""
RETURN A.attribute_id,A.attribute_value,A.attribute_type",25,13,false
Attribute Relations - Value,,"// replace <attribute_value>

MATCH path = (c:Attribute {attribute_value: ""<attribute_value>""})-[*]->()
WHERE c.framework_id = ""ISO27002_2022"" 
RETURN path",26,13,false
Attribute Relations - ID,,"// replace <attribute_id>
MATCH path = (c:Attribute {attribute_id:""<attribute_id>""})-[*]->()
WHERE c.framework_id = ""ISO27002_2022""
RETURN path",27,13,false
Attribute Relations - Type,,"//replace <attribute_type>

MATCH path = (c:Attribute {attribute_value: ""<attribute_value>""})-[*]->()
WHERE c.framework_id = ""ISO27002_2022""
RETURN path",28,13,false
Delete All,,MATCH (n) DETACH DELETE n,29,,false
Get All,,MATCH path = (:Framework)-[*]->() RETURN path,30,,false
NIST AI RMF,,,31,,true
Full Graph,,"MATCH path = (:Framework {framework_id: ""NIST_AI_RMF_2023""})-[*]-() RETURN path",32,31,false
Get all Subcategory,,"MATCH (sc:Subcategory) 
WHERE sc.subcategory_id IS NOT NULL AND sc.framework_id = 
""NIST_AI_RMF_2023""
RETURN sc.subcategory_id,sc.name",33,31,false
Get all Category Relations,,"MATCH (cr:Category) 
WHERE  cr.function_id IS NOT NULL AND cr.name IS NOT NULL AND cr.category_id IS NOT NULL AND cr.framework_id = ""NIST_AI_RMF_2023""
RETURN cr.category_id,cr.function_id,cr.name",34,31,false
Category Relations - Name,,"// replace <name>,
MATCH path = (cc:Category {name: ""<name>""})-[*]->()
WHERE cc.framework_id =""NIST_AI_RMF_2023""
RETURN path
",35,31,false
Category Relation - F_id,,"// replace <name>,<control_category_id>,<functiom_id>
MATCH path = (cc:Category {function_id:""<function_id>""})-[*]->()
WHERE cc.framework_id =""NIST_AI_RMF_2023""
RETURN path
",36,31,false
Category Relation - CC_ID,,"// replace<control_category_id>
MATCH path = (cc:Category {category_id:""<control_category_id>""})-[*]->()
WHERE cc.framework_id =""NIST_AI_RMF_2023""
RETURN path
",37,31,false
Get all Function Relations,,"MATCH (F:Function)
WHERE F.function_id IS NOT NULL AND F.function_name IS NOT NULL AND F.framework_id = 
""NIST_AI_RMF_2023""
RETURN  F.function_id,F.function_name",38,31,false
