rule_id,node_type,node_id,name,description,category,type,properties_count,regulated,cfr_citation,industry_standard_regulation_id,sensitivity_level,parent_node
BREACH_RULE_1,BreachNotificationRule,BREACH_NOTIFICATION_RULE,Breach Notification Rule,"Requires covered entities and business associates to notify individuals, media, and HHS of breaches of unsecured PHI. Establishes timeline, content, and method of notification requirements.",Breach Notification Components,Rule,42,true,45 CFR §164.400-414,HIPAA 1996,Very High,HIPAA_1996
BREACH_DEF_1,BreachDefinition,BREACH_DEFINITION,Breach Definition,"Unauthorized acquisition, access, use, or disclosure of PHI that compromises security or privacy. Excludes unintentional access by authorized persons and inadvertent disclosures to other authorized users.",Breach Definition,Definition,8,true,45 CFR §164.402,HIPAA 1996,Very High,BREACH_NOTIFICATION_RULE
BREACH_RISK_1,RiskAssessment,RISK_OF_HARM,Risk Assessment - Harm to Individual,"Analysis to determine if a breach poses significant risk of harm to individual. Four-factor test: type/amount of PHI, unauthorized person, safeguards in place, mitigation efforts.",Risk Assessment,Assessment,8,true,45 CFR §164.404(b),HIPAA 1996,Very High,BREACH_NOTIFICATION_RULE
BREACH_RISK_2,RiskAssessment,RISK_ASSESSMENT_PROCESS,Risk Assessment Process,"Systematic process to evaluate breach severity. Factors: nature/extent of PHI involved, who accessed/disclosed, degree of risk, whether PHI actually acquired/accessed.",Risk Assessment,Process,7,true,45 CFR §164.404,HIPAA 1996,High,BREACH_NOTIFICATION_RULE
BREACH_NOTIFICATION_IND_1,NotificationRequirement,NOTIF_INDIVIDUALS,Individual Notification,"Covered entities must notify affected individuals without unreasonable delay (no later than 60 calendar days after breach discovery). Notification must include: breach description, types of PHI involved, steps taken, and mitigation steps.",Notification Requirements,Requirement,8,true,45 CFR §164.404,HIPAA 1996,Very High,BREACH_NOTIFICATION_RULE
BREACH_NOTIFICATION_IND_2,NotificationRequirement,NOTIF_MEDIA,Media Notification,"For breaches affecting 500+ residents in jurisdiction, covered entities must notify prominent media outlets without unreasonable delay. Media must be notified at same time as individuals.",Notification Requirements,Requirement,7,true,45 CFR §164.404(b),HIPAA 1996,Very High,BREACH_NOTIFICATION_RULE
BREACH_NOTIFICATION_IND_3,NotificationRequirement,NOTIF_HHS,HHS Notification,"Covered entities must notify Secretary of HHS. For breaches of 500+ residents, notice to HHS must include name, postal address, and telephone number of media contacted.",Notification Requirements,Requirement,7,true,45 CFR §164.404(b),HIPAA 1996,Very High,BREACH_NOTIFICATION_RULE
BREACH_NOTIFICATION_IND_4,NotificationRequirement,NOTIF_BUSINESS_ASSOC,"Business Associate Notification","Business associates must notify covered entities without unreasonable delay upon discovery of breach. Timing: without unreasonable delay, but specifics depend on contract terms.",Notification Requirements,Requirement,7,true,45 CFR §164.410,HIPAA 1996,High,BREACH_NOTIFICATION_RULE
BREACH_NOTIF_METHOD_1,NotificationMethod,METHOD_EMAIL,Email Notification,"Notification by email if covered entity has email address on file. Must be sent in manner that does not further compromise security of PHI.",Notification Methods,Method,6,true,45 CFR §164.404(c),HIPAA 1996,Medium,BREACH_NOTIFICATION_RULE
BREACH_NOTIF_METHOD_2,NotificationMethod,METHOD_CERTIFIED_MAIL,Certified Mail,"Notification by first-class mail, or other reasonable and appropriate means. May substitute email if individual has agreed to electronic notification.",Notification Methods,Method,6,true,45 CFR §164.404(c),HIPAA 1996,Medium,BREACH_NOTIFICATION_RULE
BREACH_NOTIF_METHOD_3,NotificationMethod,METHOD_PHONE,Telephone Notification,"Notification by telephone. Appropriate when email/mail contact information is not available or individual cannot be reached by other means.",Notification Methods,Method,5,true,45 CFR §164.404(c),HIPAA 1996,Medium,BREACH_NOTIFICATION_RULE
BREACH_NOTIF_METHOD_4,NotificationMethod,METHOD_PUBLIC_NOTICE,Public Notice,"When contact information unavailable or unreliable, covered entity must take steps reasonably calculated to give notice. Public notice in prominent media or by postal service notice.",Notification Methods,Method,6,true,45 CFR §164.404(d),HIPAA 1996,Medium,BREACH_NOTIFICATION_RULE
BREACH_NOTIF_CONTENT_1,NotificationContent,CONTENT_BREACH_DESCRIPTION,Breach Description,"Notification must describe: nature and scope of breach, types of PHI involved, steps taken by entity, and steps individuals can take.",Notification Content,Content,6,true,45 CFR §164.404(b),HIPAA 1996,High,BREACH_NOTIFICATION_RULE
BREACH_NOTIF_CONTENT_2,NotificationContent,CONTENT_MITIGATION,Mitigation Steps,"Notification must include mitigation steps available to individuals, such as credit monitoring, identity theft protection, and fraud alerts.",Notification Content,Content,6,true,45 CFR §164.404(b),HIPAA 1996,High,BREACH_NOTIFICATION_RULE
BREACH_NOTIF_CONTENT_3,NotificationContent,CONTENT_CONTACT_INFO,Contact Information,"Notification must include covered entity contact information: phone number where individuals can call with questions, toll-free call center, or website.",Notification Content,Content,5,true,45 CFR §164.404(b),HIPAA 1996,Medium,BREACH_NOTIFICATION_RULE
BREACH_TIMELINE_1,Timeline,TIMELINE_60_DAYS,60-Day Individual Notification,"Individuals must be notified without unreasonable delay and in no case later than 60 calendar days after discovery of breach.",Timeline,Requirement,5,true,45 CFR §164.404(a),HIPAA 1996,Very High,BREACH_NOTIFICATION_RULE
BREACH_TIMELINE_2,Timeline,TIMELINE_DISCOVERY,Breach Discovery,"'Discovery' means the date entity knew or reasonably should have known breach occurred. Includes moment of unauthorized access, or reasonable cause to know breach occurred.",Timeline,Definition,6,true,45 CFR §164.404(a),HIPAA 1996,High,BREACH_NOTIFICATION_RULE
BREACH_TIMELINE_3,Timeline,TIMELINE_CONCURRENT,Concurrent Media HHS Notification,"Media and HHS must be notified at same time as individuals or without unreasonable delay. Cannot delay HHS notification.",Timeline,Requirement,6,true,45 CFR §164.404(b),HIPAA 1996,Very High,BREACH_NOTIFICATION_RULE
BREACH_EXCEPTION_1,ExceptionandExemption,EXCEPTION_LOW_PROBABILITY,"Low Probability of Compromise Exception","No notification required if covered entity demonstrates low probability that PHI has been compromised. Must conduct risk assessment to determine if further notification is required.",Exception,Condition,7,true,45 CFR §164.404(b),HIPAA 1996,High,BREACH_NOTIFICATION_RULE
