rule_id,node_type,node_id,name,description,category,type,properties_count,regulated,cfr_citation,industry_standard_regulation_id,sensitivity_level,parent_node,version,status,effective_date,supersedes_id
SECURITY_RULE_1,SecurityRule,SECURITY_RULE_2026-v1,Security Rule,"Establishes standards and procedures for protecting Electronic Protected Health Information (ePHI). Requires administrative, physical, and technical safeguards to ensure confidentiality, integrity, and availability.",Security Rule Components,Rule,45,True,45 CFR §164.302-318,HIPAA 1996,Very High,HIPAA_1996,2026-v1,Active,2026-04-02,SECURITY_RULE
SECURITY_ADMIN_SAFEGUARD_1,AdministrativeSafeguard,ADMIN_SAFEGUARD_CORE_2026-v1,Administrative Safeguards,"Policies, procedures, and processes to prevent unauthorized access, use, and disclosure of ePHI. Includes security management process, assigned security responsibility, and workforce security measures.",Administrative Safeguards,Safeguard,8,True,45 CFR §164.308,HIPAA 1996,High,SECURITY_RULE,2026-v1,Active,2026-04-02,ADMIN_SAFEGUARD_CORE
SECURITY_ADMIN_SAFEGUARD_2,AdministrativeSafeguard,ADMIN_SECURITY_MANAGEMENT_2026-v1,Security Management Process,"Comprehensive process to identify risks and vulnerabilities, implement safeguards, monitor safeguard effectiveness, and manage risks. Must include risk assessment and risk management.",Administrative Safeguards,Process,7,True,45 CFR §164.308(a)(1)(i),HIPAA 1996,High,SECURITY_RULE,2026-v1,Active,2026-04-02,ADMIN_SECURITY_MANAGEMENT
SECURITY_ADMIN_SAFEGUARD_3,AdministrativeSafeguard,ADMIN_SECURITY_OFFICER_2026-v1,Assigned Security Responsibility,Designation of individual responsible for developing and implementing security policies and procedures. Security officer must report to senior management.,Administrative Safeguards,Responsibility,6,True,45 CFR §164.308(a)(2),HIPAA 1996,High,SECURITY_RULE,2026-v1,Active,2026-04-02,ADMIN_SECURITY_OFFICER
SECURITY_ADMIN_SAFEGUARD_4,AdministrativeSafeguard,ADMIN_WORKFORCE_SECURITY_2026-v1,Workforce Security,"Policies and procedures to ensure only authorized individuals have access to ePHI. Includes user identification, emergency access procedures, and termination procedures.",Administrative Safeguards,Security,7,True,45 CFR §164.308(a)(3),HIPAA 1996,High,SECURITY_RULE,2026-v1,Active,2026-04-02,ADMIN_WORKFORCE_SECURITY
SECURITY_ADMIN_SAFEGUARD_5,AdministrativeSafeguard,ADMIN_INFO_ACCESS_MGMT_2026-v1,Information Access Management,"Policies and procedures for granting access to ePHI based on role, need-to-know, and job responsibilities. Includes access authorization and access establishment/modification procedures.",Administrative Safeguards,Management,7,True,45 CFR §164.308(a)(4),HIPAA 1996,High,SECURITY_RULE,2026-v1,Active,2026-04-02,ADMIN_INFO_ACCESS_MGMT
SECURITY_ADMIN_SAFEGUARD_6,AdministrativeSafeguard,ADMIN_SECURITY_AWARENESS_2026-v1,Security Awareness and Training,"Mandatory security training for all workforce members who access ePHI. Training must cover security policies, password management, and reporting security incidents.",Administrative Safeguards,Training,7,True,45 CFR §164.308(a)(5),HIPAA 1996,Medium,SECURITY_RULE,2026-v1,Active,2026-04-02,ADMIN_SECURITY_AWARENESS
SECURITY_ADMIN_SAFEGUARD_7,AdministrativeSafeguard,ADMIN_SECURITY_INCIDENT_2026-v1,Security Incident Procedures,"Policies and procedures to address security incidents including detection, documentation, mitigation, and corrective action. Must identify and log security incidents.",Administrative Safeguards,Procedures,7,True,45 CFR §164.308(a)(6),HIPAA 1996,High,SECURITY_RULE,2026-v1,Active,2026-04-02,ADMIN_SECURITY_INCIDENT
SECURITY_ADMIN_SAFEGUARD_8,AdministrativeSafeguard,ADMIN_CONTINGENCY_PLANNING_2026-v1,Contingency Planning,"Policies and procedures to respond to and recover from disruptions to ePHI availability. Includes backup procedures, disaster recovery planning, and emergency operations procedures.",Administrative Safeguards,Planning,8,True,45 CFR §164.308(a)(7),HIPAA 1996,High,SECURITY_RULE,2026-v1,Active,2026-04-02,ADMIN_CONTINGENCY_PLANNING
SECURITY_ADMIN_SAFEGUARD_9,AdministrativeSafeguard,ADMIN_EVALUATION_2026-v1,Evaluation,"Periodic technical and non-technical evaluation based initially upon the standards implemented under this rule and subsequently, in response to environmental or operational changes.",Administrative Safeguards,Evaluation,7,True,45 CFR §164.308(a)(8),HIPAA 1996,High,SECURITY_RULE,2026-v1,Active,2026-04-02,ADMIN_EVALUATION
SECURITY_PHYS_SAFEGUARD_1,PhysicalSafeguard,PHYS_SAFEGUARD_CORE_2026-v1,Physical Safeguards,"Physical measures, policies, and procedures to protect electronic information systems and related buildings and equipment, from natural and environmental hazards, and unauthorized intrusion.",Physical Safeguards,Safeguard,8,True,45 CFR §164.310,HIPAA 1996,High,SECURITY_RULE,2026-v1,Active,2026-04-02,PHYS_SAFEGUARD_CORE
SECURITY_PHYS_SAFEGUARD_2,PhysicalSafeguard,PHYS_FACILITY_ACCESS_2026-v1,Facility Access Controls,"Policies and procedures to limit physical access to electronic information systems and the facility or facilities in which they are housed, while ensuring that properly authorized access is allowed.",Physical Safeguards,Control,7,True,45 CFR §164.310(a)(1),HIPAA 1996,High,SECURITY_RULE,2026-v1,Active,2026-04-02,PHYS_FACILITY_ACCESS
SECURITY_PHYS_SAFEGUARD_3,PhysicalSafeguard,PHYS_WORKSTATION_USE_2026-v1,Workstation Use,"Policies and procedures that specify the proper functions to be performed, the manner in which those functions are to be performed, and the physical attributes of the surroundings of a specific workstation or class of workstation that can access ePHI.",Physical Safeguards,Policy,7,True,45 CFR §164.310(b),HIPAA 1996,Medium,SECURITY_RULE,2026-v1,Active,2026-04-02,PHYS_WORKSTATION_USE
SECURITY_PHYS_SAFEGUARD_4,PhysicalSafeguard,PHYS_WORKSTATION_SECURITY_2026-v1,Workstation Security,Physical safeguards for all workstations that access ePHI to restrict access to authorized users.,Physical Safeguards,Security,6,True,45 CFR §164.310(c),HIPAA 1996,High,SECURITY_RULE,2026-v1,Active,2026-04-02,PHYS_WORKSTATION_SECURITY
SECURITY_PHYS_SAFEGUARD_5,PhysicalSafeguard,PHYS_DEVICE_MEDIA_2026-v1,Device and Media Controls,"Policies and procedures that govern the receipt and removal of hardware and electronic media that contain ePHI into and out of a facility, and the movement of these items within the facility.",Physical Safeguards,Control,7,True,45 CFR §164.310(d)(1),HIPAA 1996,High,SECURITY_RULE,2026-v1,Active,2026-04-02,PHYS_DEVICE_MEDIA
SECURITY_TECH_SAFEGUARD_1,TechnicalSafeguard,TECH_SAFEGUARD_CORE_2026-v1,Technical Safeguards,"Technology and the policy and procedures for its use that protect ePHI and control access to it. Includes access controls, audit controls, integrity, and transmission security.",Technical Safeguards,Safeguard,8,True,45 CFR §164.312,HIPAA 1996,Very High,SECURITY_RULE,2026-v1,Active,2026-04-02,TECH_SAFEGUARD_CORE
SECURITY_TECH_SAFEGUARD_2,TechnicalSafeguard,TECH_ACCESS_CONTROL_2026-v1,Access Control,"Technical policies and procedures for electronic information systems that maintain ePHI to allow access only to those persons or software programs that have been granted access rights.",Technical Safeguards,Control,7,True,45 CFR §164.312(a)(1),HIPAA 1996,Very High,SECURITY_RULE,2026-v1,Active,2026-04-02,TECH_ACCESS_CONTROL
SECURITY_TECH_SAFEGUARD_3,TechnicalSafeguard,TECH_AUDIT_CONTROLS_2026-v1,Audit Controls,"Hardware, software, and/or procedural mechanisms that record and examine activity in information systems that contain or use ePHI.",Technical Safeguards,Logging,8,True,45 CFR §164.312(b),HIPAA 1996,High,SECURITY_RULE,2026-v1,Active,2026-04-02,TECH_AUDIT_CONTROLS
