service_id,service_type,description,duration,cost_bearer,cfr_citation,framework_version,old_service_id,status
MS-001-v2,Credit Monitoring,12 months of credit monitoring and credit report review service,12 months,Covered entity,45 CFR 164.404(b),HIPAA_2026_v2,MS-001,Active
MS-002-v2,Credit Monitoring Plus,24 months of comprehensive credit monitoring and fraud detection,24 months,Covered entity,45 CFR 164.404(b),HIPAA_2026_v2,MS-002,Active
MS-003-v2,Identity Theft Prevention,Identity theft prevention tools and services including credit and identity monitoring,12-24 months,Covered entity,45 CFR 164.404(b),HIPAA_2026_v2,MS-003,Active
MS-004-v2,Credit Freeze Services,Credit freeze setup with all major credit bureaus (Equifax Experian TransUnion),Permanent,Covered entity,45 CFR 164.404(b),HIPAA_2026_v2,MS-004,Active
MS-005-v2,Fraud Alert Services,Fraud alert placement with major credit bureaus renewable annually,12 months renewable,Covered entity,45 CFR 164.404(b),HIPAA_2026_v2,MS-005,Active
MS-006-v2,Legal Services,Legal consultation for identity theft or credit issues resulting from breach,As needed up to 12 months,Covered entity,45 CFR 164.404(b),HIPAA_2026_v2,MS-006,Active
MS-007-v2,Credit Report Review,Annual credit report review and analysis to identify fraud or unauthorized accounts,Annual for 2-3 years,Covered entity,45 CFR 164.404(b),HIPAA_2026_v2,MS-007,Active
MS-008-v2,Hotline Support,24/7 hotline for breach victims to report fraud or obtain mitigation information,Ongoing post-breach,Covered entity,45 CFR 164.404(b),HIPAA_2026_v2,MS-008,Active
MS-009-v2,Document Restoration Assistance,Assistance restoring documents and establishing identity if stolen,6-12 months,Covered entity,45 CFR 164.404(b),HIPAA_2026_v2,MS-009,Active
MS-010-v2,Notification Costs,Cost of notifying affected individuals and credit bureaus,One-time,Covered entity,45 CFR 164.404(b),HIPAA_2026_v2,MS-010,Active
