subcategory_id,title,framework_id,category_id,description
ID.RA-01,Vulnerabilities in organizational systems are identified and documented,NIST_CSF_2.0,Identify_Risk Assessment,Vulnerabilities in organizational systems are identified and documented
ID.RA-04,Potential business impacts of threats are understood,NIST_CSF_2.0,Identify_Risk Assessment,Potential business impacts of threats are understood
ID.RA-05,Threats to organizational systems and assets are identified and documented,NIST_CSF_2.0,Identify_Risk Assessment,Threats to organizational systems and assets are identified and documented
ID.RA-06,Risk responses are planned and managed,NIST_CSF_2.0,Identify_Risk Assessment,Risk responses are planned and managed
ID.AM-08,Assets are managed throughout their lifecycle,NIST_CSF_2.0,Identify_Asset Management,Assets are managed throughout their lifecycle
ID.AM-02,Software platforms and applications within the organization are inventoried,NIST_CSF_2.0,Identify_Asset Management,Software platforms and applications within the organization are inventoried
ID.IM-01,Security policies and procedures are established,NIST_CSF_2.0,Identify_Improvement Management,Security policies and procedures are established
ID.IM-02,Recovery objectives are established and communicated,NIST_CSF_2.0,Identify_Improvement Management,Recovery objectives are established and communicated
ID.IM-03,Recovery procedures are developed and tested,NIST_CSF_2.0,Identify_Improvement Management,Recovery procedures are developed and tested
ID.IM-04,Incident response procedures are established and tested,NIST_CSF_2.0,Identify_Improvement Management,Incident response procedures are established and tested
GV.RM-01,Organizational risk management strategy is established,NIST_CSF_2.0,Govern_Risk Management,Organizational risk management strategy is established
GV.RM-02,Information and assets are formally managed,NIST_CSF_2.0,Govern_Risk Management,Information and assets are formally managed
GV.RM-03,Risk management is integrated into organizational processes,NIST_CSF_2.0,Govern_Risk Management,Risk management is integrated into organizational processes
GV.RM-04,Risk responses are selected and prioritized,NIST_CSF_2.0,Govern_Risk Management,Risk responses are selected and prioritized
GV.PO-01,Organizational cybersecurity policy is established and communicated,NIST_CSF_2.0,Govern_Policy,Organizational cybersecurity policy is established and communicated
GV.RR-01,Cybersecurity roles and responsibilities are clearly defined,NIST_CSF_2.0,Govern_Roles & Responsibilities,Cybersecurity roles and responsibilities are clearly defined
GV.RR-02,Organizational leadership demonstrates commitment to cybersecurity,NIST_CSF_2.0,Govern_Roles & Responsibilities,Organizational leadership demonstrates commitment to cybersecurity
GV.RR-03,Legal and regulatory requirements are understood and managed,NIST_CSF_2.0,Govern_Roles & Responsibilities,Legal and regulatory requirements are understood and managed
GV.RR-04,Cybersecurity is integrated into human resources practices,NIST_CSF_2.0,Govern_Roles & Responsibilities,Cybersecurity is integrated into human resources practices
GV.SC-01,Supply chain cybersecurity risk management is established,NIST_CSF_2.0,Govern_Supply Chain,Supply chain cybersecurity risk management is established
GV.SC-02,Suppliers and partners are managed to meet cybersecurity requirements,NIST_CSF_2.0,Govern_Supply Chain,Suppliers and partners are managed to meet cybersecurity requirements
GV.SC-03,Contracts include cybersecurity requirements,NIST_CSF_2.0,Govern_Supply Chain,Contracts include cybersecurity requirements
GV.SC-04,Cybersecurity risks in supply chain are assessed and monitored,NIST_CSF_2.0,Govern_Supply Chain,Cybersecurity risks in supply chain are assessed and monitored
GV.SC-05,Cybersecurity requirements are integrated into contracts with third parties,NIST_CSF_2.0,Govern_Supply Chain,Cybersecurity requirements are integrated into contracts with third parties
GV.OV-01,Organizational risk profile is established and maintained,NIST_CSF_2.0,Govern_Oversight,Organizational risk profile is established and maintained
GV.OV-02,Organizational strategy is aligned with cybersecurity strategy,NIST_CSF_2.0,Govern_Oversight,Organizational strategy is aligned with cybersecurity strategy
GV.OV-03,Cybersecurity risk management is reviewed and updated,NIST_CSF_2.0,Govern_Oversight,Cybersecurity risk management is reviewed and updated
PR.AA-01,Identities and credentials are issued and managed,NIST_CSF_2.0,Protect_Access & Authentication,Identities and credentials are issued and managed
PR.AA-02,Physical and logical access to assets is managed,NIST_CSF_2.0,Protect_Access & Authentication,Physical and logical access to assets is managed
PR.AA-03,Subjects are authenticated prior to being granted access,NIST_CSF_2.0,Protect_Access & Authentication,Subjects are authenticated prior to being granted access
PR.AA-04,Access permissions and authorizations are managed,NIST_CSF_2.0,Protect_Access & Authentication,Access permissions and authorizations are managed
PR.AA-05,"Access permissions are defined, managed, and enforced",NIST_CSF_2.0,Protect_Access & Authentication,"Access permissions are defined, managed, and enforced"
PR.AA-06,Physical access to assets is managed and monitored,NIST_CSF_2.0,Protect_Access & Authentication,Physical access to assets is managed and monitored
PR.AT-01,Personnel awareness and training program is established and managed,NIST_CSF_2.0,Protect_Awareness & Training,Personnel awareness and training program is established and managed
PR.AT-02,Specialized training is provided to personnel with security responsibilities,NIST_CSF_2.0,Protect_Awareness & Training,Specialized training is provided to personnel with security responsibilities
PR.DS-01,Data-at-rest is protected,NIST_CSF_2.0,Protect_Data Security,Data-at-rest is protected
