source_mapping_id,target_subcategory_id,relationship_type
HIPAA-164.308(a)(1)(ii)(A)_TO_ID.RA-01,ID.RA-01,TARGET
HIPAA-164.308(a)(1)(ii)(A)_TO_ID.RA-04,ID.RA-04,TARGET
HIPAA-164.308(a)(1)(ii)(A)_TO_ID.RA-05,ID.RA-05,TARGET
HIPAA-164.308(a)(1)(ii)(B)_TO_GV.RM-03,GV.RM-03,TARGET
HIPAA-164.308(a)(1)(ii)(B)_TO_ID.RA-06,ID.RA-06,TARGET
HIPAA-164.308(a)(1)(ii)(B)_TO_GV.RM-04,GV.RM-04,TARGET
HIPAA-164.308(a)(1)(ii)(C)_TO_GV.RR-04,GV.RR-04,TARGET
HIPAA-164.308(a)(1)(ii)(C)_TO_GV.PO-01,GV.PO-01,TARGET
HIPAA-164.308(a)(1)(ii)(D)_TO_DE.CM-01,DE.CM-01,TARGET
HIPAA-164.308(a)(1)(ii)(D)_TO_DE.AE-02,DE.AE-02,TARGET
HIPAA-164.308(a)(1)(ii)(D)_TO_PR.PS-04,PR.PS-04,TARGET
HIPAA-164.308(a)(2)_TO_GV.RR-02,GV.RR-02,TARGET
HIPAA-164.308(a)(2)_TO_GV.RR-01,GV.RR-01,TARGET
HIPAA-164.308(a)(3)_TO_PR.AA-05,PR.AA-05,TARGET
HIPAA-164.308(a)(3)_TO_GV.RR-04,GV.RR-04,TARGET
HIPAA-164.308(a)(3)(ii)(A)_TO_PR.AA-05,PR.AA-05,TARGET
HIPAA-164.308(a)(3)(ii)(A)_TO_GV.RR-02,GV.RR-02,TARGET
HIPAA-164.308(a)(3)(ii)(B)_TO_PR.AA-05,PR.AA-05,TARGET
HIPAA-164.308(a)(3)(ii)(C)_TO_PR.AA-01,PR.AA-01,TARGET
HIPAA-164.308(a)(3)(ii)(C)_TO_GV.RR-04,GV.RR-04,TARGET
HIPAA-164.308(a)(4)_TO_PR.AA-05,PR.AA-05,TARGET
HIPAA-164.308(a)(4)_TO_GV.PO-01,GV.PO-01,TARGET
HIPAA-164.308(a)(4)(ii)(B)_TO_PR.AA-05,PR.AA-05,TARGET
HIPAA-164.308(a)(4)(ii)(C)_TO_PR.AA-05,PR.AA-05,TARGET
HIPAA-164.308(a)(4)(ii)(C)_TO_PR.AA-01,PR.AA-01,TARGET
