requirement_id,section_id,subtitle_id,heading,description,requirement_type,implementation_scope,responsible_entity,compliance_timeline,verification_method,domain_covered,priority,status,key_controls,related_sections
HITECH-13400-R1,13400,HITECH_SUBTITLE_A,Definitions - Unsecured PHI Definition,Organizations must understand and apply statutory definition of unsecured PHI in all compliance activities,Definitional,Enterprise-wide,Covered Entities and Business Associates,Immediate upon enactment,Compliance documentation review,Privacy & Security Foundation,High,Active,Documentation of definitions; Training materials; Policy statements,Section 4; Section 5; Section 8
HITECH-13400-R2,13400,HITECH_SUBTITLE_A,Definitions - Breach Definition,Organizations must consistently apply statutory definition of breach requiring notification,Definitional,Enterprise-wide,Covered Entities and Business Associates,Immediate upon enactment,Breach assessment procedures review,Breach Notification Framework,High,Active,Breach definition in policies; Assessment procedures; Decision documentation,Section 4; Section 13402
HITECH-13400-R3,13400,HITECH_SUBTITLE_A,Definitions - Compromise Presumption,Organizations must understand compromise presumption requirement that breaches compromise PHI unless proven otherwise,Definitional,Enterprise-wide,Covered Entities and Business Associates,Immediate upon enactment,Risk assessment documentation,Breach Risk Assessment,High,Active,Risk assessment process; Mitigation measures documentation,Section 4
HITECH-13400-R4,13400,HITECH_SUBTITLE_A,Definitions - Business Associate Liability,Organizations must recognize that business associates are directly liable for HIPAA violations with same penalties as covered entities,Definitional,Enterprise-wide,Covered Entities and Business Associates,Immediate upon enactment,Business Associate Agreements review,Business Associate Accountability,High,Active,BAA language; Compliance monitoring procedures,Section 6; Section 13405; Section 13423
HITECH-13402-R1,13402,HITECH_SUBTITLE_D,Breach Notification - Individual Notification,Covered entities must notify affected individuals of breaches of unsecured PHI without unreasonable delay no later than 60 calendar days,Operational,Enterprise-wide,Covered Entities,Within 60 days of discovery,Notification records; Delivery confirmation,Breach Notification Framework,High,Active,Notification templates; Contact procedures; Delivery tracking,Section 4; Section 13404
HITECH-13402-R2,13402,HITECH_SUBTITLE_D,Breach Notification - Media Notification,Covered entities must notify prominent media outlets if breach affects 500 or more residents in same state or jurisdiction within 60 calendar days,Operational,Enterprise-wide,Covered Entities,Within 60 days of discovery,Media notification records; Press release documentation,Breach Notification Framework,High,Active,Media contact lists; Press release templates; Delivery tracking,Section 4
HITECH-13402-R3,13402,HITECH_SUBTITLE_D,Breach Notification - HHS Notification,Covered entities must notify HHS without unreasonable delay and no later than 60 calendar days for breaches affecting 500+ individuals or annually for smaller breaches,Operational,Enterprise-wide,Covered Entities,Within 60 days of discovery,HHS notification letter; Receipt confirmation,Breach Notification Framework,High,Active,HHS reporting form; Submission procedures; Tracking logs,Section 4
HITECH-13402-R4,13402,HITECH_SUBTITLE_D,Breach Notification - Content Requirements,Breach notifications must include breach description dates affected individuals categories of PHI involved recommended individual steps entity investigation steps and contact information,Operational,Enterprise-wide,Covered Entities,Within notification timeline,Notification content review; Template compliance,Breach Notification Framework,High,Active,Notification templates; Content checklist; Quality review,Section 4
HITECH-13402-R5,13402,HITECH_SUBTITLE_D,Breach Notification - Timeliness,Notification must occur without unreasonable delay but in all cases within 60 calendar days of discovery of breach,Operational,Enterprise-wide,Covered Entities,Continuous monitoring,Notification records with timestamps,Breach Notification Framework,High,Active,Breach discovery log; Timeline tracking; Compliance monitoring,Section 4
HITECH-13404-R1,13404,HITECH_SUBTITLE_A,Business Associate Breach Notification,Business associates must notify covered entities of any breach of unsecured PHI without unreasonable delay no later than 60 calendar days from discovery,Operational,Enterprise-wide,Business Associates,Within 60 days of discovery,Breach notification letter; Delivery confirmation; Affected individual list,Business Associate Accountability,High,Active,BA notification procedures; Contact lists; Escalation procedures,Section 6; Section 13405
HITECH-13404-R2,13404,HITECH_SUBTITLE_A,Business Associate Breach Detail Requirement,Business associates must provide detailed breach information including affected individuals PHI types mitigation steps and investigation results to enable covered entity notification,Operational,Enterprise-wide,Business Associates,Within 60 days of discovery,Breach detail documentation; Information completeness review,Business Associate Accountability,High,Active,BA breach form; Information checklists; Documentation requirements,Section 6
HITECH-13405-R1,13405,HITECH_SUBTITLE_A,Business Associate Agreement Requirement,Covered entities must execute written Business Associate Agreements with all entities that create receive maintain or transmit PHI on their behalf,Contractual,Enterprise-wide,Covered Entities,Ongoing,Contract file review; Agreement verification,Business Associate Accountability,High,Active,BAA template; Execution tracking; Version control,Section 6
HITECH-13405-R2,13405,HITECH_SUBTITLE_A,Business Associate Agreement - Permitted Uses and Disclosures,Business Associate Agreements must specify exactly which uses and disclosures of PHI are permitted and for what purposes,Contractual,Enterprise-wide,Covered Entities,Ongoing,BAA clause review; Scope verification,Business Associate Accountability,High,Active,BAA permitted uses clauses; Scope definition; Change procedures,Section 6
HITECH-13405-R3,13405,HITECH_SUBTITLE_A,Business Associate Agreement - Safeguard Requirements,Business Associate Agreements must require business associates to implement HIPAA Security Rule safeguards and Privacy Rule restrictions,Contractual,Enterprise-wide,Covered Entities,Ongoing,BAA clause review; Safeguard verification,Business Associate Accountability,High,Active,Safeguard requirements clauses; Compliance verification; Audit procedures,Section 6
HITECH-13405-R4,13405,HITECH_SUBTITLE_A,Business Associate Agreement - Breach Notification,Business Associate Agreements must require business associates to notify covered entities of breaches within 60 calendar days,Contractual,Enterprise-wide,Covered Entities,Ongoing,BAA clause review; Notification procedures,Business Associate Accountability,High,Active,Breach notification clauses; Contact procedures; Escalation paths,Section 6
HITECH-13405-R5,13405,HITECH_SUBTITLE_A,Business Associate Agreement - Subcontractor Management,Business Associate Agreements must require management of subcontractors with same HIPAA and HITECH compliance obligations through written agreements,Contractual,Enterprise-wide,Covered Entities,Ongoing,Subcontractor agreement review; Flow-down verification,Business Associate Accountability,High,Active,Subcontractor management clauses; Flow-down templates; Monitoring procedures,Section 6; Section 13423
HITECH-13406-R1,13406,HITECH_SUBTITLE_D,Penalty - Tier 1 Unknowing Violation,Penalties for unknowing violations range from $100 to $50000 per violation with annual cap of $1.5 million,Penalty,Entity-specific,HHS OCR,Per violation,Penalty assessment documentation,Enforcement & Penalties,High,Active,Corrective action plan; Compliance evidence; Risk mitigation,Section 5
HITECH-13406-R2,13406,HITECH_SUBTITLE_D,Penalty - Tier 2 Reasonable Cause Violation,Penalties for reasonable cause violations range from $1000 to $50000 per violation with annual cap of $1.5 million,Penalty,Entity-specific,HHS OCR,Per violation,Penalty assessment documentation,Enforcement & Penalties,High,Active,Corrective action plan required; Compliance evidence,Section 5
HITECH-13406-R3,13406,HITECH_SUBTITLE_D,Penalty - Tier 3 Willful Neglect (Corrected),Penalties for willful neglect violations corrected within 30 days range from $10000 to $50000 per violation minimum $100000 annually with cap of $1.5 million,Penalty,Entity-specific,HHS OCR,Per violation,Penalty assessment documentation,Enforcement & Penalties,High,Active,Corrective action plan; Prompt correction evidence,Section 5
