role_id,role_name,organization_type,description,primary_responsibilities,authority_source,regulatory_scope,compliance_obligations,enforcement_authority,domains_covered,examples,key_stakeholders,priority_level,status
COVERED_ENTITY,Covered Entity,Healthcare Organization,Health plans health care clearinghouses and certain health care providers as defined by HIPAA who directly transmit or use electronic health information in conducting business,Implement HIPAA Privacy Security and Breach Notification Rules; establish policies and procedures for PHI protection; designate privacy and security officers; manage business associates; report breaches; maintain documentation of compliance,HIPAA Title II; HITECH Act Title I,Federal United States,Direct HIPAA compliance obligations for Privacy Rule Security Rule Breach Notification Rule and HITECH amendments; business associate oversight; individual rights fulfillment,HHS OCR - direct penalty authority; State Attorneys General; Department of Justice (for criminal violations),Breach Notification; Business Associate Oversight; Privacy Protections; Security Safeguards; Risk Assessment; Encryption; Access Controls; Audit Logging; Incident Response; EHR Adoption; Meaningful Use,Hospitals; Health Systems; Physician Practices; Dental Offices; Mental Health Clinics; Insurance Companies; Health Plans,Critical,Active
BUSINESS_ASSOCIATE,Business Associate,Service Provider or Vendor,Entity that performs functions or activities on behalf of a covered entity or provides services to a covered entity that involve creation receipt maintenance or transmission of electronic protected health information (ePHI),Comply with HIPAA Privacy and Security Rules as specified in Business Associate Agreements; implement safeguards for ePHI protection; report breaches to covered entities within 60 days; maintain audit logs and records; ensure subcontractor compliance; provide evidence of compliance,HIPAA Title II; HITECH Act Subtitle A (Section 13405-13408),Federal United States,Direct HIPAA compliance obligations same as covered entities; must execute Business Associate Agreements; subcontractor management; breach notification; specific safeguard implementation; audit and documentation requirements,HHS OCR - direct penalty authority; State Attorneys General; Covered Entity (contractual); Subcontractors flow-down; Department of Justice (for criminal violations),Breach Notification; Business Associate Compliance; Safeguards Implementation; Risk Assessment; Audit Logging; Encryption; Access Controls; Incident Response; Subcontractor Accountability; Contractual Compliance,Cloud Service Providers; EHR Vendors; Billing Companies; IT Support Firms; Data Centers; Claims Processors; Revenue Cycle Vendors; Consultants; Attorneys; Auditors; Transcription Services,Critical,Active
SUBCONTRACTOR,Subcontractor,Service Provider or Vendor,Entity engaged by a business associate to create receive maintain or transmit electronic protected health information (ePHI) on behalf of the covered entity or business associate; must comply with same HIPAA and HITECH requirements as business associates,Comply with HIPAA Privacy and Security Rules as specified in subcontractor agreements; implement required safeguards for ePHI protection; report breaches to business associates within 60 days; maintain compliance with documented requirements; cooperate with audits,HIPAA Title II; HITECH Act Subtitle A (Section 13423),Federal United States,Direct HIPAA liability same as covered entities and business associates; must execute written agreements with business associates; breach notification within 60 days; safeguard implementation; full compliance obligations,HHS OCR - direct penalty authority; Business Associate (contractual); Covered Entity (through flow-down); State Attorneys General; Department of Justice (for criminal violations),Breach Notification; Safeguards Implementation; Audit Logging; Encryption; Access Controls; Incident Response; Compliance Documentation; Subcontractor Accountability if they engage further vendors,API Developers; Data Backup Services; Hosting Providers; System Integrators; Consultants; Managed Service Providers; Authentication Services; Security Auditors,High,Active
HHS_OCR,HHS Office for Civil Rights (OCR),Federal Enforcement Agency,The Office for Civil Rights (OCR) within the U.S. Department of Health and Human Services responsible for enforcing HIPAA Privacy Rule Security Rule Breach Notification Rule and HITECH Act amendments against covered entities and business associates,Investigate HIPAA and HITECH violations from complaints or audits; conduct periodic compliance audits and examinations; assess penalties according to tiered structure; issue enforcement actions including warning letters notices of violation and corrective action plan requirements; provide guidance and technical assistance to entities; maintain list of breaches affecting 500+ individuals,HIPAA Enforcement Rule (45 CFR Part 160); HITECH Act Title I Subtitle D,Federal United States; authority over all states and territories,Statutory authority to investigate and enforce; penalty assessment authority from $100 to $50000 per violation with $1.5M annual cap; authority to subpoena documents and issue subpoenas; audit authority over covered entities and business associates; ability to defer to State Attorneys General; issuing guidance documents and technical assistance,Direct enforcement authority; coordinates with State Attorneys General; refers criminal violations to Department of Justice; coordination with other federal agencies including ONC and CMS,Enforcement & Penalties; Breach Notification Investigation; Business Associate Audit; Risk Assessment Verification; Safeguard Audit; Audit Logging Review; Access Control Audit; Encryption Standards; Incident Response Procedures; Corrective Action Plans; Penalty Assessment; Safe Harbor Evaluation,HHS Office of General Counsel; Regional OCR Directors; OCR Investigators,Critical,Active
ONC,Office of the National Coordinator for Health Information Technology (ONC),Federal Agency - Health IT,Federal agency within HHS responsible for certifying electronic health record (EHR) systems and establishing EHR certification standards and testing procedures to promote health information exchange and meaningful use of certified systems,Establish and maintain EHR certification standards and requirements; designate authorized testing bodies to conduct EHR system certification testing; maintain authoritative list of certified EHR systems; monitor and update certification standards; coordinate with CMS on Meaningful Use program; provide technical guidance on certified EHR requirements; maintain Office of Health Information Technology policy direction,HITECH Act Title I Subtitle B (Section 13412 13420),Federal United States,Authority to establish EHR certification standards; designate testing bodies; maintain certified systems list; update standards and requirements; coordinate with CMS on incentive programs and meaningful use; ONC authority applies to all EHR vendors and systems used in incentive programs,Indirect through certification authority and standards setting; no direct penalty authority but works with CMS on incentive program enforcement; can decertify systems for non-compliance,EHR Certification Standards; EHR Testing Standards; Functional Requirements; Security Standards; Privacy Standards; Interoperability Standards; Data Exchange Standards; Certified Systems List Maintenance; Standards Evolution; Coordination with CMS,EHR Vendors; Technology Developers; Testing Bodies; CMS - for incentive program alignment,High,Active
CMS,Centers for Medicare & Medicaid Services (CMS),Federal Agency - Healthcare Payment,Federal agency within HHS responsible for administering Medicare and Medicaid programs and managing EHR Incentive Payment programs including Meaningful Use and successor programs (Promoting Interoperability MIPS Alternative Payment Models),Administer EHR incentive payment programs for eligible Medicare and Medicaid providers; establish meaningful use objectives and measures; collect provider attestation for meaningful use achievement; make incentive payments to eligible providers demonstrating meaningful use; establish payment amounts and schedules; monitor provider compliance with meaningful use requirements; transition providers to new payment models; coordinate with ONC on certification standards and testing,HITECH Act Title I Subtitle C (Section 13413 13414 13421) and successor legislation (MACRA),Federal United States,Authority to administer incentive programs; set meaningful use objectives and payment amounts; determine provider eligibility; establish payment schedules; require attestation; monitor compliance with meaningful use requirements; authority over Medicare and Medicaid payment programs; ability to recover funds for non-compliance,Indirect through payment authority; can withhold or recover payments for non-compliance; coordinates with HHS OCR on privacy and security issues; works with ONC on EHR certification standards,EHR Incentive Programs; Meaningful Use Objectives; Payment Administration; Provider Eligibility; Attestation Requirements; Data Quality Standards; Interoperability Objectives; Payment Schedules; Program Oversight; Fund Recovery,Medicare Providers; Medicaid Providers; Eligible Hospitals; Clinics; Critical Access Hospitals; ONC for standards coordination,High,Active
STATE_ATTORNEY_GENERAL,State Attorney General,State Law Enforcement,State-level official responsible for protecting citizens and state residents from HIPAA and HITECH violations affecting them; has authority to pursue civil actions for violations of state law regarding privacy and health information security,Investigate HIPAA and HITECH violations affecting state residents; pursue civil actions against entities for damages; recover actual damages and statutory damages for residents harmed by violations; coordinate with HHS OCR on federal enforcement; provide consumer protection related to health information privacy; enforce state privacy laws that may exceed HIPAA requirements,State law authority for health information privacy and civil enforcement; HIPAA Section 1176(b) which allows State AG enforcement; HITECH Act Section 17939 amendment,State jurisdiction with responsibility for state residents; can pursue damages for state residents injured by violations,Authority to pursue civil actions for HIPAA and HITECH violations affecting state residents; can recover actual damages statutory damages up to $100 per violation court costs and attorney fees; authority to pursue public health and consumer protection actions; can establish settlement agreements with entities,Direct civil enforcement authority; coordinates with HHS OCR on federal enforcement; can refer criminal matters to state and federal prosecutors; consumer protection authority,State-Level Enforcement; Civil Damages Recovery; Consumer Protection; Breach Notification Follow-up; Coordination with Federal Enforcement; State Resident Protection,Healthcare Entities Operating in State; Residents of State Injured by Violations,High,Active
DEPARTMENT_OF_JUSTICE,Department of Justice (DOJ),Federal Criminal Prosecution,Federal agency responsible for prosecuting criminal violations of HIPAA and HITECH Act including knowing violations by individuals or entities that obtain or disclose PHI under false pretenses with intent for commercial advantage or private gain,Prosecute criminal violations of HIPAA referred by HHS OCR or other agencies; represent federal government in criminal proceedings; pursue criminal penalties including fines and imprisonment; investigate criminal conduct related to PHI disclosure or obtaining PHI under false pretenses; coordinate with HHS OCR on criminal referrals,HIPAA Section 1307 Criminal Penalties; HITECH Act Section 13410 Criminal Penalties Amendment,Federal United States; criminal jurisdiction,Authority to prosecute criminal violations; pursue criminal penalties including fines up to $250000 and imprisonment up to 10 years; authority to bring criminal charges for knowing violations; coordinate with law enforcement agencies,Exclusive federal criminal prosecution authority; receives referrals from HHS OCR; initiates criminal investigations; coordinates with FBI and other federal law enforcement,Criminal Liability Prosecution; Knowing Violations; False Pretenses; Commercial Advantage; Private Gain; Criminal Penalties; Imprisonment Authority; Fraud Investigation,HHS OCR; FBI; Law Enforcement Agencies,Critical,Active
HEALTH_IT_DEVELOPER,Health IT Developer or Vendor,Technology Company,Organization that develops designs or manufactures electronic health information systems health information exchange systems personal health record systems or health IT modules subject to HIPAA and HITECH requirements when handling PHI,Design and develop systems meeting HIPAA Security Rule requirements and ONC certification standards if seeking certified status; implement security controls encryption access controls audit logging; comply with HIPAA Breach Notification requirements if business associate; submit systems for ONC certification testing if seeking certified EHR designation; maintain compliance with evolving standards and requirements; support customer compliance efforts,HIPAA Title II Privacy and Security Rules; HITECH Act Title I Subtitle B (EHR Certification) and Subtitle A (Safeguards); ONC Certification Standards,Federal United States; applies to all developers selling systems used with PHI,If acting as business associate must comply with HIPAA Privacy and Security Rules and breach notification; if developing certified EHR must meet ONC standards and certification requirements; subject to HIPAA and HITECH enforcement if handling PHI or acting as BA,HHS OCR if acting as business associate; ONC if seeking EHR certification; State Attorneys General; Department of Justice for criminal violations; Covered Entities (contractual),System Development Compliance; Security Standards; Encryption; Access Controls; Audit Logging; Breach Notification; EHR Certification; Interoperability Standards; Testing and Validation; Customer Support for Compliance,EHR Vendors; PHR Developers; Health Information Exchange Organizations; Health IT Consultants; Software Development Companies; Cloud Providers,High,Active
INDIVIDUAL_DATA_SUBJECT,Individual (Patient),Private Individual,Healthcare consumer or patient who is the subject of protected health information (PHI) and holds individual rights under HIPAA Privacy Rule and enhanced rights under HITECH Act including right to notification of breaches right to access and amend records and right to request restrictions on uses and disclosures,Exercise individual rights under HIPAA and HITECH including right to receive copy of medical records; right to request amendments; right to request restrictions on uses and disclosures; right to receive notification of breaches; right to request confidential communication; right to receive accounting of disclosures; right to file complaints with HHS OCR or State AGs for violations,HIPAA Privacy Rule (45 CFR Parts 164.500-164.528); HITECH Act Section 13410 Accounting of Disclosures; Section 13402 Breach Notification; 42 U.S.C. §1177(a),Federal United States; applies to all U.S. healthcare records,Right to access and amend PHI; right to notification of breaches of unsecured PHI within 60 days; right to detailed accounting of disclosures for 3 years; right to request restrictions; right to request confidential communication; right to complain to HHS OCR or State AGs for violations,Rights holder; can file complaints with HHS OCR or State AGs; can participate in civil litigation for damages; can assert rights in regulatory proceedings,Individual Rights; Breach Notification; Access to Records; Amendment Rights; Restriction Requests; Accounting Rights; Confidential Communication; Complaint Filing Authority; Damages Recovery in Civil Actions,Healthcare Consumers; Patients; Research Subjects,High,Active
