section_id,subtitle_id,full_citation,heading,description,content_summary,key_concepts,enacted_date,jurisdiction,authority,status,parent_framework,short_name
13400,HITECH_SUBTITLE_A,42 U.S.C. §17930,Definitions,Definitions related to HITECH privacy provisions and key terms,"Defines critical terms including unsecured PHI breach compromise presumption low risk of compromise business associate direct liability and related enforcement concepts used throughout HITECH Act","Unsecured PHI, Breach definition, Compromise presumption, Low risk threshold, Business associate, Subcontractor, Direct liability, Electronic PHI",2009-02-17,United States (Federal),HHS Office for Civil Rights (OCR),Active and regularly enforced,HITECH Act Title I,Definitions (13400)
13402,HITECH_SUBTITLE_D,42 U.S.C. §17932,Breach Notification,Notification in case of breach of unsecured protected health information,"Comprehensive breach notification requirements establishing mandatory notification of individuals within 60 calendar days discovery of breach of unsecured PHI includes individual media and HHS notification procedures timeline and content requirements","Breach discovery, 60-day timeline, Individual notification, Media notification (500+), HHS notification, Unsecured PHI, Risk assessment, Four-factor test, Compromise presumption, Safe harbor provisions",2009-02-17,United States (Federal),HHS Office for Civil Rights (OCR),Active and regularly enforced,HITECH Act Title I,Breach Notification (13402)
13404,HITECH_SUBTITLE_A,42 U.S.C. §17934,Notification by Business Associates,Requirements for business associates to notify covered entities of breaches,"Business associates must notify covered entities of any breach of unsecured PHI without unreasonable delay and no later than 60 calendar days from discovery of breach included detailed breach information for covered entity to issue individual notifications","Business associate notification, Covered entity notification, 60-day timeline, Detailed breach information, Affected individuals list, PHI categories, Mitigation steps, Investigation results",2009-02-17,United States (Federal),HHS Office for Civil Rights (OCR),Active and regularly enforced,HITECH Act Title I,BA Breach Notification (13404)
13405,HITECH_SUBTITLE_A,42 U.S.C. §17935,Business Associate Agreements,Requirements for business associate agreements and compliance,"HITECH requires covered entities to ensure business associates and all subcontractors comply with HIPAA Privacy and Security Rules establishes direct liability for business associates and requires written business associate agreements with specified terms and conditions","Business Associate Agreement, Direct liability, Subcontractor liability, BAA requirements, Compliance obligations, Minimum necessary, Uses and disclosures, Safeguard implementation, Breach reporting, Termination clauses",2009-02-17,United States (Federal),HHS Office for Civil Rights (OCR),Active and regularly enforced,HITECH Act Title I,BA Agreements (13405)
13406,HITECH_SUBTITLE_D,42 U.S.C. §17936,Civil Monetary Penalties,Tiered civil monetary penalties for HIPAA violations,"HITECH established four-tier penalty framework for HIPAA violations scaled to culpability level Tier 1 unknowing violations $100-50000 per violation Tier 2 reasonable cause $1000-50000 Tier 3 willful neglect corrected $10000-50000 Tier 4 willful neglect not corrected $20000-50000 with $1.5M annual cap","Tier 1 unknowing violation, Tier 2 reasonable cause, Tier 3 willful neglect (corrected), Tier 4 willful neglect (not corrected), Penalty ranges, Annual caps, Mitigating factors, Corrective action plans, Penalty assessment",2009-02-17,United States (Federal),HHS Office for Civil Rights (OCR),Active and regularly enforced,HITECH Act Title I,Tiered Penalties (13406)
13407,HITECH_SUBTITLE_D,42 U.S.C. §17937,Enforcement Activities of Secretary,HHS enforcement authority and procedures for HIPAA compliance,"OCR enforcement authority to investigate HIPAA complaints conduct periodic compliance audits issue penalties issue warning letters require corrective action plans audit both covered entities and business associates with same enforcement procedures and authority expanded from original HIPAA","OCR investigation authority, Compliance audits, Desk audits, On-site audits, Penalty authority, Corrective action plans, Warning letters, Notice of violation, Evidence collection, Subpoena authority",2009-02-17,United States (Federal),HHS Office for Civil Rights (OCR),Active and regularly enforced,HITECH Act Title I,OCR Enforcement Authority (13407)
13408,HITECH_SUBTITLE_A,42 U.S.C. §17938,Business Associate Requirements,Specific requirements for business associates regarding safeguards and breach notification,"Business associates must implement HIPAA Privacy and Security Rule safeguards conduct regular risk assessments maintain audit logs provide breach notification to covered entities and maintain documentation of compliance efforts business associates directly liable for HIPAA violations and subject to same penalties as covered entities","Business associate safeguards, Risk assessment requirement, Audit logging, Breach notification, Direct liability, Same penalties as covered entities, Compliance documentation, Security measures implementation, Training requirements",2009-02-17,United States (Federal),HHS Office for Civil Rights (OCR),Active and regularly enforced,HITECH Act Title I,BA Requirements (13408)
13409,HITECH_SUBTITLE_D,42 U.S.C. §17939,Criminal Penalties,Criminal penalties for knowing HIPAA violations,"HITECH establishes criminal liability for knowing HIPAA violations obtaining or disclosing PHI under false pretenses with commercial advantage or private gain criminal penalties up to $250000 fine and or 10 years imprisonment for single knowing violation multiple years imprisonment for multiple violations","Knowing violation, Commercial advantage, Private gain, Criminal penalties, $250,000 fine, 10-year imprisonment, Multiple offenses, False pretenses, Department of Justice referral",2009-02-17,United States (Federal),HHS Office for Civil Rights (OCR),Active and regularly enforced,HITECH Act Title I,Criminal Penalties (13409)
13410,HITECH_SUBTITLE_A,42 U.S.C. §17940,Accounting of Disclosures,Enhanced accounting of disclosures requirements,"HITECH expands accounting of disclosures requirement to 3 years for covered entities and business associates must track all uses and disclosures of PHI provide detailed accounting including date recipient purpose and type of information individual can request accounting at any time covered entity must provide within 30 days","3-year accounting history, All disclosures tracked, Detailed accounting content, Recipient identification, Purpose of disclosure, PHI type disclosed, Accounting request procedure, 30-day response timeline",2009-02-17,United States (Federal),HHS Office for Civil Rights (OCR),Active and regularly enforced,HITECH Act Title I,Accounting Disclosures (13410)
13411,HITECH_SUBTITLE_A,42 U.S.C. §17941,Restrictions on Use and Disclosure,Requirements for restricting uses and disclosures of PHI,"Individuals have enhanced right to request restrictions on use and disclosure of PHI covered entity must implement appropriate restrictions business associate must comply with use and disclosure restrictions contained in business associate agreement applies minimum necessary standard to all uses and disclosures","Use restrictions, Disclosure restrictions, Individual requests, Restriction implementation, Minimum necessary standard, Business associate compliance, Covered entity obligations",2009-02-17,United States (Federal),HHS Office for Civil Rights (OCR),Active and regularly enforced,HITECH Act Title I,Use/Disclosure Restrictions (13411)
13412,HITECH_SUBTITLE_B,42 U.S.C. §17951,Certified EHR Technology,Requirements for certified electronic health record technology,"Office of National Coordinator establishes standards for certifying EHR systems certified EHR must meet functional security and privacy requirements establish testing procedures and maintain authoritative list of certified systems EHR vendors must develop systems meeting certification standards and undergo certification testing","ONC certification standards, EHR functional requirements, Security requirements, Privacy requirements, Testing procedures, Certified system list, Vendor certification, Compliance testing, Interoperability requirements",2009-02-17,United States (Federal),Office of the National Coordinator (ONC),Active and regularly enforced,HITECH Act Title I,Certified EHR Technology (13412)
13413,HITECH_SUBTITLE_C,42 U.S.C. §17961,Grants for Health Information Technology,"Grants and financial resources for healthcare providers to adopt EHR systems and support health IT implementation and workforce development","HHS and CMS provide grants to eligible healthcare providers and organizations for EHR adoption implementation and training grants support acquisition implementation workforce training and infrastructure development to accelerate health IT adoption across healthcare","Eligibility criteria, Grant amounts, Application procedures, Eligible uses, Workforce training, Infrastructure development, Grant accountability, Clawback provisions",2009-02-17,United States (Federal),HHS and Centers for Medicare & Medicaid Services (CMS),Active and regularly enforced,HITECH Act Title I,Grants for Health IT (13413)
13414,HITECH_SUBTITLE_C,42 U.S.C. §17962,Loans for Health Information Technology,"Loan programs for healthcare organizations to finance EHR adoption and implementation costs and related health IT infrastructure development","HHS and CMS establish loan programs for eligible healthcare providers with favorable terms to finance EHR and health IT implementation loans support technology acquisition system integration and infrastructure development to reduce capital barriers to EHR adoption","Loan eligibility, Interest rates, Repayment terms, Loan amounts, Collateral requirements, Default procedures, Loan guarantees, Disbursement procedures",2009-02-17,United States (Federal),HHS and Centers for Medicare & Medicaid Services (CMS),Active and regularly enforced,HITECH Act Title I,Loans for Health IT (13414)
13415,HITECH_SUBTITLE_C,42 U.S.C. §17963,Workforce Development for Health Information Technology,"Funding for workforce development training and education programs for healthcare IT professionals and clinical staff to support EHR adoption and health IT implementation","CMS and HHS support development and delivery of training curricula for health IT professionals clinical informatics training clinical staff training and organizational change management training to develop qualified workforce to support EHR systems development testing implementation and operations","Training program development, Curriculum design, Clinical informatics training, EHR system training, Change management training, End-user training, Certification programs, Continuing education, Academic partnerships",2009-02-17,United States (Federal),HHS and Centers for Medicare & Medicaid Services (CMS),Active and regularly enforced,HITECH Act Title I,Workforce Development (13415)
13416,HITECH_SUBTITLE_D,42 U.S.C. §17964,Enforcement Actions and Corrective Actions,"Requirements for corrective action plans and enforcement procedures when HIPAA violations are identified","OCR requires covered entities and business associates to develop and implement corrective action plans to remediate identified violations corrective action plans must include root cause analysis remediation steps implementation timeline responsible parties and success metrics OCR monitors implementation and verifies compliance","Corrective action plans, Root cause analysis, Remediation procedures, Timeline requirements, Implementation monitoring, Compliance verification, Success metrics, CAP modifications",2009-02-17,United States (Federal),HHS Office for Civil Rights (OCR),Active and regularly enforced,HITECH Act Title I,Enforcement Actions (13416)
13417,HITECH_SUBTITLE_A,42 U.S.C. §17965,Privacy and Security Rules Enhancements,Enhancements to HIPAA Privacy and Security Rules through HITECH,"HITECH enhances HIPAA Privacy Rule with expanded individual rights mandatory breach notification extended accounting requirements and strengthened restrictions on use and disclosure HITECH enhances Security Rule with mandatory risk assessment requirements encryption standards access control requirements audit logging requirements and incident response requirements","Risk assessment (mandatory), Encryption standards, Access controls, Audit logging, Incident response, Individual rights, Breach notification, Minimum necessary standard, Privacy training",2009-02-17,United States (Federal),HHS Office for Civil Rights (OCR),Active and regularly enforced,HITECH Act Title I,Privacy/Security Rules Enhanced (13417)
13418,HITECH_SUBTITLE_D,42 U.S.C. §17966,Safe Harbor Amendment Recognized Security Practices,"Penalty mitigation for organizations implementing recognized security practices as of January 5 2021 amendment","OCR may reduce or waive penalties for Tier 3 willful neglect violations if entity demonstrated implementation of recognized security practices from NIST Cybersecurity Framework or HHS 45 CFR 164.308(a)(7) guidance for 12 months prior to breach violation recognized practices include encryption standards access controls audit logging key management risk assessment incident response","Recognized security practices, NIST CSF compliance, HHS 405(d) guidance, Implementation period (12+ months), Penalty reduction/waiver, Encryption (AES-256, TLS 1.2+), MFA requirements, Audit logging (6+ years)",2021-01-05,United States (Federal),HHS Office for Civil Rights (OCR),Active and regularly enforced,HITECH Act Title I,Safe Harbor Amendment (13418)
13419,HITECH_SUBTITLE_D,42 U.S.C. §17967,State Attorney General Authority,"State-level enforcement authority under HIPAA and HITECH for consumer protection and health information privacy violations","State attorneys general have authority to pursue civil actions for HIPAA and HITECH violations affecting state residents state AGs can recover actual damages statutory damages up to $100 per violation court costs and attorney fees state AGs also have authority to pursue public health and consumer protection actions for information privacy breaches","Civil action authority, State resident jurisdiction, Actual damages, Statutory damages, Court costs, Attorney fees, Public health authority, Consumer protection, Coordination with federal enforcement",2009-02-17,United States (Federal),State Attorneys General,Active and regularly enforced,HITECH Act Title I,State AG Authority (13419)
13420,HITECH_SUBTITLE_B,42 U.S.C. §17968,EHR Testing and Certification Standards,"ONC testing and certification standards for electronic health record systems and health IT modules","ONC establishes comprehensive testing and certification standards for EHR systems and health IT modules testing procedures validate compliance with functional requirements security standards privacy standards and interoperability requirements certified EHR systems must meet these standards to qualify for meaningful use incentive payments and federal procurement","Testing standards, Functional requirements, Security testing, Privacy testing, Interoperability testing, Certification criteria, Certified system list, Annual recertification, Version updates, Module certification",2009-02-17,United States (Federal),Office of the National Coordinator (ONC),Active and regularly enforced,HITECH Act Title I,EHR Testing/Certification (13420)
13421,HITECH_SUBTITLE_C,42 U.S.C. §17969,EHR Incentive Payments Meaningful Use,"Medicare and Medicaid incentive payments for eligible providers adopting certified EHR technology and achieving meaningful use objectives","CMS administers EHR incentive programs providing Medicare and Medicaid payments to eligible providers hospitals and critical access hospitals for adopting certified EHR systems and demonstrating meaningful use of EHR technology meaningful use requires demonstrating clinical objectives administrative objectives and interoperability objectives to qualify for incentive payments payments decrease after 2015 and phase out transitioning to promoting interoperability program and MIPS framework","Eligibility criteria, Incentive payment amounts, Meaningful use objectives, Clinical objectives, Administrative objectives, Interoperability objectives, Attestation requirements, Payment schedules, Transition to MIPS",2009-02-17,United States (Federal),Centers for Medicare & Medicaid Services (CMS),Active and regularly enforced,HITECH Act Title I,EHR Incentive Payments (13421)
