control_id,requirement_id
00.a,IMP-00.a-L1
00.a,IMP-00.a-L2
00.a,IMP-00.a-L3
00.a,IMP-00.a-CMS
00.a,IMP-00.a-HIX
00.a,IMP-00.a-PCI
00.a,IMP-00.a-NYDOH
00.a,IMP-00.a-DGF
00.a,IMP-00.a-HICP
01.a,IMP-01.a-L1
01.a,IMP-01.a-L2
01.a,IMP-01.a-L3
01.a,IMP-01.a-CMS
01.a,IMP-01.a-NYDOH
01.a,IMP-01.a-HICP
01.a,IMP-01.a-NIS2
01.b,IMP-01.b-L1
01.b,IMP-01.b-L2
01.b,IMP-01.b-L3
01.b,IMP-01.b-CIS
01.b,IMP-01.b-CMS
01.b,IMP-01.b-NYDOH
01.c,IMP-01.c-L1
01.c,IMP-01.c-L2
01.c,IMP-01.c-L3
01.c,IMP-01.c-CIS
01.c,IMP-01.c-CMS
01.c,IMP-01.c-HIE
01.c,IMP-01.c-HIX
01.c,IMP-01.c-NYDOH
01.d,IMP-01.d-L1
01.d,IMP-01.d-L2
01.d,IMP-01.d-L3
01.d,IMP-01.d-CIS
01.d,IMP-01.d-CMS
01.d,IMP-01.d-PCI
01.d,IMP-01.d-NYDOH
01.e,IMP-01.e-L1
01.e,IMP-01.e-L2
01.e,IMP-01.e-HIE
01.e,IMP-01.e-HIX
01.e,IMP-01.e-NYDOH
01.f,IMP-01.f-L1
01.f,IMP-01.f-L2
01.g,IMP-01.g-L1
01.g,IMP-01.g-L2
01.h,IMP-01.h-L1
01.h,IMP-01.h-L2
01.i,IMP-01.i-L1
01.i,IMP-01.i-L2
01.i,IMP-01.i-CMS
01.j,IMP-01.j-L1
01.j,IMP-01.j-L2
01.j,IMP-01.j-L3
01.j,IMP-01.j-CIS
01.j,IMP-01.j-CMS
01.j,IMP-01.j-HIX
01.j,IMP-01.j-PCI
01.j,IMP-01.j-NYDOH
01.j,IMP-01.j-HICP
01.k,IMP-01.k-L1
01.k,IMP-01.k-L2
01.l,IMP-01.l-L1
01.l,IMP-01.l-L2
01.l,IMP-01.l-L3
01.l,IMP-01.l-CMS
01.l,IMP-01.l-HICP
01.m,IMP-01.m-L1
01.m,IMP-01.m-L2
01.m,IMP-01.m-CIS
01.m,IMP-01.m-CMS
01.m,IMP-01.m-NYDOH
01.m,IMP-01.m-HICP
01.n,IMP-01.n-L1
01.n,IMP-01.n-L2
01.n,IMP-01.n-CMS
01.n,IMP-01.n-NYDOH
01.o,IMP-01.o-L1
01.o,IMP-01.o-CMS
01.o,IMP-01.o-HICP
01.p,IMP-01.p-L1
01.p,IMP-01.p-L2
01.p,IMP-01.p-L3
01.p,IMP-01.p-CIS
01.p,IMP-01.p-CMS
01.q,IMP-01.q-L1
