id,control_id,level,text
IMP-00.a-L1,00.a,Level 1 (Validated),"The organization has a formal information security management program (ISMP) that is documented and addresses the overall security program of the organization. Management support for the ISMP is demonstrated through signed acceptance or approval by management. The ISMP is based on an accepted industry framework, considers all the control objectives of the accepted industry framework, documents any excluded control objectives of the accepted industry framework and the reasons for their exclusion, and is updated at least annually or when there are significant changes in the environment."
IMP-00.a-L2,00.a,Level 2 (Validated),"The information security management program (ISMP) has been established, implemented, operational, monitored, reviewed, and maintained. The ISMP is formally documented, protected, controlled, and retained according to federal, state and organizational requirements. The ISMP also incorporates a Plan, Do, Check, Act (PDCA) cycle for continuous improvement in the ISMP, particularly as information is obtained that could improve the ISMP, or indicates any shortcomings of the ISMP."
IMP-00.a-L3,00.a,Level 3 (Certified),"The information security management program (ISMP) has appropriate resources, roles, and responsibilities defined to establish, implement, operate, monitor, review, and maintain the ISMP. Further, independent audits also determine the continuing suitability, adequacy and effectiveness of the program. The organization continuously improves the ISMP through the use of the information security policy, information security objectives, audit results, analysis of monitored events, corrective and preventative actions and management review. The above requirements are to be formally defined and documented in the policies and/or standards."
IMP-00.a-CMS,00.a,Level CMS,"The organization develops, documents, and disseminates to organization-defined personnel or roles a security awareness and training policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance, and procedures to facilitate the implementation of the security awareness and training policy and associated security awareness and training controls. The organization reviews and updates the current security awareness and training policy at least annually or whenever a significant change occurs, and security awareness and training procedures at least annually or whenever a significant change occurs."
IMP-00.a-HIX,00.a,Level HIX,"The organization has a formal information security management program (ISMP) based on an accepted industry framework that is documented that addresses the overall security program of the organization. Management support for the ISMP is demonstrated through signed acceptance or approval by management. The ISMP considers all the control objectives of the accepted industry framework and documents any excluded control objectives of the accepted industry framework and the reasons for their exclusion. The ISMP is updated at least annually or when there are significant changes in the environment. Further, the program plan is protected from unauthorized disclosure and modification."
IMP-00.a-PCI,00.a,Level PCI,"The organization confirms PCI DSS scope annually and upon significant change to the in-scope environment. At a minimum, the scoping validation includes identifying all data flows for the various payment stages and acceptance channels, updating all data-flow diagrams, identifying all locations where account data is stored, processed, and transmitted, identifying all system components in the CDE, connected to the CDE, or that could impact security of the CDE, identifying all segmentation controls in use and the environment(s) from which the CDE is segmented, including justification for environments being out of scope, identifying all connections from third-party entities with access to the CDE, and confirming that all identified data flows, account data, system components, segmentation controls, and connections from third parties with access to the CDE are included in scope.
When being assessed as a service provider, the organization communicates to executive management significant changes to organizational structure along with the results of the review of the impact to scope and applicability of controls."
IMP-00.a-NYDOH,00.a,Level NYDOH,"The organization establishes, maintains, and resources a system and information integrity plan that includes: a continuous monitoring strategy and a continuous monitoring program that includes ongoing security control assessments in accordance with the organizational continuous monitoring strategy.
The organization develops a continuous monitoring strategy. The organization implements a continuous monitoring program that includes reporting the security status of the organization and information system to defined personnel or roles (defined in the applicable system security plan) monthly."
IMP-00.a-DGF,00.a,Level DGF,"The organization has a formally defined Data Governance program with defined vision and goals.
A consistent framework is used to manage Data Governance."
IMP-00.a-HICP,00.a,Level HICP,"The organization establishes, maintains, and resources an awareness and training plan that includes: a mission and/or vision statement; strategic goals/objectives, preferably in SMART format (i.e., Specific, Measurable, Attainable, Result-focused, Time-bound); a project plan to record activities, due dates, and organizational resources (e.g., funding, people, tools) assigned to the management or oversight of awareness and training activities; training needed to perform the awareness and training activities; involvement of relevant stakeholders; resources necessary to support all related activities; a defined frequency for plan review, typically no less than every 365 days; relevant standards and procedures with a focus on conducting security awareness activities; and relevant standards and procedures with a focus on conducting training."
IMP-01.a-L1,01.a,Level 1 (Validated),"Access control rules and rights for each user or group of users are based on clearly defined requirements for information dissemination and authorization (e.g., need-to- know, need-to-share, least privilege, security levels, and information classification). The policy further defines logical and physical access control rules and rights for each user or group of users are considered together and clearly defined in standard user access profiles (e.g., roles). The access control program takes into account security requirements of individual business applications and business units and ensures standard user access profiles for common jobs roles in the organization."
IMP-01.a-L2,01.a,Level 2 (Validated),"The organization ensures users and service providers are given a clear statement of the business requirements to be met by access controls. The access control policy defines business requirements and how access controls are used to protect data.
The access control policy defines requirements for formal authorization of access requests, modification of permissions/rights/access, emergency access, periodic review of access rights, and the removal of access. Further, the organization develops and disseminates/communicates a formal access control program (e.g., through policies and procedures) and reviews and updates the program annually."
IMP-01.a-L3,01.a,Level 3 (Certified),Information related to the business applications and risks the information is facing is identified. Access control and information classification policies of different systems and networks are consistent. Access rights are managed for all types of connections available in a distributed and networked environment.
IMP-01.a-CMS,01.a,Level CMS,"The organization enforces role-based access control policies over all subjects and objects where the policy specifies that a subject that has been granted access to information is constrained from passing the information to unauthorized subjects or objects, granting its privileges to other subjects, changing one or more security attributes on subjects, objects, the information system, or information system components, and choosing the security attribute and attribute values to be associated with newly created or modified objects."
IMP-01.a-NYDOH,01.a,Level NYDOH,"The organization develops, documents, and disseminates to applicable personnel an access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance.
The organization only permits the use of shared/group accounts when a business need can be documented and approved, in advance, by the Authorizing Official (AO). When shared/group accounts are used, the applicable System Security Plan (SSP) describes how the shared/group accounts are used and includes compensating processes and procedures implemented to provide the ability to uniquely attribute account user activities."
IMP-01.a-HICP,01.a,Level HICP,"The organization uses access governance tools to prevent or detect segregation of incompatible duties conflicts across critical information systems, and to facilitate the periodic review of access rights."
