control_id,category_id
A.5.1,5
A.5.2,5
A.5.3,5
A.5.4,5
A.5.5,5
A.5.6,5
A.5.7,5
A.5.8,5
A.5.9,5
A.5.10,5
A.5.11,5
A.5.12,5
A.5.13,5
A.5.14,5
A.5.15,5
A.5.16,5
A.5.17,5
A.5.18,5
A.5.19,5
A.5.20,5
A.5.21,5
A.5.22,5
A.5.23,5
A.5.24,5
A.5.25,5
A.5.26,5
A.5.27,5
A.5.28,5
A.5.29,5
A.5.30,5
A.5.31,5
A.5.32,5
A.5.33,5
A.5.34,5
A.5.35,5
A.5.36,5
A.5.37,5
A.6.1,6
A.6.2,6
A.6.3,6
A.6.4,6
A.6.5,6
A.6.6,6
A.6.7,6
A.6.8,6
A.7.1,7
A.7.2,7
A.7.3,7
A.7.4,7
A.7.5,7
A.7.6,7
A.7.7,7
A.7.8,7
A.7.9,7
A.7.10,7
A.7.11,7
A.7.12,7
A.7.13,7
A.7.14,7
A.8.1,8
A.8.2,8
A.8.3,8
A.8.4,8
A.8.5,8
A.8.6,8
A.8.7,8
A.8.8,8
A.8.9,8
A.8.10,8
A.8.11,8
A.8.12,8
A.8.13,8
A.8.14,8
A.8.15,8
A.8.16,8
A.8.17,8
A.8.18,8
A.8.19,8
A.8.20,8
A.8.21,8
A.8.22,8
A.8.23,8
A.8.24,8
A.8.25,8
A.8.26,8
A.8.27,8
A.8.28,8
A.8.29,8
A.8.30,8
A.8.31,8
A.8.32,8
A.8.33,8
A.8.34,8
