clause_id,clause_name,category_id
1,Scope,1
2,Normative references,2
3,"Terms, definitions and abbreviations",3
4,Context of the organization,4
4.1,Understanding the organization and its context,4
4.2,Understanding the needs and expectations of interested parties,4
4.3,Determining the scope of the privacy information management system,4
4.4,Privacy information management system,4
5,Leadership,5
5.1,Leadership and commitment,5
5.2,Privacy policy,5
5.3,"Roles, responsibilities and authorities",5
6,Planning,6
6.1,Actions to address risks and opportunities,6
6.1.1,General,6
6.1.2,Privacy risk assessment,6
6.1.3,Privacy risk treatment,6
6.2,Privacy objectives and planning to achieve them,6
6.3,Planning of changes,6
7,Support,7
7.1,Resources,7
7.2,Competence,7
7.3,Awareness,7
7.4,Communication,7
7.5,Documented information,7
7.5.1,General,7
7.5.2,Creating and updating documented information,7
7.5.3,Control of documented information,7
8,Operation,8
8.1,Operational planning and control,8
8.2,Privacy risk assessment,8
8.3,Privacy risk treatment,8
9,Performance evaluation,9
9.1,"Monitoring, measurement, analysis and evaluation",9
9.2,Internal audit,9
9.2.1,General,9
9.2.2,Internal audit programme,9
9.3,Management review,9
9.3.1,General,9
9.3.2,Management review inputs,9
9.3.3,Management review results,9
10,Improvement,10
10.1,Continual improvement,10
10.2,Nonconformity and corrective action,10
11,Further information on annexes,11
