bcs_id,bcs_name,bcs_type,impact_rating,facility_id,facility_name,facility_type,responsible_entity,classification_basis,bright_line_criteria,associated_functions,cyber_assets_count,eacms_count,pacs_count,pca_count,esp_id,rationale,cip_applicability,special_considerations
BCS-001,Primary Control Center EMS,Control Center System,High Impact,FAC-RC-001,Reliability Coordinator Control Center,Control Center,Registered Entity RC-001,"Control Center per CIP-002 Attachment 1 Section 2.4; Performs Real-time operations of BES","Each control center or backup control center used to perform the functional obligations of the Reliability Coordinator (RC)","Real-time monitoring; Real-time control; Real-time assessment; Contingency analysis; Reliability coordination","RC operations; BA operations; TOP operations; Real-time monitoring; SCADA/EMS; State estimator; Contingency analysis; AGC",45,8,3,12,ESP-RC-001,"Reliability Coordinator control center automatically High Impact per Attachment 1 Criteria 2.4; Performs real-time reliability functions; Critical for grid stability","All CIP standards CIP-002 through CIP-014; High Impact requirements; 15-month vulnerability assessment; 35-day configuration monitoring","Dual control centers (primary and backup); Geographic diversity; Redundant systems; 24/7 operations; Regulatory coordination with NERC"
BCS-002,Backup Control Center System,Control Center System,High Impact,FAC-RC-002,Backup Reliability Coordinator Facility,Control Center,Registered Entity RC-001,"Backup control center per CIP-002 Attachment 1 Section 2.4; Can assume RC operations within specified timeframe","Each backup control center used to perform the functional obligations of the Reliability Coordinator in the event of a failure of the primary control center","RC backup operations; Hot standby or warm standby; Failover capability; Real-time data replication; System redundancy","RC backup; BA backup; Real-time monitoring (mirrored); SCADA/EMS (backup); Contingency analysis; Automated or manual failover",38,7,3,10,ESP-RC-002,"Backup control center for RC automatically High Impact per Attachment 1; Must be capable of performing RC functions; Geographic separation from primary","All CIP standards; High Impact requirements; Tested failover procedures; Recovery time objectives defined; Coordination with primary control center","Geographic diversity required; Regular failover testing; Data synchronization; Communication redundancy; May be shared backup facility"
BCS-003,765kV Transmission Substation System,Substation System,High Impact,FAC-SUB-001,765kV Critical Transmission Hub,Transmission Substation,Registered Entity TO-001,"Transmission substation per CIP-002 Attachment 1 Section 2.5; 765kV facility identified in CIP-002-5.1a applicability","Transmission Facilities at a single station or substation location that are identified by the Responsible Entity as critical to the reliable operation of the BES per CIP-014 and meet 765kV criteria","Transmission switching; Protection; Monitoring; Control; 765kV bulk power transfer; Regional interconnection","Protective relays (distance line differential); RTUs; Substation automation; Breaker control; SCADA interface; PMU synchrophasor; Communication systems",28,5,2,8,ESP-SUB-001,"765kV substation; CIP-014 critical facility; High Impact per voltage criteria and CIP-014 identification; Strategic importance to bulk transmission","CIP-002 through CIP-014; High Impact BCS requirements; CIP-014 physical security testing (biennial); Enhanced physical security; Law enforcement coordination","Unmanned facility; Remote monitoring; Periodic physical inspection; Environmental challenges; CIP-014 coordination with law enforcement; Physical security testing"
BCS-004,Generation Plant Control System - Nuclear,Generation System,High Impact,FAC-GEN-001,Nuclear Generation Facility,Generation Facility,Registered Entity GO-001,"Generation Facility per CIP-002 Attachment 1 Section 2.1; Nuclear generation >1500 MW aggregate nameplate","Generation at a single site with aggregate capacity >1500 MW in a single Interconnection","Generator control; Turbine control; Excitation control; Governor control; Plant monitoring; Unit dispatch; AGC interface","Generator controls; Turbine control system; DCS (non-safety); Plant information system; Unit dispatch; AGC; Auxiliary systems (non-safety); Balance of plant controls",52,9,4,15,ESP-GEN-001,"Nuclear generation >1500 MW automatically High Impact; Separate from NRC-regulated safety systems per 10 CFR 50; Non-safety BES Cyber Systems","CIP-002 through CIP-013; High Impact requirements; Coordination with NRC 10 CFR 73 physical security; Dual regulation (NERC and NRC); Safety system separation critical","NRC coordination required; Safety systems separate (10 CFR 50 Appendix A); Physical security coordinated with NRC vital areas; Armed security force (NRC); Dual regulatory compliance"
BCS-005,Wind Farm Generation System,Generation System,Medium Impact,FAC-WIND-001,Wind Generation Facility 200MW,Generation Facility,Registered Entity GO-005,"Generation Facility per CIP-002 Attachment 1 Section 2.1; Aggregate capacity >75 MW but <1500 MW","Generation at a single site with aggregate capacity >75 MW but <1500 MW (Medium Impact)","Wind turbine control; Wind farm SCADA; Power collection; Inverter control; Grid interconnection; Real-time monitoring; Dispatch interface","Wind turbine controllers; Wind farm SCADA; Substation control; Inverter/converter control; Communication systems; Meteorological systems; Plant information system",35,6,2,9,ESP-WIND-001,"Wind farm aggregate capacity 200 MW; Medium Impact per >75 MW but <1500 MW criteria; Distributed generation; Intermittent resource","CIP-002 through CIP-011; Medium Impact requirements; Lower compliance burden than High Impact; 36-month vulnerability assessment","Large geographic area; Distributed turbines; Intermittent generation; Weather-dependent; Remote monitoring; Limited on-site staffing; Emerging technology considerations"
BCS-006,Coal Generation Plant Control System,Generation System,High Impact,FAC-GEN-002,Coal-Fired Generation Plant 2000MW,Generation Facility,Registered Entity GO-002,"Generation Facility per CIP-002 Attachment 1 Section 2.1; Coal generation aggregate >1500 MW","Generation at a single site with aggregate capacity >1500 MW","Boiler control; Turbine control; Generator control; Emissions control; Fuel handling; Unit dispatch; Plant monitoring","DCS (distributed control system); Turbine controls; Generator controls; Boiler controls; Emissions monitoring; Plant information system; Unit dispatch; AGC interface",48,8,3,14,ESP-GEN-002,"Coal plant 2000 MW aggregate capacity; High Impact per >1500 MW criteria; Base load generation; Critical for reliability","CIP-002 through CIP-014; High Impact requirements; Environmental monitoring integration; Emissions compliance coordination; Fuel supply critical","Base load plant; Environmental compliance (EPA); Emissions monitoring (non-CIP but integrated); Fuel supply chain; Aging infrastructure (many coal plants); Retirement considerations"
BCS-007,Balancing Authority EMS System,Control Center System,High Impact,FAC-BA-001,Balancing Authority Control Center,Control Center,Registered Entity BA-001,"Control Center per CIP-002 Attachment 1 Section 2.4; Performs Real-time operations of BES as Balancing Authority","Each control center or backup control center used to perform the functional obligations of the Balancing Authority (BA)","Real-time balancing; Generation dispatch; AGC (Automatic Generation Control); Frequency control; Interchange scheduling; Market interface","BA operations; EMS/SCADA; AGC; Generation dispatch; Interchange scheduling; Market systems; Frequency monitoring; Real-time balancing",42,7,3,11,ESP-BA-001,"Balancing Authority control center automatically High Impact per Attachment 1 Criteria 2.4; Performs real-time balancing and frequency control; Critical for Interconnection stability","All CIP standards CIP-002 through CIP-014; High Impact requirements; Coordination with market systems; Real-time balancing critical","Balancing operations 24/7; Market coordination; Generation dispatch real-time; Interchange coordination; Frequency response; Backup control center required"
BCS-008,Transmission Operator Control Center System,Control Center System,High Impact,FAC-TOP-001,Transmission Operator Control Center,Control Center,Registered Entity TOP-001,"Control Center per CIP-002 Attachment 1 Section 2.4; Performs Real-time operations of BES as Transmission Operator","Each control center or backup control center used to perform the functional obligations of the Transmission Operator (TOP)","Real-time transmission operations; Switching operations; Outage coordination; Voltage control; Reactive power management; SCADA monitoring","TOP operations; EMS/SCADA; Switching operations; Outage management; Voltage control; Real-time monitoring; Transmission analysis; Operator training simulator",40,7,3,10,ESP-TOP-001,"Transmission Operator control center automatically High Impact per Attachment 1 Criteria 2.4; Performs real-time transmission operations; Switching authority","All CIP standards CIP-002 through CIP-014; High Impact requirements; Switching procedures critical; Operator training requirements; Safety coordination","Real-time switching authority; Outage coordination; Voltage and reactive control; Transmission line monitoring; Substation monitoring; Operator certification required"
BCS-009,500kV Substation Protection System,Substation System,Medium Impact,FAC-SUB-002,500kV Transmission Substation,Transmission Substation,Registered Entity TO-002,"Transmission substation per CIP-002 Attachment 1 Section 2.5; 500kV substation not identified as CIP-014 critical (otherwise High Impact)","Transmission Facilities at a single station or substation where CIP-014 does not apply but meets 500kV criteria","Transmission protection; Line protection; Breaker control; Substation automation; SCADA interface; Monitoring","Protective relays; RTU/SCADA; Substation automation; Communication equipment; Breaker controls; Monitoring systems; PMU (if installed)",22,4,2,6,ESP-SUB-002,"500kV substation; Medium Impact (not CIP-014 critical); Important but not critical per risk assessment; Regional transmission hub","CIP-002 through CIP-011; Medium Impact requirements; 36-month vulnerability assessment; Lower compliance burden than High Impact; Physical security per CIP-006 (Medium)","Unmanned substation; Remote monitoring; 500kV voltage; Not CIP-014 critical per assessment; Regional importance; Automated switching"
BCS-010,Battery Energy Storage System (BESS),Generation System,Medium Impact,FAC-BESS-001,Battery Storage Facility 150MW,Generation Facility,Registered Entity GO-006,"Generation Facility per CIP-002 Attachment 1 Section 2.1; Battery storage aggregate capacity >75 MW but <1500 MW","Generation at a single site with aggregate capacity >75 MW (battery storage qualifies as generation resource)","Battery charging; Battery discharging; Inverter control; Grid services (frequency regulation voltage support); Energy arbitrage; Ancillary services","Battery management system (BMS); Power conversion system (PCS); Energy management system; Grid interconnection controls; SCADA interface; Monitoring systems; Safety systems",30,5,2,8,ESP-BESS-001,"Battery storage 150 MW capacity; Medium Impact per >75 MW criteria; Emerging technology; Fast response capability; Grid services provider","CIP-002 through CIP-011; Medium Impact requirements; Emerging technology considerations; Battery safety integration; Fast response characteristics","Emerging technology; Fast response (milliseconds); Dual use (charging/discharging); Grid services; Energy arbitrage; Safety systems (thermal runaway); Lithium-ion chemistry; Technology evolution"
