external_network_id,network_name,network_type,network_category,owner_operator,trust_level,connectivity_type,security_boundary,typical_protocols,access_control_requirements,monitoring_requirements,data_classification,encryption_required,example_connections,cip_considerations,risk_profile
EXT-NET-001,Public Internet,External Untrusted Network,Internet,"ISPs and public infrastructure","Untrusted; Highest risk; No inherent security; Adversarial environment assumed","Routable public internet; IPv4/IPv6; Global reach; Unrestricted routing","Must be isolated from ESP by firewall; No direct connection to BES Cyber Systems; DMZ architecture required; Defense in depth","HTTP/HTTPS; FTP; SMTP; DNS; NTP (if external); General internet protocols","Firewall with default-deny rules; No direct BES access; Jump hosts for admin access; MFA for VPN; Proxy servers for outbound; IDS/IPS required","24/7 monitoring of internet-facing firewalls; Intrusion detection; DDoS monitoring; Threat intelligence correlation; Alert on anomalies; Log all connections","Public data only; No BCSI transmission unless encrypted; No BES control data; Monitoring and alerting data acceptable if secured","TLS 1.2+ required for all internet data; VPN with AES-256 for remote access; No cleartext transmission of credentials or BCSI","Vendor remote access via VPN; Patch/update downloads; Email (corporate); Web browsing (limited); Public NTP servers; Threat intelligence feeds; Public DNS queries","CIP-005: Internet considered External Routable Connectivity; MFA required for remote access through internet; Firewall protection mandatory; High-risk network requiring strong controls","Very High - Adversarial; Nation-state threats; Cybercrime; Malware distribution; DDoS attacks; Reconnaissance; Zero-day exploits; Phishing and social engineering"
EXT-NET-002,Corporate Network / Enterprise IT,Internal but Separate Network,Corporate IT,"Responsible Entity (internal IT department)","Low-to-Medium trust; Separate from BES operations; Business systems; Not operational technology","Corporate LAN/WAN; Office networks; Business applications; Email and collaboration; Finance and HR systems","Separated from ESP by firewall or jump host; One-way data flow preferred; No direct access to BES Cyber Systems; Jump host or data diode for data transfer","HTTP/HTTPS; SMB/CIFS; Active Directory; Email (Exchange/O365); Collaboration tools; Enterprise applications; VoIP","Firewall between corporate and ESP; Jump hosts for admin access; No direct BES access from corporate; Separate authentication (AD) from BES systems; Role-based access control","Standard corporate monitoring; SIEM for security events; Access logging; Anomaly detection; Periodic security assessments; Vulnerability scanning","Corporate confidential data; Financial data; HR data; Business data; BCSI may transit if encrypted; Email and documents","Encryption for data at rest and in transit (varies); BCSI must be encrypted if stored on corporate; VPN for remote corporate access; TLS for internal applications","Admin jump hosts to ESP; Data transfer from BES to corporate (one-way); Email for operations personnel; Document management; Business intelligence dashboards; Corporate authentication (AD)","CIP-005: Corporate network typically outside ESP; Treated as external for BES access; Jump hosts common architecture; Risk of lateral movement from corporate to BES if not properly segmented; BCSI protection required","Medium-High - Larger attack surface; More users; Phishing risks; Malware entry point; Compromised credentials; Lateral movement risk to BES if not segmented; Supply chain attacks via corporate systems"
EXT-NET-003,Cloud Service Provider Network,External Cloud Infrastructure,Cloud Platform,"Third-party cloud provider (AWS Azure GCP etc.)","Medium trust; Depends on provider; Shared responsibility model; Encryption and access controls critical","Cloud-based infrastructure; Virtual networks; SaaS PaaS IaaS; API-based access; Geographically distributed","Cloud network boundary defined by VPC/VNet; Encryption in transit required; Access via API or VPN; Cloud provider security controls; Segmentation within cloud","HTTPS/TLS; API calls (REST); SSH/RDP (management); Cloud-native protocols; Database protocols; Object storage protocols","MFA required; API keys with rotation; IAM policies; Network ACLs; Security groups; Encryption at rest and in transit; Least privilege access","Cloud-native monitoring; CloudTrail/Azure Monitor/GCP logging; SIEM integration; API call logging; Data access logging; Security posture monitoring; Compliance dashboards","Data classification depends on use case; BCSI requires encryption and strict access controls; Operational data may be stored if secured; Analytics and non-control data acceptable","Encryption at rest (AES-256); Encryption in transit (TLS 1.2+); Key management (cloud KMS or external); Data sovereignty considerations; Encryption for BCSI mandatory","Cloud analytics platforms; Non-control data storage; Backup storage (encrypted); Business intelligence; Machine learning models; Monitoring and alerting platforms; Third-party SaaS integrations","CIP-013: Cloud providers require vendor assessment; CIP-011: BCSI encryption mandatory; Cloud CIP applicability evolving; Data residency and sovereignty; Cloud control plane vs data plane separation; Emerging regulatory guidance","Medium - Depends on implementation; Shared responsibility model; Data residency concerns; API security; Identity and access management; Encryption key management; Cloud provider vulnerabilities; Multi-tenancy risks"
EXT-NET-004,Field Network / SCADA Network (Remote),External Operational Network,Field Operations,"Responsible Entity (field operations)","Medium-High trust; Operational network; Remote sites; Limited personnel; Physical security varies","Field communication networks; Microwave; Fiber; Cellular/LTE; Satellite; Serial protocols; Point-to-point links","May be inside or outside ESP depending on architecture; Encrypted if outside ESP; Authentication required; Remote site boundary","DNP3; Modbus; IEC 61850; ICCP; Proprietary SCADA protocols; Serial over IP; Cellular data protocols","Authentication for remote access; Encryption for routable connections; Physical security at remote sites; Locked enclosures; Access control to communication equipment","Remote monitoring; Log aggregation from field devices; Alarm and alert systems; Communication link monitoring; Periodic field inspections; Anomaly detection","Operational data; SCADA measurements; Control commands; Configuration data; May contain BCSI (design and configuration information)","Encryption required if using routable protocols outside ESP; Serial protocols may not have encryption capability (TFE consideration); VPN for routable field networks","Substation SCADA; Generation plant monitoring; Distribution automation; PMU/synchrophasor data; Protective relay communication; Meteorological stations; Remote terminal units (RTUs)","CIP-005: Field networks may be part of ESP or external; Serial protocols present encryption challenges; TFE common for legacy serial; Remote site physical security per CIP-006; Communication security critical","Medium - Remote location risks; Physical access challenges; Communication link vulnerabilities; Protocol-specific risks; Legacy equipment; Environmental hazards; Limited monitoring capability at remote sites"
EXT-NET-005,Vendor Remote Access Network,Third-Party Access Network,Vendor Services,"Vendors and service providers","Low-to-Medium trust; Temporary access; Time-limited; Heavily monitored; MFA required","VPN-based access; IPsec or SSL VPN; Temporary tunnels; Just-in-time access; Controlled ingress/egress","VPN terminates in DMZ; Jump host to BES systems; No direct BES access; Session recording; Time-limited access; Vendor segmentation","VPN protocols (IPsec IKEv2 SSL/TLS); RDP/SSH through jump host; HTTPS for web interfaces; Vendor-specific protocols","MFA mandatory; Certificate-based VPN; Time-limited credentials; Just-in-time provisioning; Approval workflow; Vendor authorization; Access logging and monitoring","24/7 monitoring of vendor sessions; SIEM alerting; Session recording; Access logging; Real-time threat detection; Vendor activity auditing; Alert on anomalies","Vendor access to operational and potentially BCSI data; Configuration data; System designs; Troubleshooting data; Diagnostic information","VPN encryption (AES-256); Session encryption; Recorded sessions encrypted; Credential encryption; Certificate-based authentication","SCADA vendor support; DCS vendor maintenance; Firewall vendor management; Software updates and patches; Remote troubleshooting; Emergency support; Training and consulting","CIP-004: Vendor personnel require risk assessment; CIP-005: MFA required for vendor remote access; CIP-013: Vendor security assessment required; Vendor access heavily audited; Time-limited and monitored","Medium-High - Third-party risk; Credential compromise; Malicious vendor insider; Vendor network compromise; Supply chain attacks; Lateral movement from vendor access; Session hijacking; Credential theft"
EXT-NET-006,Inter-Control Center Network (ICCP),Operational Coordination Network,Critical Operations,"Multiple control centers (RC BA TOP)","High trust; Critical operations; Real-time coordination; Reliability-critical; Encrypted per CIP-012","ICCP/TASE.2 protocol; Dedicated circuits or encrypted tunnels; Point-to-point or hub-and-spoke; Real-time data exchange; High availability","Encrypted per CIP-012; Firewall protection; Isolated from general networks; Dedicated communication paths; Redundant connections for reliability","ICCP (IEC 60870-6/TASE.2); Real-time data protocols; Encrypted tunnels (IPsec); Proprietary utility protocols; Coordination messaging","Strong authentication; Encryption mandatory (CIP-012); Certificate-based; Firewall rules specific to ICCP peers; IP whitelisting; Mutual authentication","24/7 monitoring; Real-time data validation; Communication link health; Encryption status monitoring; Anomaly detection; Alert on ICCP failures; SIEM integration","Real-time operational data; Generation dispatch; Frequency data; Interchange schedules; Emergency coordination; Reliability commands; Critical for grid stability","TLS 1.2 or equivalent required per CIP-012; End-to-end encryption; Certificate management; Key rotation; Encrypted at rest and in transit","RC to BA coordination; BA to TOP coordination; RC to multiple BAs; Cross-border coordination; Emergency response coordination; Real-time reliability data","CIP-012: Encryption mandatory for RC/BA/TOP coordination; High priority for protection; Reliability-critical; Failure impacts grid stability; Advanced persistent threats target ICCP; Nation-state interest","High - Critical infrastructure; Nation-state targets; Grid stability impact; Real-time control data; Coordination disruption risk; Encryption mandatory; Advanced threats; Reliability implications if compromised"
EXT-NET-007,Partner Utility Network,External Utility Coordination,Utility Partnerships,"Adjacent utilities and coordination partners","Medium-High trust; Operational coordination; Mutual agreements; Peer utilities; Regional coordination","Utility-to-utility connections; Shared infrastructure; Regional coordination networks; Joint operations; Emergency coordination","Firewall-protected interfaces; Encrypted connections; Mutual agreements on security; Peer authentication; Segregated from internal networks","ICCP; DNP3; Modbus; Utility-specific protocols; Coordination messaging; Data exchange protocols","Mutual security agreements; Authentication; Encryption where feasible; Firewall rules specific to partner; Access control and monitoring; Security coordination","Coordinated monitoring; Security event sharing; Mutual assistance; Threat intelligence sharing; Incident coordination; Joint security assessments","Operational coordination data; Shared situational awareness; Emergency response information; Mutual aid coordination; Regional reliability data","Encryption for sensitive coordination data; BCSI protection if shared; Secure communication channels; Encrypted file transfers","Regional coordination; Mutual aid during emergencies; Shared situational awareness; Joint training and exercises; Equipment and resource sharing; Coordinated incident response","Utility partnerships require security coordination; Mutual agreements on CIP compliance; Shared threat intelligence; Joint incident response; Trust but verify principle; Coordination on vendor access and patching","Medium - Peer utility networks; Trust relationships; Coordination dependencies; Shared vulnerabilities; Regional threats; Mutual aid access; Compromised partner risks; Coordinated attacks"
EXT-NET-008,Distributed Generation / Microgrid Network,External Generation Network,Distributed Resources,"Independent power producers; Microgrid operators; Behind-the-meter generation","Low-to-Medium trust; Distributed and diverse; Aggregated generation; Market participants; Limited direct control","Distributed networks; Aggregators; Market systems; Communication to grid operator; Telemetry and control; Variable generation","Aggregation and isolation from bulk grid; Telemetry and monitoring; Limited direct control; Islanding capability; Market and dispatch interfaces","Inverter communications; IEEE 2030.5; SunSpec; OpenADR; Market protocols; Telemetry protocols; Aggregation platforms","Access control for grid operator; Aggregator security; Secure telemetry; Market system security; Encryption for sensitive data; Authentication for control commands","Monitoring of distributed resources; Aggregated telemetry; Grid services monitoring; Frequency response monitoring; Voltage regulation; Market participation tracking","Generation output data; Availability data; Forecast data; Market bids; Control signals; Operational status; Limited BCSI","Encryption for control and market data; Secure telemetry; Market transaction security; Authentication for dispatch commands","Solar inverters; Wind farms; Battery storage; Microgrids; Behind-the-meter generation; Virtual power plants; Demand response aggregators; Distributed energy resources (DER)","CIP applicability evolving for DER; Aggregated DER may reach BES thresholds; Market systems and telemetry security; Inverter-based resources; IEEE 2030.5 emerging standard; Virtual power plant security challenges","Medium - Distributed and diverse; Aggregator risks; Market system vulnerabilities; Inverter security; Communication protocols; Aggregation attacks; Market manipulation; Frequency and voltage stability impacts"
EXT-NET-009,Emergency Services Network,Emergency Coordination Network,Public Safety,"Local/state/federal emergency services","Medium trust; Emergency coordination; Public safety; Law enforcement; Fire and rescue; Emergency management","Radio networks; Public safety networks; FirstNet; Satellite communications; Emergency operations centers; Multi-agency coordination","Separate from utility operations; Coordination interfaces; Voice and data; Encrypted emergency communications; Multi-agency access","P25 radio; LTE (FirstNet); Satellite communications; Emergency alert systems; Interoperable communications; Multi-agency radio","Authentication for emergency personnel; Radio encryption; Secure channels; Emergency access procedures; Coordination protocols; Priority access during emergencies","Emergency coordination monitoring; Event-based activation; Incident command coordination; Multi-agency communications; Status updates; Resource coordination","Emergency response information; Critical infrastructure status; Public safety data; Evacuation information; Resource availability; Situational awareness","Encryption for sensitive emergency data; Secure coordination channels; Law Enforcement Sensitive (LES) protection; Critical infrastructure information protection","Law enforcement coordination (CIP-006 CIP-014); Fire and rescue; Emergency management; FEMA coordination; State emergency operations; Critical infrastructure protection; Physical security incidents","CIP-006: Law enforcement coordination; CIP-014: Physical security incident coordination; Physical security testing coordination; Emergency response for cyber-physical incidents; Critical infrastructure protection coordination","Medium - Emergency coordination critical; Multi-agency access; Physical security threats; Insider threat considerations; Emergency access procedures; Coordination during high-stress events; Public safety priorities"
EXT-NET-010,Business Partner / Market Network,External Business Network,Market Operations,"Market operators; Financial institutions; Business partners; Energy traders","Low-to-Medium trust; Business relationships; Market transactions; Financial settlement; Energy trading","Market platforms; Trading systems; Financial networks; Energy exchanges; Scheduling systems; Settlement platforms","Isolated from operational systems; Financial network separation; Market system security; Authentication and authorization; Secure APIs and interfaces","Market protocols; Financial APIs; Trading platforms; Scheduling systems; Settlement protocols; HTTP/HTTPS; Secure file transfers","Strong authentication; MFA for market access; API security; Role-based access control; Transaction integrity; Audit logging; Non-repudiation","Market transaction monitoring; Fraud detection; Compliance monitoring; Transaction logging; Financial audit trails; Security event monitoring","Market transaction data; Financial data; Trading information; Scheduling data; Settlement data; Confidential business information; Not typically BCSI","Encryption for financial transactions; Secure API communications; TLS 1.2+ for market data; Encrypted settlements; Confidential data protection","ISO/RTO market systems; Energy trading platforms; Financial settlement systems; Scheduling coordinators; Energy exchanges; Bilateral trading partners; Forward markets","Market systems separate from operational CIP systems; Financial settlement security; Trading system integrity; Market manipulation prevention; FERC oversight of markets; Confidentiality of market data","Medium - Market manipulation risks; Financial fraud; Trading system attacks; Confidential information disclosure; Insider trading; Business partner risks; API vulnerabilities; Transaction integrity threats"
