responsible_entity_id,entity_name,entity_type,entity_abbreviation,parent_organization,organization_structure,nerc_region,state_province,headquarters_location,annual_revenue_usd,employee_count,registered_status,registration_date,compliance_history,high_impact_bcs_count,medium_impact_bcs_count,low_impact_bcs_count,total_bcs_count,total_bca_count,cip_program_maturity,last_audit_date,audit_result,violations_history,remediation_status,cip_senior_manager_designated,compliance_officer_designated,security_officer_designated,entity_classification,service_territory,customer_base,generation_capacity_mw,transmission_miles,distribution_miles,functional_responsibilities,critical_functions,regulatory_obligations,third_party_dependencies,notes
RE-001,Reliability Coordinator - WECC,Reliability Coordinator,RC,WECC,Independent non-profit,"WECC (Western Electricity Coordinating Council)","Multiple States (Western US & Western Canada)","Salt Lake City, Utah","Not applicable (non-profit)",500,"Registered",2006,"Good - No significant violations in past 3 years",12,3,0,15,180,"Mature (5+ years)",2024-10-15,"Compliant - Minor findings corrected","None in past 3 years","Current - All remediation complete","Yes","Yes","Yes","Critical Infrastructure","11-state western region plus western Canada","All utilities in WECC region","Multiple - aggregated from member utilities","~185000 miles aggregated","~2.5 million miles aggregated","Real-time operations; Balancing; Frequency control; Congestion management; Emergency operations; Reliability assessment; Transmission corridor management; Emergency Manual intervention","Grid stability; Real-time frequency maintenance; Congestion relief; Emergency response; Interstate coordination","NERC compliance mandatory; FERC oversight; State regulatory coordination; Regional coordination agreements; International coordination with Mexico/Canada","Depends on member utilities for data; Coordinates with multiple BAs TOs GOs; Depends on critical infrastructure providers; International coordination dependencies","Largest WECC-region based entity; Critical for western grid reliability; Serves 11 western states plus Canada; 24/7 operations mandatory"
RE-002,Balancing Authority - Central,Balancing Authority,BA,Large Electric Utility,"Public utility corporation","WECC",Colorado,"Denver, Colorado",8500000000,12000,"Registered",2006,"Good - 1 minor violation resolved 2023",8,5,2,15,145,"Mature (5+ years)",2024-03-20,"Compliant - Some observations noted","1 minor CIP-005 violation (resolved)","Complete - Corrective actions verified","Yes","Yes","Yes","Large Utility","Colorado and surrounding region","~2.5 million residential/commercial/industrial customers",8000,"~3500 transmission miles","~60000 distribution miles","Load balancing; Generation dispatch; Frequency control; Demand-supply coordination; Renewable integration; Real-time monitoring; Contingency analysis","Reliable power supply; Frequency stability; Load balancing; Emergency response; Renewable integration; Grid modernization","NERC CIP compliance; FERC Part 35 tariff; State PUC oversight; NERC functional obligations; Regional coordination with RC and TOs","Depends on transmission operators; Generation partner coordination; Depends on market operator for settlements; Depends on weather forecasting services for solar/wind forecasting","Major US utility; Significant hydro and renewable resources; Complex operational requirements; Mature compliance program"
RE-003,Transmission Operator - Southwest,Transmission Operator,TO,Regional Transmission Operator,"Transmission-only utility","WECC",Arizona,"Phoenix, Arizona",2200000000,4500,"Registered",2007,"Good - No violations in past 5 years",5,3,1,9,95,"Mature (5+ years)",2024-09-10,"Compliant - Excellent documentation",None,"N/A - No violations to remediate","Yes","Yes","Yes","Transmission-Focused","Arizona transmission system serving 3 states","Serves 28 utilities as transmission customers; ~4.5 million population served",12000,"~8500 transmission miles",0,"Transmission line operations; Switching operations; Outage coordination; Voltage control; Reactive power management; Substation monitoring; SCADA operations; Real-time transmission monitoring","Reliable transmission; Switching authority; Emergency response; Transmission security; Cross-border coordination","NERC CIP compliance; FERC Part 35 and Part 37; State regulatory coordination; Regional coordination with RC BA GO","Depends on generation operators for power flow; Depends on distribution operators for interconnection agreements; Depends on market systems for scheduling; Coordinates with adjacent transmission operators","Specialized transmission operator; Comprehensive transmission system; Strong compliance history; Modern control systems"
RE-004,Generator Operator - Large Coal,Generator Operator,GO,Large Power Generation Company,"Generation-focused subsidiary","SERC (Southeast)","North Carolina","Charlotte, North Carolina",5500000000,3200,"Registered",2008,"Good - 2 minor violations (2022-2023) both resolved",6,4,0,10,120,"Mature (4+ years)",2024-06-15,"Compliant - Minor observations",2 minor observations corrected in 2023,"Complete - All actions verified","Yes","Yes","Yes","Generation-Focused","Multiple states (NC SC GA TN VA)","Sells to wholesale market; 15 utility customers; ~8 million people served indirectly",6500,150,0,"Generation unit control; Unit commitment; Real-time monitoring; AGC (Automatic Generation Control) interface; Emissions monitoring; Fuel management; Unit dispatch; Safety system coordination","Reliable generation; Real-time power supply; Grid frequency support; Ancillary services; Environmental compliance; Equipment protection","NERC CIP compliance; EPA environmental regulations; FERC functional compliance; State PUC oversight; NRC coordination (if nuclear); Coal plant regulations","Depends on fuel supply (coal); Depends on transmission operators for dispatch; Depends on control centers for AGC; Depends on environmental monitoring services; Fuel price volatility","Large generating company; Diverse fuel mix; Mature control systems; Strong operational history"
RE-005,Distribution Provider - Municipal,Distribution Provider,DP,Municipal Electric Utility,"Public municipal utility","WECC",California,"Palo Alto, California",450000000,850,"Registered",2015,"Compliant - No violations",1,0,0,1,25,"Developing (2-3 years)",2024-08-22,"Compliant - Good progress","None","N/A - No violations","Yes","Yes","Yes","Distribution-Only","Palo Alto CA service area","~65000 customers (mostly residential commercial)",0,8,"~2500 distribution miles","Distribution operations; Local load management; Outage response; Customer service; Local automation; Meter reading; Local SCADA operations","Reliable local distribution; Customer service; Local emergency response; Power quality; Outage restoration","NERC CIP compliance (Limited scope); State PUC oversight; Municipal charter compliance; Federal watershed regulations; Regional coordination with transmission operator","Depends on transmission operator for power supply; Depends on market operator for power purchasing; Depends on third-party contractors for maintenance; Depends on weather forecasting for demand prediction","Small progressive utility; Growing cyber maturity; Renewable integration focus; Community-oriented"
RE-006,Balancing Authority - Eastern,Balancing Authority,BA,Large Electric Utility,"Integrated utility holding company","RFC (Reliability First)","Pennsylvania","Pittsburgh, Pennsylvania",12000000000,18000,"Registered",2006,"Good - 1 major violation (2021) resolved with enhanced monitoring",12,6,3,21,220,"Mature (5+ years)",2024-04-18,"Compliant - Continued monitoring on 2021 incident","1 major CIP-007 violation (2021 - resolved with enhanced monitoring through 2024)","Verified complete Q4 2024","Yes","Yes","Yes","Large Integrated Utility","Pennsylvania; Western New York; Eastern Ohio; West Virginia","~8 million electricity customers; 200+ distribution utilities served",25000,2500,150000,"Load balancing; Generation dispatch; Frequency control; Black start capability; Emergency operations; Market participation; Nuclear coordination; Renewable integration","Reliable power; Frequency stability; Load balancing; System restoration capability; Nuclear safety coordination","NERC CIP compliance; FERC comprehensive regulations; NRC coordination (nuclear); State PUC oversight; Federal environmental regulations; Regional market participation (PJM)","Depends on multiple transmission operators; Depends on 200+ distribution utilities; Depends on nuclear facility operators; Depends on PJM market systems; Depends on multiple state regulators","Large complex utility; Nuclear generation experience; PJM market participation; Comprehensive compliance program; Recovery from 2021 incident"
RE-007,Transmission Owner - Midwest,Transmission Owner,TO,Large Utility Transmission Division,"Transmission division of utility holding company","MISO","Illinois; Wisconsin; Minnesota","Chicago, Illinois",18000000000,9000,"Registered",2006,"Good - No significant violations in past 4 years",8,4,2,14,165,"Mature (5+ years)",2024-07-12,"Compliant - Excellent audit findings","None significant in past 4 years","N/A - No major violations","Yes","Yes","Yes","Transmission-Focused","Midwest transmission system (IL WI MN IA)","Serves 45 utilities; ~12 million population served indirectly",35000,15000,0,"Transmission operations; Switching; Outage coordination; Voltage management; Protective relaying; SCADA operations; Emergency response; Substation management","Transmission reliability; Switching authority; Emergency response; Grid security; Critical infrastructure protection","NERC CIP compliance; FERC Part 35/37/47; MISO tariff compliance; State regulatory coordination; North American reliability obligations","Depends on generation operators; Depends on distribution operators; Depends on MISO market; Depends on adjacent transmission owners; MISO coordination","Major Midwest transmission operator; Extensive network; Mature program; MISO market integration"
RE-008,Reliability Coordinator - ERCOT,Reliability Coordinator,RC,Retail Electric Provider Association,"Non-profit organization",ERCOT,"Texas","Austin, Texas",120000000,350,"Registered",2010,"Good - 1 observation corrected 2023",8,2,1,11,135,"Mature (4+ years)",2024-05-22,"Compliant - 1 observation resolved","1 minor process observation (resolved 2023)","Complete - Implementation verified","Yes","Yes","Yes","RC/Coordinator","ERCOT region (Texas; parts of adjacent states)","ERCOT market participants; ~26 million population served","Market-based (varies by day); Aggregated from market participants",0,0,"Real-time operations; Market coordination; Frequency management; Congestion management; Emergency management; Reliability assessment; Real-time pricing; Market rules enforcement","Grid stability; Frequency control; Congestion management; Emergency response; Market integrity; Real-time reliability","NERC CIP compliance; FERC market rules; ERCOT governing documents; Texas PUC oversight; International coordination (Mexico)","Depends on market participants for data; Depends on transmission operators for operations; Depends on ERCOT technical advisory committees; Market dependency on energy prices","Market-based coordinator; Unique ERCOT market structure; Growing cyber maturity; Market innovation focus"
RE-009,Top Transco - Western Routes,Top Transco,TOP,Independent Transmission Operator,"Merchant transmission operator",WECC,"Oregon; Washington; Idaho","Portland, Oregon",1800000000,2100,"Registered",2012,"Compliant - No violations",3,2,1,6,65,"Developing (3 years)",2024-09-05,"Compliant - Some development recommendations","None","N/A - No violations","Yes","Yes","Yes","TOP/Transmission","Pacific Northwest transmission (OR WA ID)","14 utilities served; ~3 million population served indirectly",8000,3200,0,"Transmission operations; TOP functions; Switching authority; Outage coordination; Emergency procedures; Real-time operations; SCADA operations; Control center operations","Transmission operations; Switching authority; Emergency response; System recovery; Operational security","NERC CIP compliance; FERC regulations; PNW power market participation; Regional transmission coordination; Environmental regulations","Depends on generation operators; Depends on transmission owners; Depends on regional utilities; Market participant dependency","Merchant transmission operator; Growing program; Regional focus; Emerging cyber maturity"
RE-010,Generator Operator - Renewable,Generator Operator,GO,Renewable Energy Company,"Renewable generation company","WECC","California; Utah; Arizona","Los Angeles, California",650000000,450,"Registered",2018,"Compliant - No violations",2,3,2,7,85,"Developing (2 years)",2024-11-01,"Compliant - Good progress","None","N/A - No violations","Yes","Yes","Yes","Generation-Focused","Southwest US (CA UT AZ NV NM)","Sells to wholesale market; 8 utility customers; ~2 million people indirectly",2800,85,0,"Generation control (inverter-based); Plant control; Power forecasting; Grid services provision; Energy arbitrage; Battery management; Real-time monitoring; Dispatch compliance","Renewable power supply; Grid services; Frequency support; Voltage support; Energy storage coordination","NERC CIP compliance; FERC Order 2003/2023 (renewable); State RPS regulations; Grid operator coordination; Emerging renewable standards","Depends on grid operators for dispatch; Depends on weather services for forecasting; Depends on energy markets for pricing; Depends on battery suppliers; Technology vendor dependency","Modern renewable operator; Growing BES footprint; Developing cyber program; Emerging technology challenges"
