category_id,function_id,category_name,subcategory_count,category_description
ID.IM-P,ID-P,Inventory and Mapping,8,"Data processing by systems, products, or services is understood and informs the management of privacy risk."
ID.BE-P,ID-P,Business Environment,3,"The organization’s mission, objectives, stakeholders, and activities are understood and prioritized; this information is used to inform privacy roles, responsibilities, and risk management decisions."
ID.RA-P,ID-P,Risk Assessment,5,"The organization understands the privacy risks to individuals and how such privacy risks may create follow-on impacts on organizational operations, including mission, functions, other risk management priorities (e.g., compliance, financial), reputation, workforce, and culture."
ID.DE-P,ID-P,Data Processing Ecosystem Risk Management,5,"The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support risk decisions associated with managing privacy risks within the data processing ecosystem."
GV.PO-P,GV-P,"Governance Policies, Processes, and Procedures",6,"The policies, processes, and procedures to manage and monitor the organization’s regulatory, legal, risk, environmental, and operational requirements are understood and inform the management of privacy risk."
GV.RM-P,GV-P,Risk Management Strategy,3,"The organization’s priorities, constraints, risk tolerances, and assumptions are established and used to support operational risk decisions."
GV.AT-P,GV-P,Awareness and Training,4,"The organization’s workforce and third parties engaged in data processing are provided privacy awareness education and are trained to perform their privacy-related duties and responsibilities consistent with related policies, processes, procedures, and agreements and organizational privacy values."
GV.MT-P,GV-P,Monitoring and Review,7,"The policies, processes, and procedures for ongoing review of the organization’s privacy posture are understood and inform the management of privacy risk."
CT.PO-P,CT-P,"Data Processing Policies, Processes, and Procedures",4,"Policies, processes, and procedures are maintained and used to manage data processing (e.g., purpose, scope, roles and responsibilities in the data processing ecosystem, and management commitment) consistent with the organization’s risk strategy to protect individuals’ privacy."
CT.DM-P,CT-P,Data Processing Management,10,"Data are managed consistent with the organization’s risk strategy to protect individuals’ privacy, increase manageability, and enable the implementation of privacy principles (e.g., individual participation, data quality, data minimization)."
CT.DP-P,CT-P,Disassociated Processing,5,"Data processing solutions increase disassociability consistent with the organization’s risk strategy to protect individuals’ privacy and enable implementation of privacy principles (e.g., data minimization)."
CM.PO-P,CM-P,"Communication Policies, Processes, and Procedures",2,"Policies, processes, and procedures are maintained and used to increase transparency of the organization’s data processing practices."
CM.AW-P,CM-P,Data Processing Awareness,8,"Individuals and organizations have reliable knowledge about data processing practices and associated privacy risks, and effective mechanisms are used and maintained to increase predictability consistent with the organization’s risk strategy to protect individuals’ privacy."
PR.PO-P,PR-P,"Data Protection Policies, Processes, and Procedures",10,"Security and privacy policies, processes, and procedures are maintained and used to manage the protection of data and systems."
PR.AC-P,PR-P,"Identity Management, Authentication, and Access Control",6,"Access to data and devices is limited to authorized individuals, processes, and devices, and is managed consistent with the assessed risk of unauthorized access."
PR.DS-P,PR-P,Data Security,8,"Data are managed consistent with the organization’s risk strategy to protect individuals’ privacy and maintain data confidentiality, integrity, and availability."
PR.MA-P,PR-P,Maintenance,2,"System maintenance and repairs are performed consistent with policies, processes, and procedures."
PR.PT-P,PR-P,Protective Technology,4,"Technical security solutions are managed to ensure the security and resilience of systems/products/services and associated data, consistent with related policies, processes, procedures, and agreements."
