Term,Definition
Agency,"See United States Government Federal Agency."
Asset,"Data, personnel, devices, systems, and facilities that enable the organization to achieve business purposes."
Availability,"Ensuring timely and reliable access to and use of information."
Business Environment,"The mission, objectives, stakeholders, and activities of the organization."
Capability,"A combination of mutually reinforcing controls, processes, and knowledge that enable the organization to manage risk."
Category,"The subdivision of a Function into groups of privacy outcomes, closely tied to programmatic needs and particular activities. Examples include Inventory and Mapping, Governance Policies, Processes, and Procedures, and Data Processing Management."
Communications and Control Networks,"Networks that allow communication between elements of a control system or between control systems and other systems."
Component,"See System Component."
Confidentiality,"Preserving authorized restrictions on information access and disclosure, including means for protecting personal privacy and proprietary information."
Core,"A set of privacy activities, desired outcomes, and applicable references that are common across critical infrastructure sectors, organizations, and systems."
Cybersecurity,"The process of protecting information by preventing, detecting, and responding to attacks."
Data,"A representation of information, knowledge, facts, concepts, or instructions."
Data Action,"A system’s internal operation involving data (e.g., collection, retention, logging, generation, transformation, use, disclosure, sharing, transmission, and disposal)."
Data Element,"The smallest logical unit of data."
Data Processing,"The collective set of data actions."
De-identification,"The process of removing identifying information from data."
Disassociated Processing,"Processing data without associating it with individuals or devices."
Ecosystem,"See Data Processing Ecosystem."
Event,"An observable occurrence in a system or network."
Framework,"The NIST Privacy Framework: A Tool for Improving Privacy through Enterprise Risk Management."
Function,"The highest level of organization in the Core. Functions provide a high-level, strategic view of the lifecycle of an organization’s management of privacy risk. The Functions are Identify-P, Govern-P, Control-P, Communicate-P, and Protect-P."
Incident,"An occurrence that actually or potentially jeopardizes the confidentiality, integrity, or availability of an information system or the information the system processes, stores, or transmits or that constitutes a violation or imminent threat of violation of security policies, security procedures, or acceptable use policies."
Individual,"A natural person."
Inventory,"A list of the physical and/or logical assets within an organization."
Privacy Event,"The occurrence of a problematic data action."
Privacy Incident,"A privacy event that results in a problem for an individual."
Privacy Risk,"The potential for problems resulting from data processing that individuals could experience."
Privacy Risk Assessment,"A process for identifying and evaluating privacy risks."
Problematic Data Action,"A data action that could cause an adverse effect for an individual."
Profile,"A selection of the specific Functions, Categories, and Subcategories from the Core that the organization has prioritized to help it manage privacy risk."
Protective Technology,"Communications, physical, and computer security technical solutions employed to protect assets and data."
Provenance,"The chronology of the origin, development, ownership, location, and changes to a system or system component and associated data."
Risk,"A measure of the extent to which an entity is threatened by a potential circumstance or event, and typically a function of: (i) the adverse impacts that would arise if the circumstance or event occurs; and (ii) the likelihood of occurrence."
Risk Management,"The process of managing risks to organizational operations (including mission, functions, image, reputation), organizational assets, individuals, other organizations, and the Nation, resulting from the operation of an information system, and includes: (i) the conduct of a risk assessment; (ii) the implementation of a risk mitigation strategy; and (iii) employment of techniques and procedures for the continuous monitoring of the security state of the information system."
Role,"A set of responsibilities and privileges defined for a user or group of users."
Subcategory,"The subdivision of a Category into specific outcomes of technical and/or management activities. Examples include: Data processing is mapped; and Decentralized data processing is used."
System,"A discrete set of information resources organized for the collection, processing, maintenance, use, sharing, dissemination, or disposition of information."
Tier,"A characterization of the rigor of an organization’s privacy risk management practices and the extent to which that risk management is integrated into the organization’s overall risk management practices."
Workforce,"Personnel, including employees and contractors, who have assigned roles and responsibilities."
