Subcategory_Code,Category_Code,Function_Code,Subcategory_Description
ID.IM-P1,ID.IM-P,ID-P,"Systems/products/services that process data are inventoried."
ID.IM-P2,ID.IM-P,ID-P,"Owners or operators (e.g., the organization or third parties such as service providers, partners, customers, and developers) and their roles with respect to the systems/products/services and components (e.g., internal or external) that process data are inventoried."
ID.IM-P3,ID.IM-P,ID-P,"Categories of individuals (e.g., customers, employees or prospective employees, consumers) whose data are being processed are inventoried."
ID.IM-P4,ID.IM-P,ID-P,"Data actions of the systems/products/services are inventoried."
ID.IM-P5,ID.IM-P,ID-P,"The purposes for the data actions are inventoried."
ID.IM-P6,ID.IM-P,ID-P,"Data elements within the data actions are inventoried."
ID.IM-P7,ID.IM-P,ID-P,"The data processing environment is identified (e.g., geographic location, internal, cloud, third parties)."
ID.IM-P8,ID.IM-P,ID-P,"Data processing is mapped, illustrating the data actions and associated data elements for systems/products/services, including components; roles of the component owners/operators; and interactions of individuals or third parties with the systems/products/services."
ID.BE-P1,ID.BE-P,ID-P,"The organization’s role(s) in the data processing ecosystem are identified, communicated, and understood."
ID.BE-P2,ID.BE-P,ID-P,"The organizational mission is identified, communicated, and understood and informs privacy risk management."
ID.BE-P3,ID.BE-P,ID-P,"Systems/products/services that support organizational priorities are identified and key requirements communicated and understood."
ID.BE-P4,ID.BE-P,ID-P,"Data processing ecosystem parties (e.g., service providers, customers, partners, product manufacturers, application developers) are identified and prioritized."
ID.BE-P5,ID.BE-P,ID-P,"Objectives, capabilities, and services that stakeholders depend on or expect from the organization are identified, communicated, and understood."
ID.BE-P6,ID.BE-P,ID-P,"Outcomes, capabilities, and services that the organization depends on are identified, communicated, and understood."
ID.RA-P1,ID.RA-P,ID-P,"Contextual factors related to the systems/products/services and the data actions are identified (e.g., individuals’ demographics and privacy interests or perceptions, data sensitivity and/or types, visibility of data processing to individuals and third parties)."
ID.RA-P2,ID.RA-P,ID-P,"[Withdrawn] This Subcategory related to artificial intelligence systems is withdrawn to keep PF 1.1 Core outcomes technology-neutral."
ID.RA-P3,ID.RA-P,ID-P,"Potential problematic data actions and associated problems are identified."
ID.RA-P4,ID.RA-P,ID-P,"Problematic data actions, likelihoods, and impacts are used to determine and prioritize risk."
ID.RA-P5,ID.RA-P,ID-P,"Risk responses are identified, prioritized, and implemented."
ID.RA-P6,ID.RA-P,ID-P,"Data processing ecosystem parties (e.g., service providers, customers, partners, product manufacturers, application developers) are assessed using a privacy risk assessment process."
GV.PO-P1,GV.PO-P,GV-P,"Organizational privacy values and policies (e.g., conditions on data processing such as data uses or retention periods, individuals’ prerogatives with respect to data processing) are established, communicated, and enforced."
GV.PO-P2,GV.PO-P,GV-P,"Processes to instill organizational privacy values within system/product/service development and operations are established and in place."
GV.PO-P5,GV.PO-P,GV-P,"Legal, regulatory, and contractual requirements regarding privacy are understood and managed."
GV.PO-P6,GV.PO-P,GV-P,"Governance and enterprise risk management policies, processes, and procedures address privacy risks."
GV.PO-P7,GV.PO-P,GV-P,"Privacy procedures are included in human resources practices (e.g., deprovisioning, personnel screening)."
GV.RM-P1,GV.RM-P,GV-P,"Risk management objectives and processes are established, managed, and agreed to by organizational stakeholders."
GV.RM-P2,GV.RM-P,GV-P,"The organization’s risk appetite and risk tolerance are determined and communicated and are informed by the organization's role(s) in the data processing ecosystem."
GV.RM-P4,GV.RM-P,GV-P,"Strategic direction that describes appropriate risk response options is established and communicated."
