role_id,role_name,role_description
AO,Authorizing Official,"Senior official with the authority to formally assume responsibility for operating an information system at an acceptable level of risk."
AODR,Authorizing Official Designated Representative,"Organizational official designated by the authorizing official who is empowered to act on behalf of the authorizing official to coordinate and conduct the day-to-day activities associated with managing risk to information systems and organizations."
CIO,Chief Information Officer,"Official responsible for the organization’s information management functions."
CAO,Chief Acquisition Officer,"Organizational official designated by the head of an agency to advise and assist the head of agency and other agency officials to ensure that the mission of the agency is achieved through the management of the agency’s acquisition activities."
SISO,Senior Agency Information Security Officer,"Organizational official responsible for carrying out the chief information officer security responsibilities under FISMA, and serving as the primary liaison for the chief information officer to the organization’s authorizing officials, system owners, common control providers, and system security officers."
SAOP,Senior Agency Official for Privacy,"Senior official or executive with agency-wide responsibility and accountability for ensuring compliance with applicable privacy requirements and managing privacy risk."
HOA,Head of Agency,"Official responsible and accountable for providing information security protections commensurate with the risk to organizational operations and assets, individuals, other organizations, and the Nation."
SO,System Owner,"Official responsible for the procurement, development, integration, modification, operation, maintenance, and disposal of an information system."
CCP,Common Control Provider,"Individual or group responsible for the development, implementation, assessment, and monitoring of common controls."
SCA,Control Assessor,"Individual or group responsible for conducting a comprehensive assessment of the management, operational, and technical controls."
IO,Information Owner or Steward,"Organizational official with statutory, management, or operational authority for specified information and the responsibility for establishing the policies and procedures governing its generation, collection, processing, dissemination, and disposal."
MBO,Mission or Business Owner,"Senior official or executive within an organization with specific mission or line of business responsibilities and that has a security or privacy interest in the organizational systems supporting those missions or lines of business."
RE,Risk Executive (Function),"Individual or group within an organization that provides a comprehensive, organization-wide approach to risk management, led by the senior accountable official for risk management, serving as the common risk management resource for senior leaders and executives."
EA,Enterprise Architect,"Individual or group responsible for working with the leadership and subject matter experts in an organization to build a holistic view of the organization's missions and business functions, mission/business processes, information, and information technology assets."
SPA,Security or Privacy Architect,"Individual, group, or organization responsible for ensuring that stakeholder protection needs and the corresponding system requirements necessary to protect organizational missions and business functions and individuals’ privacy are adequately addressed in the enterprise architecture."
SSPE,Systems Security or Privacy Engineer,"Individual, group, or organization responsible for conducting systems security or privacy engineering activities as part of the system development life cycle."
SSPO,System Security or Privacy Officer,"Individual responsible for ensuring that the security and privacy posture is maintained for an organizational system and who works in close collaboration with the system owner, serving as a principal advisor on all matters, technical and otherwise, involving the controls for the system."
SA,System Administrator,"Individual, group, or organization responsible for setting up and maintaining a system or specific system elements, including installing, configuring, and updating hardware and software; establishing and managing user accounts; backup and recovery; implementing controls; and enforcing organizational security and privacy policies."
SU,System User,"Individual or (system) process acting on behalf of an individual that is authorized to access information and information systems to perform assigned duties."
