penalty_id,penalty_type,article_reference,page_reference,applies_to_entity_type,max_amount_eur,max_percentage_global_turnover,description,legal_basis_formula,triggers
PEN_ESSENTIAL_ART21_23,Administrative Fine - Essential Entity,Article_34,34(4) p. 74-75,AGENT_ESSENTIAL_ENTITY,10000000,0.02,Administrative fine for essential entity infringement of Article 21 (cybersecurity risk-management measures) or Article 23 (reporting obligations),Maximum of: (a) €10,000,000 OR (b) 2% of total worldwide annual turnover in preceding financial year whichever is higher,Non-compliance with Article 21 Failure to report under Article 23 Repeated violations Failure to notify/remedy significant incidents Failure to remedy deficiencies following binding instructions Obstruction of audits Providing false/grossly inaccurate information
PEN_IMPORTANT_ART21_23,Administrative Fine - Important Entity,Article_34,34(5) p. 75,AGENT_IMPORTANT_ENTITY,7000000,0.014,Administrative fine for important entity infringement of Article 21 (cybersecurity risk-management measures) or Article 23 (reporting obligations),Maximum of: (a) €7,000,000 OR (b) 1.4% of total worldwide annual turnover in preceding financial year whichever is higher,Non-compliance with Article 21 Failure to report under Article 23 Repeated violations Failure to notify/remedy significant incidents Failure to remedy deficiencies following binding instructions Obstruction of audits Providing false/grossly inaccurate information
ENF_WARNING,Warning,Article_32,32(4)(a) p. 71|Article_33,33(4)(a) p. 73,AGENT_ESSENTIAL_ENTITY|AGENT_IMPORTANT_ENTITY,N/A,N/A,Competent authority issues warning about infringement of NIS 2 Directive,N/A,Initial or minor infringements First-time violations
ENF_BINDING_INSTRUCTION,Binding Instruction,Article_32,32(4)(b) p. 71-72|Article_33,33(4)(b) p. 73,AGENT_ESSENTIAL_ENTITY|AGENT_IMPORTANT_ENTITY,N/A,N/A,Competent authority orders entity to remedy deficiencies or infringement within specified manner and timeframe,N/A,Identified deficiencies Non-compliance requiring corrective action Incident prevention/remediation
ENF_CEASE_CONDUCT,Order to Cease Conduct,Article_32,32(4)(c) p. 72|Article_33,33(4)(c) p. 73,AGENT_ESSENTIAL_ENTITY|AGENT_IMPORTANT_ENTITY,N/A,N/A,Competent authority orders entity to cease conduct that infringes NIS 2 and desist from repeating,N/A,Ongoing infringement Repeated violations
ENF_ENSURE_COMPLIANCE,Order to Ensure Compliance,Article_32,32(4)(d) p. 72|Article_33,33(4)(d) p. 73,AGENT_ESSENTIAL_ENTITY|AGENT_IMPORTANT_ENTITY,N/A,N/A,Competent authority orders entity to ensure cybersecurity measures comply with Article 21 or fulfill reporting obligations per Article 23 in specified manner/period,N/A,Non-compliant risk-management measures Missing/inadequate reporting
ENF_INFORM_RECIPIENTS,Order to Inform Service Recipients,Article_32,32(4)(e) p. 72|Article_33,33(4)(e) p. 73,AGENT_ESSENTIAL_ENTITY|AGENT_IMPORTANT_ENTITY,N/A,N/A,Competent authority orders entity to inform service recipients of significant cyber threat and protective/remedial measures,N/A,Significant cyber threat affecting customers Customer notification failure
ENF_IMPLEMENT_AUDIT_REC,Order to Implement Audit Recommendations,Article_32,32(4)(f) p. 72|Article_33,33(4)(f) p. 73,AGENT_ESSENTIAL_ENTITY|AGENT_IMPORTANT_ENTITY,N/A,N/A,Competent authority orders entity to implement security audit recommendations within reasonable deadline,N/A,Audit findings requiring remediation
ENF_PUBLIC_DISCLOSURE,Order to Make Public Aspects of Infringement,Article_32,32(4)(g) p. 72|Article_33,33(4)(g) p. 73,AGENT_ESSENTIAL_ENTITY|AGENT_IMPORTANT_ENTITY,N/A,N/A,Competent authority orders entity to publicly disclose aspects of NIS 2 infringement in specified manner,N/A,Serious infringements requiring public transparency
ENF_MONITORING_OFFICER,Designation of Monitoring Officer,Article_32,32(4)(h) p. 72,AGENT_ESSENTIAL_ENTITY,N/A,N/A,Competent authority designates monitoring officer with defined tasks for determined period to oversee entity compliance with Articles 21/23,N/A,Serious/repeated non-compliance Need for ongoing compliance oversight
ENF_SUSPEND_CERTIFICATION,Temporary Suspension of Certification/Authorization,Article_32,32(5)(a) p. 72,AGENT_ESSENTIAL_ENTITY,N/A,N/A,Competent authority (or certification/authorization body/court) temporarily suspends certification or authorization concerning part/all of entity's services/activities until deficiencies remedied. Last resort measure.,N/A,Ineffective enforcement measures after deadline Serious/persistent non-compliance endangering service security
ENF_PROHIBIT_MGMT,Temporary Prohibition of Managerial Functions,Article_32,32(5)(b) p. 72,AGENT_ESSENTIAL_ENTITY,N/A,N/A,Competent authority requests courts/tribunals to temporarily prohibit natural person with managerial responsibilities (CEO/legal representative level) from exercising functions until deficiencies remedied. Last resort measure.,N/A,Ineffective enforcement measures after deadline Management failure to ensure compliance Serious/persistent non-compliance
ENF_MGMT_LIABILITY,Management Personal Liability,Article_20|Article_32,20(3) p. 55|32(6) p. 72-73,AGENT_MANAGEMENT_BODY,N/A,N/A,Natural persons responsible for ensuring entity compliance can be held liable for breach of duties under Article 20 (management oversight obligations),N/A,Management body failure to approve/oversee cybersecurity measures Breach of duty to ensure compliance
