source_id,target_id,rel_type,source_document
INST-REG,SUBPART-A,HAS_SUBPART,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
INST-REG,SUBPART-B,HAS_SUBPART,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
INST-REG,SUBPART-C,HAS_SUBPART,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
SUBPART-A,SEC-11.1,HAS_SECTION,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
SUBPART-A,SEC-11.2,HAS_SECTION,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
SUBPART-A,SEC-11.3,HAS_SECTION,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
SUBPART-B,SEC-11.10,HAS_SECTION,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
SUBPART-B,SEC-11.30,HAS_SECTION,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
SUBPART-B,SEC-11.50,HAS_SECTION,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
SUBPART-B,SEC-11.70,HAS_SECTION,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
SUBPART-C,SEC-11.100,HAS_SECTION,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
SUBPART-C,SEC-11.200,HAS_SECTION,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
SUBPART-C,SEC-11.300,HAS_SECTION,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
SEC-11.1,CL-11.1(a),HAS_CLAUSE,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
SEC-11.1,CL-11.1(b),HAS_CLAUSE,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
SEC-11.1,CL-11.1(c),HAS_CLAUSE,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
SEC-11.1,CL-11.1(d),HAS_CLAUSE,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
SEC-11.1,CL-11.1(e),HAS_CLAUSE,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
SEC-11.1,CL-11.1(f),HAS_CLAUSE,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
SEC-11.1,CL-11.1(g),HAS_CLAUSE,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
SEC-11.1,CL-11.1(h),HAS_CLAUSE,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
SEC-11.1,CL-11.1(i),HAS_CLAUSE,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
SEC-11.1,CL-11.1(j),HAS_CLAUSE,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
SEC-11.1,CL-11.1(k),HAS_CLAUSE,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
SEC-11.1,CL-11.1(l),HAS_CLAUSE,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
SEC-11.1,CL-11.1(m),HAS_CLAUSE,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
SEC-11.1,CL-11.1(n),HAS_CLAUSE,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
SEC-11.1,CL-11.1(o),HAS_CLAUSE,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
SEC-11.1,CL-11.1(p),HAS_CLAUSE,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
SEC-11.2,CL-11.2(a),HAS_CLAUSE,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
SEC-11.2,CL-11.2(b),HAS_CLAUSE,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.2(b),CL-11.2(b)(1),HAS_SUBCLAUSE,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.2(b),CL-11.2(b)(2),HAS_SUBCLAUSE,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
SEC-11.3,CL-11.3(a),HAS_CLAUSE,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
SEC-11.3,CL-11.3(b),HAS_CLAUSE,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.3(b),CL-11.3(b)(1),HAS_SUBCLAUSE,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.3(b),CL-11.3(b)(2),HAS_SUBCLAUSE,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.3(b),CL-11.3(b)(3),HAS_SUBCLAUSE,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
