source_id,target_id,rel_type,stated_citation,source_document
EP-VALIDATION,CL-11.10(a),DISCRETION_APPLIES_TO,§ 11.10(a),"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
EP-VALIDATION,SEC-11.30,DISCRETION_APPLIES_TO,corresponding requirements in § 11.30,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
EP-AUDIT-TRAIL,CL-11.10(e),DISCRETION_APPLIES_TO,§ 11.10 (e),"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
EP-AUDIT-TRAIL,CL-11.10(k)(2),DISCRETION_APPLIES_TO,§ 11.10 (k)(2),"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
EP-AUDIT-TRAIL,SEC-11.30,DISCRETION_APPLIES_TO,any corresponding requirement in §11.30,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
EP-COPIES,CL-11.10(b),DISCRETION_APPLIES_TO,§ 11.10 (b),"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
EP-COPIES,SEC-11.30,DISCRETION_APPLIES_TO,any corresponding requirement in §11.30,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
EP-RETENTION,CL-11.10(c),DISCRETION_APPLIES_TO,§ 11.10 (c),"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
EP-RETENTION,SEC-11.30,DISCRETION_APPLIES_TO,any corresponding requirement in §11.30,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
EP-LEGACY,INST-REG,DISCRETION_APPLIES_TO,"all part 11 requirements for systems that otherwise were operational prior to August 20, 1997","Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
EP-NARROW-SCOPE,CL-11.2(a),INTERPRETS,§ 11.2(a),"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
EP-NARROW-SCOPE,CL-11.2(b),INTERPRETS,§ 11.2(b),"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
EP-CONTINUED-ENFORCEMENT,SEC-11.10,CONTINUES_TO_ENFORCE,certain controls for closed systems in § 11.10,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
EP-CONTINUED-ENFORCEMENT,SEC-11.30,CONTINUES_TO_ENFORCE,controls for open systems corresponding to controls for closed systems bulleted above (§ 11.30),"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
EP-CONTINUED-ENFORCEMENT,SEC-11.50,CONTINUES_TO_ENFORCE,"requirements related to electronic signatures (e.g., §§ 11.50, 11.70, 11.100, 11.200, and 11.300)","Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
EP-CONTINUED-ENFORCEMENT,SEC-11.70,CONTINUES_TO_ENFORCE,"requirements related to electronic signatures (e.g., §§ 11.50, 11.70, 11.100, 11.200, and 11.300)","Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
