source_id,target_id,rel_type
instr_adgm_dpr_2021,part_I,HAS_PART
instr_adgm_dpr_2021,part_II,HAS_PART
instr_adgm_dpr_2021,part_III,HAS_PART
instr_adgm_dpr_2021,part_IV,HAS_PART
instr_adgm_dpr_2021,part_V,HAS_PART
instr_adgm_dpr_2021,part_VI,HAS_PART
instr_adgm_dpr_2021,part_VII,HAS_PART
instr_adgm_dpr_2021,part_VIII,HAS_PART
part_I,sec_1,HAS_SECTION
part_I,sec_2,HAS_SECTION
part_I,sec_3,HAS_SECTION
part_II,sec_4,HAS_SECTION
part_II,sec_5,HAS_SECTION
part_II,sec_6,HAS_SECTION
part_II,sec_7,HAS_SECTION
part_II,sec_8,HAS_SECTION
part_II,sec_9,HAS_SECTION
part_III,sec_10,HAS_SECTION
part_III,sec_11,HAS_SECTION
part_III,sec_12,HAS_SECTION
part_III,sec_13,HAS_SECTION
part_III,sec_14,HAS_SECTION
part_III,sec_15,HAS_SECTION
part_III,sec_16,HAS_SECTION
part_III,sec_17,HAS_SECTION
part_III,sec_18,HAS_SECTION
part_III,sec_19,HAS_SECTION
part_III,sec_20,HAS_SECTION
part_III,sec_21,HAS_SECTION
part_IV,sec_22,HAS_SECTION
part_IV,sec_23,HAS_SECTION
part_IV,sec_24,HAS_SECTION
part_IV,sec_25,HAS_SECTION
part_IV,sec_26,HAS_SECTION
part_IV,sec_27,HAS_SECTION
part_IV,sec_28,HAS_SECTION
part_IV,sec_29,HAS_SECTION
part_IV,sec_30,HAS_SECTION
part_IV,sec_31,HAS_SECTION
part_IV,sec_32,HAS_SECTION
part_IV,sec_33,HAS_SECTION
part_IV,sec_34,HAS_SECTION
part_IV,sec_35,HAS_SECTION
part_IV,sec_36,HAS_SECTION
part_IV,sec_37,HAS_SECTION
part_IV,sec_38,HAS_SECTION
part_IV,sec_39,HAS_SECTION
part_V,sec_40,HAS_SECTION
part_V,sec_41,HAS_SECTION
part_V,sec_42,HAS_SECTION
part_V,sec_43,HAS_SECTION
part_V,sec_44,HAS_SECTION
part_V,sec_45,HAS_SECTION
part_V,sec_46,HAS_SECTION
part_VI,sec_47,HAS_SECTION
part_VI,sec_48,HAS_SECTION
part_VI,sec_49,HAS_SECTION
part_VI,sec_50,HAS_SECTION
part_VI,sec_51,HAS_SECTION
part_VI,sec_52,HAS_SECTION
part_VI,sec_53,HAS_SECTION
part_VII,sec_54,HAS_SECTION
part_VII,sec_55,HAS_SECTION
part_VII,sec_56,HAS_SECTION
part_VII,sec_57,HAS_SECTION
part_VII,sec_58,HAS_SECTION
part_VII,sec_59,HAS_SECTION
part_VIII,sec_60,HAS_SECTION
part_VIII,sec_61,HAS_SECTION
part_VIII,sec_62,HAS_SECTION
part_VIII,sec_63,HAS_SECTION
part_VIII,sec_64,HAS_SECTION
sec_1,sub_1-1,HAS_SUBSECTION
sec_2,sub_2-1,HAS_SUBSECTION
sec_2,sub_2-2,HAS_SUBSECTION
sec_3,sub_3-1,HAS_SUBSECTION
sec_3,sub_3-2,HAS_SUBSECTION
sec_3,sub_3-3,HAS_SUBSECTION
sec_3,sub_3-4,HAS_SUBSECTION
sec_3,sub_3-41,HAS_SUBSECTION
sec_4,sub_4-1,HAS_SUBSECTION
sec_4,sub_4-2,HAS_SUBSECTION
sec_4,sub_4-3,HAS_SUBSECTION
sec_5,sub_5-1,HAS_SUBSECTION
sec_5,sub_5-2,HAS_SUBSECTION
sec_5,sub_5-3,HAS_SUBSECTION
sec_6,sub_6-1,HAS_SUBSECTION
sec_6,sub_6-2,HAS_SUBSECTION
sec_6,sub_6-3,HAS_SUBSECTION
sec_6,sub_6-4,HAS_SUBSECTION
sec_6,sub_6-5,HAS_SUBSECTION
sec_6,sub_6-6,HAS_SUBSECTION
sec_6,sub_6-7,HAS_SUBSECTION
sec_6,sub_6-8,HAS_SUBSECTION
sec_6,sub_6-9,HAS_SUBSECTION
sec_7,sub_7-1,HAS_SUBSECTION
sec_7,sub_7-2,HAS_SUBSECTION
sec_7,sub_7-3,HAS_SUBSECTION
sec_8,sub_8-1,HAS_SUBSECTION
sec_8,sub_8-2,HAS_SUBSECTION
sec_8,sub_8-3,HAS_SUBSECTION
sec_9,sub_9-1,HAS_SUBSECTION
sec_10,sub_10-1,HAS_SUBSECTION
sec_10,sub_10-2,HAS_SUBSECTION
sec_10,sub_10-3,HAS_SUBSECTION
sec_10,sub_10-4,HAS_SUBSECTION
sec_10,sub_10-5,HAS_SUBSECTION
sec_10,sub_10-6,HAS_SUBSECTION
sec_10,sub_10-7,HAS_SUBSECTION
sec_10,sub_10-8,HAS_SUBSECTION
sec_11,sub_11-1,HAS_SUBSECTION
sec_11,sub_11-2,HAS_SUBSECTION
sec_11,sub_11-3,HAS_SUBSECTION
sec_11,sub_11-4,HAS_SUBSECTION
sec_12,sub_12-1,HAS_SUBSECTION
sec_12,sub_12-2,HAS_SUBSECTION
sec_12,sub_12-3,HAS_SUBSECTION
sec_12,sub_12-4,HAS_SUBSECTION
sec_12,sub_12-5,HAS_SUBSECTION
sec_13,sub_13-1,HAS_SUBSECTION
sec_13,sub_13-2,HAS_SUBSECTION
sec_13,sub_13-3,HAS_SUBSECTION
sec_13,sub_13-4,HAS_SUBSECTION
sec_13,sub_13-5,HAS_SUBSECTION
sec_14,sub_14-1,HAS_SUBSECTION
sec_14,sub_14-2,HAS_SUBSECTION
sec_15,sub_15-1,HAS_SUBSECTION
sec_15,sub_15-2,HAS_SUBSECTION
sec_15,sub_15-3,HAS_SUBSECTION
sec_15,sub_15-4,HAS_SUBSECTION
sec_16,sub_16-1,HAS_SUBSECTION
sec_16,sub_16-2,HAS_SUBSECTION
sec_16,sub_16-3,HAS_SUBSECTION
sec_17,sub_17-1,HAS_SUBSECTION
sec_17,sub_17-2,HAS_SUBSECTION
sec_18,sub_18-1,HAS_SUBSECTION
sec_18,sub_18-2,HAS_SUBSECTION
sec_18,sub_18-3,HAS_SUBSECTION
sec_18,sub_18-4,HAS_SUBSECTION
sec_19,sub_19-1,HAS_SUBSECTION
sec_19,sub_19-2,HAS_SUBSECTION
sec_19,sub_19-3,HAS_SUBSECTION
sec_19,sub_19-4,HAS_SUBSECTION
sec_19,sub_19-5,HAS_SUBSECTION
sec_19,sub_19-6,HAS_SUBSECTION
sec_20,sub_20-1,HAS_SUBSECTION
sec_20,sub_20-2,HAS_SUBSECTION
sec_20,sub_20-3,HAS_SUBSECTION
sec_20,sub_20-4,HAS_SUBSECTION
sec_21,sub_21-1,HAS_SUBSECTION
sec_21,sub_21-2,HAS_SUBSECTION
sec_21,sub_21-3,HAS_SUBSECTION
sec_21,sub_21-4,HAS_SUBSECTION
sec_22,sub_22-1,HAS_SUBSECTION
sec_22,sub_22-2,HAS_SUBSECTION
sec_23,sub_23-1,HAS_SUBSECTION
sec_24,sub_24-1,HAS_SUBSECTION
sec_24,sub_24-2,HAS_SUBSECTION
sec_25,sub_25-1,HAS_SUBSECTION
sec_25,sub_25-2,HAS_SUBSECTION
sec_25,sub_25-3,HAS_SUBSECTION
sec_26,sub_26-1,HAS_SUBSECTION
sec_26,sub_26-2,HAS_SUBSECTION
sec_26,sub_26-3,HAS_SUBSECTION
sec_26,sub_26-4,HAS_SUBSECTION
sec_26,sub_26-5,HAS_SUBSECTION
sec_26,sub_26-6,HAS_SUBSECTION
sec_26,sub_26-7,HAS_SUBSECTION
sec_26,sub_26-8,HAS_SUBSECTION
sec_26,sub_26-9,HAS_SUBSECTION
sec_28,sub_28-1,HAS_SUBSECTION
sec_28,sub_28-2,HAS_SUBSECTION
sec_28,sub_28-3,HAS_SUBSECTION
sec_28,sub_28-4,HAS_SUBSECTION
sec_30,sub_30-1,HAS_SUBSECTION
sec_30,sub_30-2,HAS_SUBSECTION
sec_30,sub_30-3,HAS_SUBSECTION
sec_31,sub_31-1,HAS_SUBSECTION
sec_31,sub_31-2,HAS_SUBSECTION
sec_31,sub_31-3,HAS_SUBSECTION
sec_31,sub_31-4,HAS_SUBSECTION
sec_31,sub_31-5,HAS_SUBSECTION
sec_31,sub_31-6,HAS_SUBSECTION
sec_32,sub_32-1,HAS_SUBSECTION
sec_32,sub_32-2,HAS_SUBSECTION
sec_32,sub_32-3,HAS_SUBSECTION
sec_32,sub_32-4,HAS_SUBSECTION
sec_32,sub_32-5,HAS_SUBSECTION
sec_33,sub_33-1,HAS_SUBSECTION
sec_33,sub_33-2,HAS_SUBSECTION
sec_33,sub_33-3,HAS_SUBSECTION
sec_33,sub_33-4,HAS_SUBSECTION
sec_34,sub_34-1,HAS_SUBSECTION
sec_34,sub_34-2,HAS_SUBSECTION
sec_34,sub_34-3,HAS_SUBSECTION
sec_34,sub_34-4,HAS_SUBSECTION
sec_34,sub_34-5,HAS_SUBSECTION
sec_34,sub_34-6,HAS_SUBSECTION
sec_34,sub_34-7,HAS_SUBSECTION
sec_35,sub_35-1,HAS_SUBSECTION
sec_35,sub_35-2,HAS_SUBSECTION
sec_35,sub_35-3,HAS_SUBSECTION
sec_35,sub_35-4,HAS_SUBSECTION
sec_36,sub_36-1,HAS_SUBSECTION
sec_36,sub_36-2,HAS_SUBSECTION
sec_36,sub_36-3,HAS_SUBSECTION
sec_37,sub_37-1,HAS_SUBSECTION
sec_37,sub_37-2,HAS_SUBSECTION
sec_38,sub_38-1,HAS_SUBSECTION
sec_38,sub_38-2,HAS_SUBSECTION
sec_38,sub_38-3,HAS_SUBSECTION
sec_39,sub_39-1,HAS_SUBSECTION
sec_39,sub_39-2,HAS_SUBSECTION
sec_39,sub_39-3,HAS_SUBSECTION
sec_39,sub_39-4,HAS_SUBSECTION
sec_39,sub_39-5,HAS_SUBSECTION
sec_40,sub_40-1,HAS_SUBSECTION
sec_40,sub_40-2,HAS_SUBSECTION
sec_41,sub_41-1,HAS_SUBSECTION
sec_41,sub_41-2,HAS_SUBSECTION
sec_41,sub_41-3,HAS_SUBSECTION
sec_41,sub_41-4,HAS_SUBSECTION
sec_41,sub_41-5,HAS_SUBSECTION
sec_41,sub_41-6,HAS_SUBSECTION
sec_41,sub_41-7,HAS_SUBSECTION
sec_42,sub_42-1,HAS_SUBSECTION
sec_42,sub_42-2,HAS_SUBSECTION
sec_42,sub_42-3,HAS_SUBSECTION
sec_42,sub_42-4,HAS_SUBSECTION
sec_42,sub_42-5,HAS_SUBSECTION
sec_43,sub_43-1,HAS_SUBSECTION
