article_id,number,heading,title,chapter_id,source_document
art_1,1,Article 1 — (Purpose).,Purpose,chap_I,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_2,2,Article 2 — (Definitions).,Definitions,chap_I,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_3,3,Article 3 — (Data file – Lawfulness).,Data file – Lawfulness,chap_II,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_4,4,Article 4 — (Quality of data).,Quality of data,chap_II,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_5,5,Article 5 — (Consent).,Consent,chap_II,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_6,6,Article 6 — (Information).,Information,chap_II,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_7,7,Article 7 — (Category of data).,Category of data,chap_II,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_8,8,Article 8 — (Health-date data). Public or private health care centers and practitioners working on health,Health-date data,chap_II,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_9,9,Article 9 — (Safety of data).,Safety of data,chap_II,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_10,10,Article 10. — (Confidentiality).,Confidentiality,chap_II,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_11,11,Article 11. — (Assignment).,Assignment,chap_II,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_12,12,Article 12. — (International transfer).,International transfer,chap_II,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_13,13,Article 13. — (Information right).,Information right,chap_III,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_14,14,Article 14. — (Right of access).,Right of access,chap_III,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_15,15,Article 15. — (Information contents).,Information contents,chap_III,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_16,16,"Article 16. — (Right for data editing, updating, or deletion).","Right for data editing, updating, or deletion",chap_III,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_17,17,Article 17. — (Defenses).,Defenses,chap_III,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_18,18,Article 18. — (Parliamentary Committees).,Parliamentary Committees,chap_III,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_19,19,Article 19. — (Gratuitousness).,Gratuitousness,chap_III,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_20,20,Article 20. — (Challenge of personal assessments).,Challenge of personal assessments,chap_III,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_21,21,Article 21. — (Data file record. Registration).,Data file record. Registration,chap_IV,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_22,22,"Article 22. — (Public files, records, or databases).","Public files, records, or databases",chap_IV,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_23,23,Article 23. — (Special Events).,Special Events,chap_IV,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_24,24,"Article 24. — (Private files, records, or databases).","Private files, records, or databases",chap_IV,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_25,25,Article 25. — (Delivery of personal data computer services).,Delivery of personal data computer services,chap_IV,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_26,26,Article 26. — (Delivery of credit information services).,Delivery of credit information services,chap_IV,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_27,27,"Article 27. — (Files, records, or databases for advertising purposes).","Files, records, or databases for advertising purposes",chap_IV,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_28,28,"Article 28. — (Files, records, or databases related to Surveys).","Files, records, or databases related to Surveys",chap_IV,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_29,29,Article 29. — (Oversight Authority).,Oversight Authority,chap_V,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_30,30,Article 30. — (Codes of professional conduct).,Codes of professional conduct,chap_V,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_31,31,Article 31. — (Administrative sanctions).,Administrative sanctions,chap_VI,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_32,32,Article 32. — (Criminal sanctions).,Criminal sanctions,chap_VI,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_33,33,Article 33. — (Applicability).,Applicability,chap_VII,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_34,34,Article 34. — (Active entitlement),Active entitlement,chap_VII,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_35,35,Article 35. — (Passive entitlement).,Passive entitlement,chap_VII,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_36,36,Article 36. — (Venue).,Venue,chap_VII,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_37,37,Article 37. — (Applicable proceedings).,Applicable proceedings,chap_VII,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_38,38,Article 38. — (Complaint requirements).,Complaint requirements,chap_VII,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_39,39,Article 39. — (Proceedings).,Proceedings,chap_VII,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_40,40,Article 40. — (Confidentiality of information).,Confidentiality of information,chap_VII,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_41,41,Article 41. — (Answer to the report).,Answer to the report,chap_VII,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_42,42,Article 42. — (Amended complaint).,Amended complaint,chap_VII,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_43,43,Article 43. — (Judgement).,Judgement,chap_VII,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_44,44,Article 44. — (Scope of application).,Scope of application,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_45,45,Article 45. — The Executive shall pass the regulations governing this Act and shall create a competent authority,,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_46,46,Article 46. — (Temporary provisions).,Temporary provisions,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_47,47,Article 47. — (vetoed),vetoed,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
art_48,48,Article 48. — Be notified to the Executive.,,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
