clause_id,article_id,label,text,deadline_or_term,source_document
cl_1_first_paragraph,art_1,first paragraph,"The purpose of this Act is the comprehensive protection of personal data included in files, records, databases or other data processing technical means -whether public or private- used for reporting purposes, in order to guarantee the right of individuals to their honor and privacy, as well as access to information recorded thereupon, in accordance with the third paragraph of Article 43 of the National Constitution.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_1_second_paragraph,art_1,second paragraph,"The provisions of this Act shall also apply, if appropriate, to such data related to legal persons.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_1_third_paragraph,art_1,third paragraph,Under no circumstances shall databases or media information sources be affected hereby.,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_2_introductory,art_2,introductory,The following terms shall have the following meanings to the effects of this Act:,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_3_first_paragraph,art_3,first paragraph,Data file creation shall be lawful provided that it is duly registered in compliance with the principles set forth herein and rules and regulations passed as a consequence thereof.,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_3_second_paragraph,art_3,second paragraph,Data files shall not have any purpose contrary to laws or public morals.,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_4_1,art_4,1,"1. Personal data collected for processing thereof shall be true, appropriate, relevant, and not excessive in relation to the scope and purpose for which they have been obtained.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_4_2,art_4,2,"2. Data collection shall not be carried out by anti-trust or fraudulent means, or by means contrary to the provisions of this Act.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_4_3,art_4,3,"3. Data subject to processing shall not be used for purposes other than, or incompatible with, those purposes that led to their collection.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_4_4,art_4,4,4. Data shall be accurate and updated if necessary.,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_4_5,art_4,5,"5. If any data is known to be inaccurate or incomplete, such totally or partially inaccurate data or incomplete data shall be deleted and replaced or, if applicable, supplemented, by the person in charge of the file or database, notwithstanding holder’s rights set forth in Article 16 hereof.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_4_6,art_4,6,6. Data shall be stored in such a way that they allow the holder thereof to exercise the right of access thereto.,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_4_7,art_4,7,7. Data shall be destroyed whenever it is no longer necessary or relevant for the purposes for which it has been gathered.,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_5_1,art_5,1,"1. Processing of personal data shall be unlawful if the holder has not given free, express and informed consent thereupon, in writing or evidenced by any other similar means, according to the relevant circumstances.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_5_1_second_paragraph,art_5,1 second paragraph,"The above referred consent, given with other representations, shall be expressly stated and highlighted, with the prior notice to the person from which data is required, which notice shall include information described in Article 6 hereof.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_5_2,art_5,2,2. Consent shall not be necessary if:,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_6_introductory,art_6,introductory,"When gathering personal data, holders thereof shall be previously notified, expressly and clearly, about the following:",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_7_1,art_7,1,1. No person shall be bound to provide private data.,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_7_2,art_7,2,2. Private data shall only be gathered and subject to processing provided that there are reasons of general public interest authorized by law. Private data may also be processed for statistical or scientific purposes when holders thereof cannot be identified.,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_7_3,art_7,3,"3. The creation of files, databases or records storing information which directly or indirectly discloses private data is hereby forbidden. Notwithstanding, the Catholic Church, religious associations, and political organizations and unions may maintain records of their members.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_7_4,art_7,4,"4. Data related to criminal or misdemeanor records may only be subject to processing by competent public authorities, within the framework of the respective acts and rules and regulations.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_8_single_paragraph,art_8,single paragraph,"Public or private health care centers and practitioners working on health science-related fields may gather and handle personal data related to the physical or mental health of patients attending such centers, or who are or have been under treatment, respecting the professional secret principle.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_9_1,art_9,1,"1. The person in charge of the data file or the user thereof shall adopt all technical and organizational measures necessary to ensure the security and confidentiality of personal data, so as to prevent such data from being forged, lost, inquired, or processed without authorization, and allowing to detect any information deviation, whether intentional or not, whether risks arise from a human act or from the technical means in use.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_9_2,art_9,2,"2. It is hereby forbidden to record personal data in files, registers, or databases not compliant with technical integrity and security conditions.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_10_1,art_10,1,1. The person in charge and those involved in any phase of personal data processing shall be bound to keep the professional secret with respect thereto. Such obligation shall outlive the relationship with the data file holder.,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_10_2,art_10,2,"2. The person bound to keep the professional secret may be released from such obligation by court decision, and provided that there are reasons of public security, national defense or public health.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_11_1,art_11,1,"1. Personal data subject to processing may only be assigned to comply with purposes directly related to the lawful interest of both assignor and assignee, with prior consent of the data owner, who shall be informed about the purpose of the assignment. Identity of the assignor and elements allowing such assignor to assign such data shall be specified.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_11_2,art_11,2,2. Assignment consent shall be revocable.,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_11_3,art_11,3,3. Consent shall not be necessary in the following cases:,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
