subclause_id,clause_id,article_id,label,text,deadline_or_term,source_document
sub_5_2_a,cl_5_2,art_5,a,a) Data is obtained from unrestricted public-access sources;,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
sub_5_2_b,cl_5_2,art_5,b,b) Data is gathered to comply with State powers or by virtue of a legal obligation;,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
sub_5_2_c,cl_5_2,art_5,c,"c) Data is included in reports whose data is limited to name, identity document, taxpayer or pension identification number, occupation, date of birth and domicile;",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
sub_5_2_d,cl_5_2,art_5,d,"d) Data is derived from a contractual, scientific or professional relationship of the data owner, and it is necessary for its development or compliance;",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
sub_5_2_e,cl_5_2,art_5,e,e) Data is related to operations carried out by financial entities and information received from their customers in accordance with Article 39 of Act Number 21526.,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
sub_6_introductory_a,cl_6_introductory,art_6,a,a) The purpose thereof and those who may be the addressees or class of addressees;,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
sub_6_introductory_b,cl_6_introductory,art_6,b,"b) Existence of the relevant file, record, database --electronic or of any other kind-- and the identity and domicile of the person in charge thereof;",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
sub_6_introductory_c,cl_6_introductory,art_6,c,"c) The fact that filling out the proposed questionnaire is mandatory or optional, specially regarding data referred to in the following Article;",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
sub_6_introductory_d,cl_6_introductory,art_6,d,"d) The consequences to be derived from furnishing data, the reluctance to furnish data or from inaccuracy thereof;",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
sub_6_introductory_e,cl_6_introductory,art_6,e,"e) The possibility for the interested party to exercise data access, change and deletion rights.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
sub_11_3_a,cl_11_3,art_11,a,a) If provided for by law;,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
sub_11_3_b,cl_11_3,art_11,b,"b) In cases provided for in Article 5, subArticle 2;",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
