source_id,target_id,rel_type
cl_4_5,art_16,CROSS_REFERENCES
cl_5_1_second_paragraph,art_6,CROSS_REFERENCES
sub_11_3_b,art_5,CROSS_REFERENCES
sub_11_3_b,art_2,CROSS_REFERENCES
cl_18_single_paragraph,art_23,CROSS_REFERENCES
cl_18_single_paragraph,art_2,CROSS_REFERENCES
cl_24_single_paragraph,art_21,CROSS_REFERENCES
cl_43_a,art_42,CROSS_REFERENCES
cl_44_first_paragraph,art_32,CROSS_REFERENCES
cl_46_single_paragraph,art_21,CROSS_REFERENCES
cl_47_single_paragraph,art_47,CROSS_REFERENCES
recital_3,art_29,CROSS_REFERENCES
recital_5,art_29,CROSS_REFERENCES
recital_9,art_45,CROSS_REFERENCES
recital_10,art_47,CROSS_REFERENCES
recital_12,art_47,CROSS_REFERENCES
