actprovision_id,citation,provision_kind,instrument,note,source_document
prov_APP_1,APP 1,Australian Privacy Principle,"Privacy Act 1988 (Cth), Schedule 1",Statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_10,APP 10,Australian Privacy Principle,"Privacy Act 1988 (Cth), Schedule 1",Statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_10_1,APP 10.1,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_10_2,APP 10.2,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_11,APP 11,Australian Privacy Principle,"Privacy Act 1988 (Cth), Schedule 1",Statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_11_1,APP 11.1,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_11_2,APP 11.2,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_11_3,APP 11.3,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_12,APP 12,Australian Privacy Principle,"Privacy Act 1988 (Cth), Schedule 1",Statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_12_1,APP 12.1,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_12_10,APP 12.10,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_12_2,APP 12.2,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_12_3,APP 12.3,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_12_4,APP 12.4,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_12_5,APP 12.5,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_12_6,APP 12.6,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_12_7,APP 12.7,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_12_8,APP 12.8,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_12_9,APP 12.9,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_13,APP 13,Australian Privacy Principle,"Privacy Act 1988 (Cth), Schedule 1",Statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_13_1,APP 13.1,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_13_2,APP 13.2,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_13_3,APP 13.3,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_13_4,APP 13.4,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_13_5,APP 13.5,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
prov_APP_1_1,APP 1.1,Australian Privacy Principle clause,Privacy Act 1988 (Cth),Cited in source guidance; statutory text not present in the supplied sources.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
