australianprivacyprinciple_id,number,name,title,schedule,guidance_chapter_id,source_document
app_1,1,Australian Privacy Principle 1,Open and transparent management of personal information,Schedule 1 to the Privacy Act 1988,ch_1,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
app_2,2,Australian Privacy Principle 2,Anonymity and pseudonymity,Schedule 1 to the Privacy Act 1988,ch_2,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
app_3,3,Australian Privacy Principle 3,Collection of solicited personal information,Schedule 1 to the Privacy Act 1988,ch_3,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
app_4,4,Australian Privacy Principle 4,Dealing with unsolicited personal information,Schedule 1 to the Privacy Act 1988,ch_4,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
app_5,5,Australian Privacy Principle 5,Notification of the collection of personal information,Schedule 1 to the Privacy Act 1988,ch_5,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
app_6,6,Australian Privacy Principle 6,Use or disclosure of personal information,Schedule 1 to the Privacy Act 1988,ch_6,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
app_7,7,Australian Privacy Principle 7,Direct marketing,Schedule 1 to the Privacy Act 1988,ch_7,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
app_8,8,Australian Privacy Principle 8,Cross-border disclosure of personal information,Schedule 1 to the Privacy Act 1988,ch_8,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
app_9,9,Australian Privacy Principle 9,"Adoption, use or disclosure of government related identifiers",Schedule 1 to the Privacy Act 1988,ch_9,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
app_10,10,Australian Privacy Principle 10,Quality of personal information,Schedule 1 to the Privacy Act 1988,ch_10,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
app_11,11,Australian Privacy Principle 11,Security of personal information,Schedule 1 to the Privacy Act 1988,ch_11,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
app_12,12,Australian Privacy Principle 12,Access to personal information,Schedule 1 to the Privacy Act 1988,ch_12,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
app_13,13,Australian Privacy Principle 13,Correction of personal information,Schedule 1 to the Privacy Act 1988,ch_13,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
