keypoint_id,chapter_id,ordinal,text,source_document
kp_1_1,ch_1,1,APP 1 outlines the requirements for an APP entity to manage personal information in an open and transparent way.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_1_2,ch_1,2,"An APP entity must take reasonable steps to implement practices, procedures and systems that will ensure it complies with the APPs and any binding registered APP code, and is able to deal with related inquiries and complaints.","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_1_3,ch_1,3,An APP entity must have a clearly expressed and up-to-date APP Privacy Policy about how it manages personal information.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_1_4,ch_1,4,An APP entity must take reasonable steps to make its APP Privacy Policy available free of charge and in an appropriate form (usually on its website).,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_1_5,ch_1,5,"An APP entity must, upon request, take reasonable steps to provide a person or body with a copy of its APP Privacy Policy in the particular form requested. From 10 December 2026, an APP entity must include additional information in its APP Privacy Policy if it arranges for a computer program to use personal information to make decisions that could reasonably be expected to significantly affect the rights or interests of an individual.1","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_2_1,ch_2,1,APP 2 provides that individuals must have the option of dealing anonymously or by pseudonym with an APP entity.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_2_2,ch_2,2,"An APP entity is not required to provide those options where: o the entity is required or authorised by law or a court or tribunal order to deal with identified individuals, or o it is impracticable for the entity to deal with individuals who have not identified themselves","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_2_3,ch_2,3,Anonymity means that an individual dealing with an APP entity cannot be identified and the entity does not collect personal information or identifiers.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_2_4,ch_2,4,"A pseudonym is a name, term or descriptor that is different to an individual’s actual name. Where applicable, an APP entity must ensure that individuals are made aware of their opportunity to deal anonymously or by pseudonym with the entity.","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_3_1,ch_3,1,APP 3 outlines when an APP entity may collect solicited personal information.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_3_2,ch_3,2,"An APP entity solicits personal information if it explicitly requests another entity to provide personal information, or it takes active steps to collect personal information.","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_3_3,ch_3,3,"APP 3 deals with when an APP entity can collect personal information, and how an APP entity must collect personal information.","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_3_4,ch_3,4,"For personal information (other than sensitive information), an APP entity that is: o an agency, may only collect this information where it is reasonably necessary for, or directly related to, the agency’s functions or activities o an organisation, may only collect this information where it is reasonably necessary for the organisation’s functions or activities","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_3_5,ch_3,5,"APP 3 contains different requirements for the collection of sensitive information compared to other types of personal information. Unless an exception applies, an APP entity may only collect sensitive information where the above conditions are met and the individual concerned consents to the collection.","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_3_6,ch_3,6,Personal information must only be collected by lawful and fair means.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_3_7,ch_3,7,"Personal information must be collected from the individual concerned, unless this is unreasonable or impracticable (additional exceptions apply to agencies).","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_4_1,ch_4,1,APP 4 outlines the steps an APP entity must take if it receives unsolicited personal information.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_4_2,ch_4,2,Unsolicited personal information is personal information received by an APP entity where the entity has taken no active steps to collect the information.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_4_3,ch_4,3,"If an APP entity receives unsolicited personal information, it must decide whether it could have collected the information under APP 3 (collection of solicited personal information).","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_4_4,ch_4,4,"If the entity determines it could not have collected the personal information under APP 3, different rules apply according to whether or not the information is contained in a ‘Commonwealth record’.","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_4_5,ch_4,5,"If the unsolicited personal information is contained in a Commonwealth record, APP 4 does not require it to be destroyed or de-identified.","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_4_6,ch_4,6,"Other unsolicited personal information that could not have been collected under APP 3, must be destroyed or de-identified as soon as practicable if it is lawful and reasonable to do so.","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_4_7,ch_4,7,"If an APP entity is not required to destroy or de-identify the unsolicited personal information under APP 4, the entity may retain the personal information but must deal with it in accordance with APPs 5–13.","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_5_1,ch_5,1,An APP entity that collects personal information about an individual must take reasonable steps either to notify the individual of certain matters or to ensure the individual is aware of those matters.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_5_2,ch_5,2,"The matters include: o the APP entity’s identity and contact details o the fact and circumstances of collection o whether the collection is required or authorised by law o the purposes of collection o the consequences if personal information is not collected o the entity’s usual disclosures of personal information of the kind collected by the entity o information about the entity’s APP Privacy Policy o whether the entity is likely to disclose personal information to overseas recipients, and if practicable, the countries where they are located","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_5_3,ch_5,3,"An APP entity must take reasonable steps, before, or at the time it collects personal information. If this is not practicable, reasonable steps must be taken as soon as practicable after collection.","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_6_1,ch_6,1,APP 6 outlines when an APP entity may use or disclose personal information.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_6_2,ch_6,2,"An APP entity can only use or disclose personal information for a purpose for which it was collected (known as the ‘primary purpose’), or for a secondary purpose if an exception applies.","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_6_3,ch_6,3,"The exceptions include where: o the individual has consented to a secondary use or disclosure o the individual would reasonably expect the APP entity to use or disclose their personal information for the secondary purpose, and that purpose is related to the primary purpose of collection, or, in the case of sensitive information, directly related to the primary purpose o the secondary use or disclosure is required or authorised by or under an Australian law or a court/tribunal order o a permitted general situation exists in relation to the secondary use or disclosure o the APP entity is an organisation and a permitted health situation exists in relation to the secondary use or disclosure o the APP entity reasonably believes that the secondary use or disclosure is reasonably necessary for one or more enforcement related activities conducted by, or on behalf of, an enforcement body, or o the APP entity is an agency (other than an enforcement body) and discloses biometric information or biometric templates to an enforcement body, and the disclosure is conducted in accordance with guidelines made by the Information Commissioner for the purposes of APP 6.3","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_7_1,ch_7,1,APP 7 provides that an organisation must not use or disclose personal information it holds for the purpose of direct marketing unless an exception applies. APP 7 may also apply to an agency in the circumstances set out in s 7A.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_7_2,ch_7,2,Direct marketing involves the use or disclosure of personal information to communicate directly with an individual to promote goods and services.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_7_3,ch_7,3,"Where an organisation is permitted to use or disclose personal information for the purpose of direct marketing, it must always: o allow an individual to request not to receive direct marketing communications (also known as ‘opting out’), and o comply with that request","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_7_4,ch_7,4,"An organisation must, on request, provide its source for an individual’s personal information, unless it is impracticable or unreasonable to do so.","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_8_1,ch_8,1,"Before an APP entity discloses personal information to an overseas recipient, the entity must take such steps as are reasonable in the circumstances to ensure that the overseas recipient does not breach the APPs (other than APP 1) in relation to the information (APP 8.1).","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_8_2,ch_8,2,An APP entity that discloses personal information to an overseas recipient is accountable for any acts or practices of the overseas recipient in relation to the information that would breach the APPs (s 16C).,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_8_3,ch_8,3,There are exceptions to the requirement in APP 8.1 to take reasonable steps and to the accountability provision in s 16C.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_9_1,ch_9,1,"APP 9 restricts the adoption, use and disclosure of government related identifiers by organisations. APP 9 may also apply to some agencies in the circumstances set out in s 7A.","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_9_2,ch_9,2,"An identifier is a number, letter or symbol, or a combination of any or all of those things, that is used to identify the individual or to verify the identity of the individual.","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_9_3,ch_9,3,"A government related identifier is an identifier that has been assigned by an agency, a State or Territory authority, an agent of an agency or authority, or a contracted service provider for a Commonwealth or State contract.","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_9_4,ch_9,4,"Where an identifier, including a government related identifier, is personal information, it must be handled in accordance with the APPs.","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_9_5,ch_9,5,"An organisation must not adopt a government related identifier of an individual as its own identifier of the individual, unless an exception applies.","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_9_6,ch_9,6,"An organisation must not use or disclose a government related identifier of an individual, unless an exception applies.","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_10_1,ch_10,1,"An APP entity must take reasonable steps to ensure that the personal information it collects is accurate, up-to-date and complete.","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_10_2,ch_10,2,"An APP entity must take reasonable steps to ensure that the personal information it uses and discloses is, having regard to the purpose of the use or disclosure, accurate, up-to-date, complete and relevant.","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_11_1,ch_11,1,"An APP entity must take such steps as are reasonable in the circumstances to protect the personal information it holds from misuse, interference and loss, as well as unauthorised access, modification or disclosure.","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_11_2,ch_11,2,"Where an APP entity no longer needs personal information for any purpose for which the information may be used or disclosed under the APPs, the entity must take such steps as are reasonable in the circumstances to destroy the information or ensure that it is de-identified. This requirement applies except where: o the personal information is part of a Commonwealth record, or o the APP entity is required by or under an Australian law or a court/tribunal order to retain the personal information.","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_11_3,ch_11,3,Reasonable steps include technical and organisational measures.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_11_4,ch_11,4,Many of the issues discussed in this Chapter are discussed in more detail in the Office of the Australian Information Commissioner’s (OAIC) Guide to Securing Personal Information.1,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_12_1,ch_12,1,APP 12 requires an APP entity that holds personal information about an individual to give the individual access to that information on request.,"Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_12_2,ch_12,2,"APP 12 also sets out other requirements in relation to giving access, including how access is to be given and when access can be refused. There are separate grounds on which agencies and organisations may refuse to give access.","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_12_3,ch_12,3,"APP 12 operates alongside and does not replace other informal or legal procedures by which an individual can be provided with access to information, including, for agencies, the Freedom of Information Act 1982 (FOI Act) that provides a right of access to information held by agencies.","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_13_1,ch_13,1,"APP 13 requires an APP entity to take reasonable steps to correct personal information to ensure that, having regard to the purpose for which it is held, it is accurate, up-to-date, complete, relevant and not misleading.","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_13_2,ch_13,2,"This requirement applies where: o the APP entity is satisfied the personal information is inaccurate, out-of-date, incomplete, irrelevant or misleading, having regard to a purpose for which it is held, or o the individual requests the entity to correct the personal information","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_13_3,ch_13,3,"Special considerations apply to Commonwealth records, which can only be destroyed or altered in accordance with the Archives Act 1983 (Archives Act).","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_13_4,ch_13,4,"APP 13 also sets out other minimum procedural requirements in relation to correcting personal information, including when an APP entity must: o take reasonable steps to notify other APP entities of a correction o give notice to the individual which includes reasons and available complaint mechanisms if correction is refused o take reasonable steps to associate a statement with personal information it refuses to correct o respond to a request for correction or to associate a statement, and o not charge an individual for making a request, correcting personal information or associating a statement","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
kp_13_5,ch_13,5,"APP 13 operates alongside and does not replace other informal or legal procedures by which an individual can seek correction of their personal information, including informal arrangements and, for agencies, the Freedom of Information Act 1982 (FOI Act).","Office of the Australian Information Commissioner, Australian Privacy Principles Guidelines, Privacy Act 1988, combined October 2025 — KB 2/Australia/Australian Privacy Act 1988.pdf"
