source_id,target_id,rel_type
ch_A,p_A_1,HAS_PARAGRAPH
ch_A,p_A_2,HAS_PARAGRAPH
ch_A,p_A_3,HAS_PARAGRAPH
ch_A,p_A_4,HAS_PARAGRAPH
ch_A,p_A_5,HAS_PARAGRAPH
ch_A,p_A_6,HAS_PARAGRAPH
ch_A,p_A_7,HAS_PARAGRAPH
ch_A,p_A_8,HAS_PARAGRAPH
ch_A,p_A_9,HAS_PARAGRAPH
ch_A,p_A_10,HAS_PARAGRAPH
ch_A,p_A_11,HAS_PARAGRAPH
ch_A,p_A_12,HAS_PARAGRAPH
ch_A,p_A_13,HAS_PARAGRAPH
ch_A,p_A_14,HAS_PARAGRAPH
ch_A,p_A_15,HAS_PARAGRAPH
ch_A,p_A_16,HAS_PARAGRAPH
ch_A,p_A_17,HAS_PARAGRAPH
ch_A,p_A_18,HAS_PARAGRAPH
ch_A,p_A_19,HAS_PARAGRAPH
ch_A,p_A_20,HAS_PARAGRAPH
ch_A,p_A_21,HAS_PARAGRAPH
ch_A,p_A_22,HAS_PARAGRAPH
ch_A,p_A_23,HAS_PARAGRAPH
ch_A,p_A_24,HAS_PARAGRAPH
ch_A,p_A_25,HAS_PARAGRAPH
ch_A,p_A_26,HAS_PARAGRAPH
ch_A,p_A_27,HAS_PARAGRAPH
ch_A,p_A_28,HAS_PARAGRAPH
ch_A,p_A_29,HAS_PARAGRAPH
ch_A,p_A_30,HAS_PARAGRAPH
ch_A,p_A_31,HAS_PARAGRAPH
ch_A,p_A_32,HAS_PARAGRAPH
ch_B,p_B_1,HAS_PARAGRAPH
ch_B,p_B_2,HAS_PARAGRAPH
ch_B,p_B_3,HAS_PARAGRAPH
ch_B,p_B_4,HAS_PARAGRAPH
ch_B,p_B_5,HAS_PARAGRAPH
ch_B,p_B_6,HAS_PARAGRAPH
ch_B,p_B_7,HAS_PARAGRAPH
ch_B,p_B_8,HAS_PARAGRAPH
ch_B,p_B_9,HAS_PARAGRAPH
ch_B,p_B_10,HAS_PARAGRAPH
ch_B,p_B_11,HAS_PARAGRAPH
ch_B,p_B_12,HAS_PARAGRAPH
ch_B,p_B_13,HAS_PARAGRAPH
ch_B,p_B_14,HAS_PARAGRAPH
ch_B,p_B_15,HAS_PARAGRAPH
ch_B,p_B_16,HAS_PARAGRAPH
ch_B,p_B_17,HAS_PARAGRAPH
ch_B,p_B_18,HAS_PARAGRAPH
ch_B,p_B_19,HAS_PARAGRAPH
ch_B,p_B_20,HAS_PARAGRAPH
ch_B,p_B_21,HAS_PARAGRAPH
ch_B,p_B_22,HAS_PARAGRAPH
ch_B,p_B_23,HAS_PARAGRAPH
ch_B,p_B_24,HAS_PARAGRAPH
ch_B,p_B_25,HAS_PARAGRAPH
ch_B,p_B_26,HAS_PARAGRAPH
ch_B,p_B_27,HAS_PARAGRAPH
ch_B,p_B_28,HAS_PARAGRAPH
ch_B,p_B_29,HAS_PARAGRAPH
ch_B,p_B_30,HAS_PARAGRAPH
ch_B,p_B_31,HAS_PARAGRAPH
ch_B,p_B_32,HAS_PARAGRAPH
ch_B,p_B_33,HAS_PARAGRAPH
ch_B,p_B_34,HAS_PARAGRAPH
ch_B,p_B_35,HAS_PARAGRAPH
ch_B,p_B_36,HAS_PARAGRAPH
ch_B,p_B_37,HAS_PARAGRAPH
ch_B,p_B_38,HAS_PARAGRAPH
ch_B,p_B_39,HAS_PARAGRAPH
ch_B,p_B_40,HAS_PARAGRAPH
ch_B,p_B_41,HAS_PARAGRAPH
ch_B,p_B_42,HAS_PARAGRAPH
ch_B,p_B_43,HAS_PARAGRAPH
ch_B,p_B_44,HAS_PARAGRAPH
ch_B,p_B_45,HAS_PARAGRAPH
ch_B,p_B_46,HAS_PARAGRAPH
ch_B,p_B_47,HAS_PARAGRAPH
ch_B,p_B_48,HAS_PARAGRAPH
ch_B,p_B_49,HAS_PARAGRAPH
ch_B,p_B_50,HAS_PARAGRAPH
ch_B,p_B_51,HAS_PARAGRAPH
ch_B,p_B_52,HAS_PARAGRAPH
ch_B,p_B_53,HAS_PARAGRAPH
ch_B,p_B_54,HAS_PARAGRAPH
ch_B,p_B_55,HAS_PARAGRAPH
ch_B,p_B_56,HAS_PARAGRAPH
ch_B,p_B_57,HAS_PARAGRAPH
ch_B,p_B_58,HAS_PARAGRAPH
ch_B,p_B_59,HAS_PARAGRAPH
ch_B,p_B_60,HAS_PARAGRAPH
ch_B,p_B_61,HAS_PARAGRAPH
ch_B,p_B_62,HAS_PARAGRAPH
ch_B,p_B_63,HAS_PARAGRAPH
ch_B,p_B_64,HAS_PARAGRAPH
ch_B,p_B_65,HAS_PARAGRAPH
ch_B,p_B_66,HAS_PARAGRAPH
ch_B,p_B_67,HAS_PARAGRAPH
ch_B,p_B_68,HAS_PARAGRAPH
ch_B,p_B_69,HAS_PARAGRAPH
ch_B,p_B_70,HAS_PARAGRAPH
ch_B,p_B_71,HAS_PARAGRAPH
ch_B,p_B_72,HAS_PARAGRAPH
ch_B,p_B_73,HAS_PARAGRAPH
ch_B,p_B_74,HAS_PARAGRAPH
ch_B,p_B_75,HAS_PARAGRAPH
ch_B,p_B_76,HAS_PARAGRAPH
ch_B,p_B_77,HAS_PARAGRAPH
ch_B,p_B_78,HAS_PARAGRAPH
ch_B,p_B_79,HAS_PARAGRAPH
ch_B,p_B_80,HAS_PARAGRAPH
ch_B,p_B_81,HAS_PARAGRAPH
ch_B,p_B_82,HAS_PARAGRAPH
ch_B,p_B_83,HAS_PARAGRAPH
ch_B,p_B_84,HAS_PARAGRAPH
ch_B,p_B_85,HAS_PARAGRAPH
ch_B,p_B_86,HAS_PARAGRAPH
ch_B,p_B_87,HAS_PARAGRAPH
ch_B,p_B_88,HAS_PARAGRAPH
ch_B,p_B_89,HAS_PARAGRAPH
ch_B,p_B_90,HAS_PARAGRAPH
ch_B,p_B_91,HAS_PARAGRAPH
ch_B,p_B_92,HAS_PARAGRAPH
ch_B,p_B_93,HAS_PARAGRAPH
ch_B,p_B_94,HAS_PARAGRAPH
ch_B,p_B_95,HAS_PARAGRAPH
ch_B,p_B_96,HAS_PARAGRAPH
ch_B,p_B_97,HAS_PARAGRAPH
ch_B,p_B_98,HAS_PARAGRAPH
ch_B,p_B_99,HAS_PARAGRAPH
ch_B,p_B_100,HAS_PARAGRAPH
ch_B,p_B_101,HAS_PARAGRAPH
ch_B,p_B_102,HAS_PARAGRAPH
ch_B,p_B_103,HAS_PARAGRAPH
ch_B,p_B_104,HAS_PARAGRAPH
ch_B,p_B_105,HAS_PARAGRAPH
ch_B,p_B_106,HAS_PARAGRAPH
ch_B,p_B_107,HAS_PARAGRAPH
ch_B,p_B_108,HAS_PARAGRAPH
ch_B,p_B_109,HAS_PARAGRAPH
ch_B,p_B_110,HAS_PARAGRAPH
ch_B,p_B_111,HAS_PARAGRAPH
ch_B,p_B_112,HAS_PARAGRAPH
ch_B,p_B_113,HAS_PARAGRAPH
ch_B,p_B_114,HAS_PARAGRAPH
ch_B,p_B_115,HAS_PARAGRAPH
ch_B,p_B_116,HAS_PARAGRAPH
ch_B,p_B_117,HAS_PARAGRAPH
ch_B,p_B_118,HAS_PARAGRAPH
ch_B,p_B_119,HAS_PARAGRAPH
ch_B,p_B_120,HAS_PARAGRAPH
ch_B,p_B_121,HAS_PARAGRAPH
ch_B,p_B_122,HAS_PARAGRAPH
ch_B,p_B_123,HAS_PARAGRAPH
ch_B,p_B_124,HAS_PARAGRAPH
ch_B,p_B_125,HAS_PARAGRAPH
ch_B,p_B_126,HAS_PARAGRAPH
ch_B,p_B_127,HAS_PARAGRAPH
ch_B,p_B_128,HAS_PARAGRAPH
ch_B,p_B_129,HAS_PARAGRAPH
ch_B,p_B_130,HAS_PARAGRAPH
ch_B,p_B_131,HAS_PARAGRAPH
ch_B,p_B_132,HAS_PARAGRAPH
ch_B,p_B_133,HAS_PARAGRAPH
ch_B,p_B_134,HAS_PARAGRAPH
ch_B,p_B_135,HAS_PARAGRAPH
ch_B,p_B_136,HAS_PARAGRAPH
ch_B,p_B_137,HAS_PARAGRAPH
ch_B,p_B_138,HAS_PARAGRAPH
ch_B,p_B_139,HAS_PARAGRAPH
ch_B,p_B_140,HAS_PARAGRAPH
ch_B,p_B_141,HAS_PARAGRAPH
ch_B,p_B_142,HAS_PARAGRAPH
ch_B,p_B_143,HAS_PARAGRAPH
ch_B,p_B_144,HAS_PARAGRAPH
ch_B,p_B_145,HAS_PARAGRAPH
ch_B,p_B_146,HAS_PARAGRAPH
ch_B,p_B_147,HAS_PARAGRAPH
ch_C,p_C_1,HAS_PARAGRAPH
ch_C,p_C_2,HAS_PARAGRAPH
ch_C,p_C_3,HAS_PARAGRAPH
ch_C,p_C_4,HAS_PARAGRAPH
ch_C,p_C_5,HAS_PARAGRAPH
ch_C,p_C_6,HAS_PARAGRAPH
ch_C,p_C_7,HAS_PARAGRAPH
ch_C,p_C_8,HAS_PARAGRAPH
ch_C,p_C_9,HAS_PARAGRAPH
ch_C,p_C_10,HAS_PARAGRAPH
ch_C,p_C_11,HAS_PARAGRAPH
ch_C,p_C_12,HAS_PARAGRAPH
ch_C,p_C_13,HAS_PARAGRAPH
ch_C,p_C_14,HAS_PARAGRAPH
ch_C,p_C_15,HAS_PARAGRAPH
ch_C,p_C_16,HAS_PARAGRAPH
ch_C,p_C_17,HAS_PARAGRAPH
ch_C,p_C_18,HAS_PARAGRAPH
ch_C,p_C_19,HAS_PARAGRAPH
ch_C,p_C_20,HAS_PARAGRAPH
ch_C,p_C_21,HAS_PARAGRAPH
ch_C,p_C_22,HAS_PARAGRAPH
ch_C,p_C_23,HAS_PARAGRAPH
ch_C,p_C_24,HAS_PARAGRAPH
ch_C,p_C_25,HAS_PARAGRAPH
ch_C,p_C_26,HAS_PARAGRAPH
ch_C,p_C_27,HAS_PARAGRAPH
ch_C,p_C_28,HAS_PARAGRAPH
ch_C,p_C_29,HAS_PARAGRAPH
ch_C,p_C_30,HAS_PARAGRAPH
ch_C,p_C_31,HAS_PARAGRAPH
ch_C,p_C_32,HAS_PARAGRAPH
ch_C,p_C_33,HAS_PARAGRAPH
ch_C,p_C_34,HAS_PARAGRAPH
ch_C,p_C_35,HAS_PARAGRAPH
ch_C,p_C_36,HAS_PARAGRAPH
ch_C,p_C_37,HAS_PARAGRAPH
ch_D,p_D_1,HAS_PARAGRAPH
ch_D,p_D_2,HAS_PARAGRAPH
ch_D,p_D_3,HAS_PARAGRAPH
ch_D,p_D_4,HAS_PARAGRAPH
ch_D,p_D_5,HAS_PARAGRAPH
ch_D,p_D_6,HAS_PARAGRAPH
ch_D,p_D_7,HAS_PARAGRAPH
