source_id,target_id,rel_type
OIS-03.03B,SP-02,CROSS_REFERENCES
OIS-04.01B,OIS-07,CROSS_REFERENCES
OIS-04.01B,IAM-01,CROSS_REFERENCES
OIS-04.01B,DEV-01,CROSS_REFERENCES
OIS-04.02B,OIS-09,CROSS_REFERENCES
OIS-05.03B,OIS-07,CROSS_REFERENCES
OIS-07.01B,SP-01,CROSS_REFERENCES
OIS-09.02B,OIS-08,CROSS_REFERENCES
OIS-09.07B,PSS-01,CROSS_REFERENCES
OIS-10.01B,OIS-07,CROSS_REFERENCES
SP-03.02B,OIS-07,CROSS_REFERENCES
SP-03.03B,OIS-07,CROSS_REFERENCES
HR-02.01B,SP-01,CROSS_REFERENCES
HR-04.01B,SP-01,CROSS_REFERENCES
HR-06.06B,OIS-07,CROSS_REFERENCES
HR-07.01B,SP-01,CROSS_REFERENCES
HR-08.01B,HR-07,CROSS_REFERENCES
AM-01.01B,SP-01,CROSS_REFERENCES
AM-02.01B,AM-01,CROSS_REFERENCES
AM-02.03B,OIS-07,CROSS_REFERENCES
AM-03.01B,AM-02,CROSS_REFERENCES
AM-04.01B,AM-02,CROSS_REFERENCES
AM-05.01B,SP-01,CROSS_REFERENCES
AM-05.02B,AM-01,CROSS_REFERENCES
AM-06.01B,OIS-07,CROSS_REFERENCES
AM-08.01B,OIS-07,CROSS_REFERENCES
AM-10.01B,OIS-07,CROSS_REFERENCES
AM-10.01AS,OIS-07,CROSS_REFERENCES
AM-11.01B,OIS-07,CROSS_REFERENCES
AM-12.01B,OIS-07,CROSS_REFERENCES
AM-12.01B,CRY-05,CROSS_REFERENCES
AM-12.01AC,OIS-07,CROSS_REFERENCES
PS-01.02B,SP-01,CROSS_REFERENCES
PS-01.05B,SSO-05,CROSS_REFERENCES
PS-01.06B,SSO-05,CROSS_REFERENCES
PS-01.04AC,PS-06,CROSS_REFERENCES
PS-02.01B,PS-01,CROSS_REFERENCES
PS-02.03B,BCM-04,CROSS_REFERENCES
PS-02.01AS,PS-01,CROSS_REFERENCES
PS-03.01B,PS-01,CROSS_REFERENCES
PS-04.01B,PS-01,CROSS_REFERENCES
PS-04.01B,SP-01,CROSS_REFERENCES
PS-04.01B,IAM-02,CROSS_REFERENCES
PS-04.01B,SP-03,CROSS_REFERENCES
PS-04.01B,OIS-07,CROSS_REFERENCES
PS-05.01B,PS-01,CROSS_REFERENCES
PS-06.01B,PS-01,CROSS_REFERENCES
PS-06.01B,BCM-04,CROSS_REFERENCES
PS-07.01B,PS-06,CROSS_REFERENCES
PS-07.01B,PS-01,CROSS_REFERENCES
PS-08.01B,OIS-07,CROSS_REFERENCES
PS-08.01B,SP-01,CROSS_REFERENCES
OPS-02.02B,OPS-24,CROSS_REFERENCES
OPS-04.01B,SP-01,CROSS_REFERENCES
OPS-06.01B,SP-01,CROSS_REFERENCES
OPS-06.01B,OPS-08,CROSS_REFERENCES
OPS-06.01AS,SP-01,CROSS_REFERENCES
OPS-06.01AS,OPS-08,CROSS_REFERENCES
OPS-07.01B,OPS-06,CROSS_REFERENCES
OPS-08.02B,BCM-02,CROSS_REFERENCES
OPS-09.03B,CRY-04,CROSS_REFERENCES
OPS-10.01B,SP-01,CROSS_REFERENCES
OPS-11.01B,SP-01,CROSS_REFERENCES
OPS-12.01B,OPS-10,CROSS_REFERENCES
OPS-13.01AC,AM-09,CROSS_REFERENCES
OPS-16.02B,DEV-03,CROSS_REFERENCES
OPS-18.01B,SP-01,CROSS_REFERENCES
OPS-18.05B,OIS-07,CROSS_REFERENCES
OPS-19.01B,SP-01,CROSS_REFERENCES
OPS-19.01B,SIM-02,CROSS_REFERENCES
OPS-20.01B,OPS-19,CROSS_REFERENCES
OPS-21.01B,OPS-19,CROSS_REFERENCES
OPS-22.01B,OPS-18,CROSS_REFERENCES
OPS-22.02B,OIS-07,CROSS_REFERENCES
OPS-22.07B,OPS-18,CROSS_REFERENCES
OPS-22.01AS,OPS-18,CROSS_REFERENCES
OPS-22.02AS,OIS-07,CROSS_REFERENCES
OPS-25.01B,OPS-18,CROSS_REFERENCES
OPS-25.04B,OPS-13,CROSS_REFERENCES
OPS-25.01AS,OPS-18,CROSS_REFERENCES
OPS-27.01B,SP-01,CROSS_REFERENCES
OPS-27.02B,DEV-03,CROSS_REFERENCES
OPS-28.01B,OPS-27,CROSS_REFERENCES
OPS-30.01B,OIS-07,CROSS_REFERENCES
OPS-30.01B,SP-01,CROSS_REFERENCES
OPS-31.02B,CRY-01,CROSS_REFERENCES
OPS-32.01B,SP-01,CROSS_REFERENCES
OPS-32.01B,OIS-07,CROSS_REFERENCES
