section_id,part_id,label,title,source_document
SEC-1-1,PART-1,Section One,Introductory Provisions,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
SEC-1-2,PART-1,Section Two,General rules for legitimate Processing,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
SEC-1-3,PART-1,Section Three,Transfer of Personal Data outside the Kingdom,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
SEC-1-4,PART-1,Section Four,Notifications and Authorizations,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
SEC-1-5,PART-1,Section Five,Rights of the Data Subject,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
SEC-2-1,PART-2,Section One,General provisions,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
SEC-2-2,PART-2,Section two,The Board,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
SEC-2-3,PART-2,Section Three,The Chief Executive,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
SEC-3-1,PART-3,Section One,Accountability by the Authority,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
SEC-3-2,PART-3,Section two,Civil liability,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
SEC-3-3,PART-3,Section three,Criminal Liability,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
