definicao_id,termo,texto_definicao,artigo_id,inciso,dispositivo_id,nota_alteracao,source_document
def_5_I,dado pessoal,informação relacionada a pessoa natural identificada ou identificável,art_5,I,art_5_inc_I,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
def_5_II,dado pessoal sensível,"dado pessoal sobre origem racial ou étnica, convicção religiosa, opinião política, filiação a sindicato ou a organização de caráter religioso, filosófico ou político, dado referente à saúde ou à vida sexual, dado genético ou biométrico, quando vinculado a uma pessoa natural",art_5,II,art_5_inc_II,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
def_5_III,dado anonimizado,"dado relativo a titular que não possa ser identificado, considerando a utilização de meios técnicos razoáveis e disponíveis na ocasião de seu tratamento",art_5,III,art_5_inc_III,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
def_5_IV,banco de dados,"conjunto estruturado de dados pessoais, estabelecido em um ou em vários locais, em suporte eletrônico ou físico",art_5,IV,art_5_inc_IV,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
def_5_V,titular,pessoa natural a quem se referem os dados pessoais que são objeto de tratamento,art_5,V,art_5_inc_V,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
def_5_VI,controlador,"pessoa natural ou jurídica, de direito público ou privado, a quem competem as decisões referentes ao tratamento de dados pessoais",art_5,VI,art_5_inc_VI,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
def_5_VII,operador,"pessoa natural ou jurídica, de direito público ou privado, que realiza o tratamento de dados pessoais em nome do controlador",art_5,VII,art_5_inc_VII,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
def_5_VIII,encarregado,"pessoa indicada pelo controlador e operador para atuar como canal de comunicação entre o controlador, os titulares dos dados e a Agência Nacional de Proteção de Dados (ANPD)",art_5,VIII,art_5_inc_VIII,"(Inciso com redação dada pela Medida Provisória nº 1.317, de 17/9/2025, convertida na Lei nº 15.352, de 25/2/2026)",lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
def_5_IX,agentes de tratamento,o controlador e o operador,art_5,IX,art_5_inc_IX,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
def_5_X,tratamento,"toda operação realizada com dados pessoais, como as que se referem a coleta, produção, recepção, classificação, utilização, acesso, reprodução, transmissão, distribuição, processamento, arquivamento, armazenamento, eliminação, avaliação ou controle da informação, modificação, comunicação, transferência, difusão ou extração",art_5,X,art_5_inc_X,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
def_5_XI,anonimização,"utilização de meios técnicos razoáveis e disponíveis no momento do tratamento, por meio dos quais um dado perde a possibilidade de associação, direta ou indireta, a um indivíduo",art_5,XI,art_5_inc_XI,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
def_5_XII,consentimento,"manifestação livre, informada e inequívoca pela qual o titular concorda com o tratamento de seus dados pessoais para uma finalidade determinada",art_5,XII,art_5_inc_XII,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
def_5_XIII,bloqueio,"suspensão temporária de qualquer operação de tratamento, mediante guarda do dado pessoal ou do banco de dados",art_5,XIII,art_5_inc_XIII,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
def_5_XIV,eliminação,"exclusão de dado ou de conjunto de dados armazenados em banco de dados, independentemente do procedimento empregado",art_5,XIV,art_5_inc_XIV,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
def_5_XV,transferência internacional de dados,transferência de dados pessoais para país estrangeiro ou organismo internacional do qual o país seja membro,art_5,XV,art_5_inc_XV,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
def_5_XVI,uso compartilhado de dados,"comunicação, difusão, transferência internacional, interconexão de dados pessoais ou tratamento compartilhado de bancos de dados pessoais por órgãos e entidades públicos no cumprimento de suas competências legais, ou entre esses e entes privados, reciprocamente, com autorização específica, para uma ou mais modalidades de tratamento permitidas por esses entes públicos, ou entre entes privados",art_5,XVI,art_5_inc_XVI,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
def_5_XVII,relatório de impacto à proteção de dados pessoais,"documentação do controlador que contém a descrição dos processos de tratamento de dados pessoais que podem gerar riscos às liberdades civis e aos direitos fundamentais, bem como medidas, salvaguardas e mecanismos de mitigação de risco",art_5,XVII,art_5_inc_XVII,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
def_5_XVIII,órgão de pesquisa,"órgão ou entidade da administração pública direta ou indireta ou pessoa jurídica de direito privado sem fins lucrativos legalmente constituída sob as leis brasileiras, com sede e foro no País, que inclua em sua missão institucional ou em seu objetivo social ou estatutário a pesquisa básica ou aplicada de caráter histórico, científico, tecnológico ou estatístico; e",art_5,XVIII,art_5_inc_XVIII,"(Inciso com redação dada pela Medida Provisória nº 869, de 27/12/2018, convertida na Lei nº 13.853, de 8/7/2019)",lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
def_5_XIX,autoridade nacional,"entidade da administração pública responsável por zelar, implementar e fiscalizar o cumprimento desta Lei em todo o território nacional.",art_5,XIX,art_5_inc_XIX,"(Inciso com redação dada pela Medida Provisória nº 1.317, de 17/9/2025 , convertida na Lei nº 15.352, de 25/2/2026)",lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
