source_id,target_id,rel_type
1798.135(e),BODY:AG,REFERS_TO_BODY
1798.140(ag)(1)(D),BODY:CPPA,REFERS_TO_BODY
1798.140(ak),BODY:AG,REFERS_TO_BODY
1798.140(d)(4),BODY:CPPA,REFERS_TO_BODY
1798.140(j)(1)(A)(iv),BODY:CPPA,REFERS_TO_BODY
1798.140(n),BODY:AG,REFERS_TO_BODY
1798.155(a),BODY:CPPA,REFERS_TO_BODY
1798.155(b),BODY:AG,REFERS_TO_BODY
1798.155(b),BODY:CPPA,REFERS_TO_BODY
1798.160(a),BODY:AG,REFERS_TO_BODY
1798.160(a),BODY:CPPA,REFERS_TO_BODY
1798.160(b)(1),BODY:AG,REFERS_TO_BODY
1798.160(b)(1),BODY:CPPA,REFERS_TO_BODY
1798.160(b)(2)(B),BODY:CPPA,REFERS_TO_BODY
1798.160(d)(1),BODY:CPPA,REFERS_TO_BODY
1798.185(a),BODY:AG,REFERS_TO_BODY
1798.185(a)(14)(B),BODY:CPPA,REFERS_TO_BODY
1798.185(b),BODY:AG,REFERS_TO_BODY
1798.185(c),BODY:AG,REFERS_TO_BODY
1798.185(d),BODY:AG,REFERS_TO_BODY
1798.185(d),BODY:CPPA,REFERS_TO_BODY
1798.199.10(a),BODY:AG,REFERS_TO_BODY
1798.199.10(a),BODY:CPPA,REFERS_TO_BODY
1798.199.40(b),BODY:AG,REFERS_TO_BODY
1798.199.90(a),BODY:AG,REFERS_TO_BODY
1798.199.90(b),BODY:AG,REFERS_TO_BODY
1798.199.90(c),BODY:AG,REFERS_TO_BODY
1798.199.90(d),BODY:AG,REFERS_TO_BODY
1798.199.95(c),BODY:AG,REFERS_TO_BODY
1798.199.95(d)(1),BODY:CPPA,REFERS_TO_BODY
