source_id,target_id,rel_type
1798.140(d)(1)(A),AMT:001,SPECIFIES_AMOUNT
1798.150(a)(1)(A),AMT:002,SPECIFIES_AMOUNT
1798.150(a)(1)(A),AMT:003,SPECIFIES_AMOUNT
1798.155(a),AMT:004,SPECIFIES_AMOUNT
1798.155(a),AMT:005,SPECIFIES_AMOUNT
1798.160(d)(1),AMT:006,SPECIFIES_AMOUNT
1798.160(d)(2),AMT:006,SPECIFIES_AMOUNT
1798.199.55(a)(2),AMT:004,SPECIFIES_AMOUNT
1798.199.55(a)(2),AMT:005,SPECIFIES_AMOUNT
1798.199.90(a),AMT:004,SPECIFIES_AMOUNT
1798.199.90(a),AMT:005,SPECIFIES_AMOUNT
1798.199.95(a),AMT:007,SPECIFIES_AMOUNT
1798.199.95(a),AMT:008,SPECIFIES_AMOUNT
1798.199.95(b)(3),AMT:008,SPECIFIES_AMOUNT
