source_id,target_id,rel_type
1798.120(c),DL:001,STATES_TIME_PERIOD
1798.120(c),DL:002,STATES_TIME_PERIOD
1798.130(a)(2)(A),DL:003,STATES_TIME_PERIOD
1798.130(a)(2)(A),DL:004,STATES_TIME_PERIOD
1798.130(a)(2)(B),DL:005,STATES_TIME_PERIOD
1798.130(a)(2)(B),DL:006,STATES_TIME_PERIOD
1798.130(a)(5),DL:007,STATES_TIME_PERIOD
1798.130(a)(5)(B)(i),DL:007,STATES_TIME_PERIOD
1798.130(a)(5)(C)(i),DL:007,STATES_TIME_PERIOD
1798.130(a)(5)(C)(ii),DL:007,STATES_TIME_PERIOD
1798.130(b),DL:005,STATES_TIME_PERIOD
1798.135(c)(4),DL:007,STATES_TIME_PERIOD
1798.135(c)(5),DL:001,STATES_TIME_PERIOD
1798.135(c)(5),DL:007,STATES_TIME_PERIOD
1798.140(ag)(1)(D),DL:007,STATES_TIME_PERIOD
1798.140(aj),DL:009,STATES_TIME_PERIOD
1798.140(i),DL:008,STATES_TIME_PERIOD
1798.140(j)(1)(C),DL:007,STATES_TIME_PERIOD
1798.145(a)(1)(B),DL:010,STATES_TIME_PERIOD
1798.145(a)(1)(B),DL:011,STATES_TIME_PERIOD
1798.145(a)(1)(D)(i)(III),DL:012,STATES_TIME_PERIOD
1798.145(h)(1),DL:003,STATES_TIME_PERIOD
1798.145(h)(1),DL:010,STATES_TIME_PERIOD
1798.145(m)(4),DL:013,STATES_TIME_PERIOD
1798.145(n)(3),DL:013,STATES_TIME_PERIOD
1798.148(c),DL:014,STATES_TIME_PERIOD
1798.150(b),DL:015,STATES_TIME_PERIOD
1798.155(a),DL:001,STATES_TIME_PERIOD
1798.185(a),DL:016,STATES_TIME_PERIOD
1798.185(a)(18)(B),DL:001,STATES_TIME_PERIOD
1798.185(a)(18)(B),DL:002,STATES_TIME_PERIOD
1798.185(a)(3),DL:017,STATES_TIME_PERIOD
1798.185(a)(5),DL:017,STATES_TIME_PERIOD
1798.185(a)(6),DL:017,STATES_TIME_PERIOD
1798.185(a)(8),DL:005,STATES_TIME_PERIOD
1798.185(c),DL:016,STATES_TIME_PERIOD
1798.185(c),DL:018,STATES_TIME_PERIOD
1798.185(d),DL:018,STATES_TIME_PERIOD
1798.185(d),DL:019,STATES_TIME_PERIOD
1798.185(d),DL:020,STATES_TIME_PERIOD
1798.185(d),DL:021,STATES_TIME_PERIOD
1798.198(a),DL:022,STATES_TIME_PERIOD
1798.199.10(b),DL:010,STATES_TIME_PERIOD
1798.199.15(f),DL:017,STATES_TIME_PERIOD
1798.199.15(f),DL:023,STATES_TIME_PERIOD
1798.199.15(g),DL:024,STATES_TIME_PERIOD
1798.199.40(b),DL:018,STATES_TIME_PERIOD
1798.199.40(b),DL:020,STATES_TIME_PERIOD
1798.199.70(b),DL:023,STATES_TIME_PERIOD
1798.199.70(c),DL:023,STATES_TIME_PERIOD
1798.199.75(b),DL:025,STATES_TIME_PERIOD
1798.199.80(e),DL:025,STATES_TIME_PERIOD
1798.199.95(d)(1),DL:026,STATES_TIME_PERIOD
1798.199.95(d)(2),DL:024,STATES_TIME_PERIOD
