acronym_id,acronym,expansion,source_document
ACR-AC,AC,Access Control,CMMC-MODEL-OVERVIEW-V2.13
ACR-APT,APT,Advanced Persistent Threat,CMMC-MODEL-OVERVIEW-V2.13
ACR-AT,AT,Awareness and Training,CMMC-MODEL-OVERVIEW-V2.13
ACR-AU,AU,Audit and Accountability,CMMC-MODEL-OVERVIEW-V2.13
ACR-CA,CA,Security Assessment,CMMC-MODEL-OVERVIEW-V2.13
ACR-CFR,CFR,Code of Federal Regulations,CMMC-MODEL-OVERVIEW-V2.13
ACR-CM,CM,Configuration Management,CMMC-MODEL-OVERVIEW-V2.13
ACR-CMMC,CMMC,Cybersecurity Maturity Model Certification,CMMC-MODEL-OVERVIEW-V2.13
ACR-CUI,CUI,Controlled Unclassified Information,CMMC-MODEL-OVERVIEW-V2.13
ACR-DFARS,DFARS,Defense Federal Acquisition Regulation Supplement,CMMC-MODEL-OVERVIEW-V2.13
ACR-DIB,DIB,Defense Industrial Base,CMMC-MODEL-OVERVIEW-V2.13
ACR-DoD,DoD,Department of Defense,CMMC-MODEL-OVERVIEW-V2.13
ACR-FAR,FAR,Federal Acquisition Regulation,CMMC-MODEL-OVERVIEW-V2.13
ACR-FCI,FCI,Federal Contract Information,CMMC-MODEL-OVERVIEW-V2.13
ACR-FFRDC,FFRDC,Federally Funded Research and Development Center,CMMC-MODEL-OVERVIEW-V2.13
ACR-FIPS,FIPS,Federal Information Processing Standard,CMMC-MODEL-OVERVIEW-V2.13
ACR-IA,IA,Identification and Authentication,CMMC-MODEL-OVERVIEW-V2.13
ACR-IR,IR,Incident Response,CMMC-MODEL-OVERVIEW-V2.13
ACR-L#,L#,Level Number,CMMC-MODEL-OVERVIEW-V2.13
ACR-MA,MA,Maintenance,CMMC-MODEL-OVERVIEW-V2.13
ACR-MP,MP,Media Protection,CMMC-MODEL-OVERVIEW-V2.13
ACR-N/A,N/A,Not Applicable (NA),CMMC-MODEL-OVERVIEW-V2.13
ACR-NIST,NIST,National Institute of Standards and Technology OUSD A&S Office of the Under Secretary of Defense for Acquisition and Sustainment,CMMC-MODEL-OVERVIEW-V2.13
ACR-PE,PE,Physical Protection,CMMC-MODEL-OVERVIEW-V2.13
ACR-PS,PS,Personnel Security,CMMC-MODEL-OVERVIEW-V2.13
ACR-PUB,PUB,Publication,CMMC-MODEL-OVERVIEW-V2.13
ACR-Rev,Rev,Revision,CMMC-MODEL-OVERVIEW-V2.13
ACR-RA,RA,Risk Assessment,CMMC-MODEL-OVERVIEW-V2.13
ACR-SC,SC,System and Communications Protection,CMMC-MODEL-OVERVIEW-V2.13
ACR-SI,SI,System and Information Integrity,CMMC-MODEL-OVERVIEW-V2.13
ACR-SP,SP,Special Publication,CMMC-MODEL-OVERVIEW-V2.13
ACR-UARC,UARC,University Affiliated Research Center,CMMC-MODEL-OVERVIEW-V2.13
ACR-U.S.,U.S.,United States,CMMC-MODEL-OVERVIEW-V2.13
ACR-VoIP,VoIP,Voice over Internet Protocol,CMMC-MODEL-OVERVIEW-V2.13
ACR-Vol.,Vol.,Volume,CMMC-MODEL-OVERVIEW-V2.13
