source_id,target_id,rel_type
LVL-1-V213,AC.L1-b.1.i,HAS_REQUIREMENT
LVL-1-V213,AC.L1-b.1.ii,HAS_REQUIREMENT
LVL-1-V213,AC.L1-b.1.iii,HAS_REQUIREMENT
LVL-1-V213,AC.L1-b.1.iv,HAS_REQUIREMENT
LVL-2-V213,AC.L2-3.1.1,HAS_REQUIREMENT
LVL-2-V213,AC.L2-3.1.2,HAS_REQUIREMENT
LVL-2-V213,AC.L2-3.1.3,HAS_REQUIREMENT
LVL-2-V213,AC.L2-3.1.4,HAS_REQUIREMENT
LVL-2-V213,AC.L2-3.1.5,HAS_REQUIREMENT
LVL-2-V213,AC.L2-3.1.6,HAS_REQUIREMENT
LVL-2-V213,AC.L2-3.1.7,HAS_REQUIREMENT
LVL-2-V213,AC.L2-3.1.8,HAS_REQUIREMENT
LVL-2-V213,AC.L2-3.1.9,HAS_REQUIREMENT
LVL-2-V213,AC.L2-3.1.10,HAS_REQUIREMENT
LVL-2-V213,AC.L2-3.1.11,HAS_REQUIREMENT
LVL-2-V213,AC.L2-3.1.12,HAS_REQUIREMENT
LVL-2-V213,AC.L2-3.1.13,HAS_REQUIREMENT
LVL-2-V213,AC.L2-3.1.14,HAS_REQUIREMENT
LVL-2-V213,AC.L2-3.1.15,HAS_REQUIREMENT
LVL-2-V213,AC.L2-3.1.16,HAS_REQUIREMENT
LVL-2-V213,AC.L2-3.1.17,HAS_REQUIREMENT
LVL-2-V213,AC.L2-3.1.18,HAS_REQUIREMENT
LVL-2-V213,AC.L2-3.1.19,HAS_REQUIREMENT
LVL-2-V213,AC.L2-3.1.20,HAS_REQUIREMENT
LVL-2-V213,AC.L2-3.1.21,HAS_REQUIREMENT
LVL-2-V213,AC.L2-3.1.22,HAS_REQUIREMENT
LVL-3-V213,AC.L3-3.1.2e,HAS_REQUIREMENT
LVL-3-V213,AC.L3-3.1.3e,HAS_REQUIREMENT
LVL-2-V213,AT.L2-3.2.1,HAS_REQUIREMENT
LVL-2-V213,AT.L2-3.2.2,HAS_REQUIREMENT
LVL-2-V213,AT.L2-3.2.3,HAS_REQUIREMENT
LVL-3-V213,AT.L3-3.2.1e,HAS_REQUIREMENT
LVL-3-V213,AT.L3-3.2.2e,HAS_REQUIREMENT
LVL-2-V213,AU.L2-3.3.1,HAS_REQUIREMENT
LVL-2-V213,AU.L2-3.3.2,HAS_REQUIREMENT
LVL-2-V213,AU.L2-3.3.3,HAS_REQUIREMENT
LVL-2-V213,AU.L2-3.3.4,HAS_REQUIREMENT
LVL-2-V213,AU.L2-3.3.5,HAS_REQUIREMENT
LVL-2-V213,AU.L2-3.3.6,HAS_REQUIREMENT
LVL-2-V213,AU.L2-3.3.7,HAS_REQUIREMENT
LVL-2-V213,AU.L2-3.3.8,HAS_REQUIREMENT
LVL-2-V213,AU.L2-3.3.9,HAS_REQUIREMENT
LVL-2-V213,CM.L2-3.4.1,HAS_REQUIREMENT
LVL-2-V213,CM.L2-3.4.2,HAS_REQUIREMENT
LVL-2-V213,CM.L2-3.4.3,HAS_REQUIREMENT
LVL-2-V213,CM.L2-3.4.4,HAS_REQUIREMENT
LVL-2-V213,CM.L2-3.4.5,HAS_REQUIREMENT
LVL-2-V213,CM.L2-3.4.6,HAS_REQUIREMENT
LVL-2-V213,CM.L2-3.4.7,HAS_REQUIREMENT
LVL-2-V213,CM.L2-3.4.8,HAS_REQUIREMENT
LVL-2-V213,CM.L2-3.4.9,HAS_REQUIREMENT
LVL-3-V213,CM.L3-3.4.1e,HAS_REQUIREMENT
LVL-3-V213,CM.L3-3.4.2e,HAS_REQUIREMENT
LVL-3-V213,CM.L3-3.4.3e,HAS_REQUIREMENT
LVL-1-V213,IA.L1-b.1.v,HAS_REQUIREMENT
LVL-1-V213,IA.L1-b.1.vi,HAS_REQUIREMENT
LVL-2-V213,IA.L2-3.5.1,HAS_REQUIREMENT
LVL-2-V213,IA.L2-3.5.2,HAS_REQUIREMENT
LVL-2-V213,IA.L2-3.5.3,HAS_REQUIREMENT
LVL-2-V213,IA.L2-3.5.4,HAS_REQUIREMENT
LVL-2-V213,IA.L2-3.5.5,HAS_REQUIREMENT
LVL-2-V213,IA.L2-3.5.6,HAS_REQUIREMENT
LVL-2-V213,IA.L2-3.5.7,HAS_REQUIREMENT
LVL-2-V213,IA.L2-3.5.8,HAS_REQUIREMENT
LVL-2-V213,IA.L2-3.5.9,HAS_REQUIREMENT
LVL-2-V213,IA.L2-3.5.10,HAS_REQUIREMENT
LVL-2-V213,IA.L2-3.5.11,HAS_REQUIREMENT
LVL-3-V213,IA.L3-3.5.1e,HAS_REQUIREMENT
LVL-3-V213,IA.L3-3.5.3e,HAS_REQUIREMENT
LVL-2-V213,IR.L2-3.6.1,HAS_REQUIREMENT
LVL-2-V213,IR.L2-3.6.2,HAS_REQUIREMENT
LVL-2-V213,IR.L2-3.6.3,HAS_REQUIREMENT
LVL-3-V213,IR.L3-3.6.1e,HAS_REQUIREMENT
