definition_id,term,text,section_id,citation,source_document
def_child,Child,Child means an individual under the age of 13.,sec_312.2,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_collects_or_collection,Collects or collection,"Collects or collection means the gathering of any personal information from a child by any means, including but not limited to:",sec_312.2,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_commission,Commission,Commission means the Federal Trade Commission.,sec_312.2,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_delete,Delete,Delete means to remove personal information such that it is not maintained in retrievable form and cannot be retrieved in the normal course of business.,sec_312.2,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_disclose_or_disclosure,Disclose or disclosure,"Disclose or disclosure means, with respect to personal information:",sec_312.2,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_federal_agency,Federal agency,"Federal agency means an agency, as that term is defined in Section 551(1) of title 5, United States Code.",sec_312.2,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_internet,Internet,"Internet means collectively the myriad of computer and telecommunications facilities, including equipment and operating software, which comprise the interconnected world-wide network of networks that employ the Transmission Control Protocol/Internet Protocol, or any predecessor or successor protocols to such protocol, to communicate information of all kinds by wire, radio, or other methods of transmission.",sec_312.2,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_obtaining_verifiable_consent,Obtaining verifiable consent,"Obtaining verifiable consent means making any reasonable effort (taking into consideration available technology) to ensure that before personal information is collected from a child, a parent of the child:",sec_312.2,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_online_contact_information,Online contact information,"Online contact information means an email address or any other substantially similar identifier that permits direct contact with a person online, including but not limited to, an instant messaging user identifier, a voice over internet protocol (VOIP) identifier, or a video chat user identifier.",sec_312.2,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_operator,Operator,"Operator means any person who operates a Web site located on the Internet or an online service and who collects or maintains personal information from or about the users of or visitors to such Web site or online service, or on whose behalf such information is collected or maintained, or offers products or services for sale through that Web site or online service, where such Web site or online service is operated for commercial purposes involving commerce among the several States or with 1 or more foreign nations; in any territory of the United States or in the District of Columbia, or between any such territory and another such territory or any State or foreign nation; or between the District of Columbia and any State, territory, or foreign nation. This definition does not include any nonprofit entity that would otherwise be exempt from coverage under Section 5 of the Federal Trade Commission Act (15 U.S.C. 45). Personal information is collected or maintained on behalf of an operator when:",sec_312.2,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_parent,Parent,Parent includes a legal guardian.,sec_312.2,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_person,Person,"Person means any individual, partnership, corporation, trust, estate, cooperative, association, or other entity.",sec_312.2,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_personal_information,Personal information,"Personal information means individually identifiable information about an individual collected online, including:",sec_312.2,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_release_of_personal_information,Release of personal information,"Release of personal information means the sharing, selling, renting, or transfer of personal information to any third party.",sec_312.2,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_support_for_the_internal_operations_of_the_web_site_or_onlin,Support for the internal operations of the Web site or online service,Support for the internal operations of the Web site or online service means:,sec_312.2,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_third_party,Third party,Third party means any person who is not:,sec_312.2,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
def_web_site_or_online_service_directed_to_children,Web site or online service directed to children,"Web site or online service directed to children means a commercial Web site or online service, or portion thereof, that is targeted to children.",sec_312.2,§ 312.2,KB 2/USA/Children's Online Privacy Protection Act.pdf
