section_id,section_number,citation,heading,text,source_document
sec_312.1,312.1,§ 312.1,Scope of regulations in this part.,"This part implements the Children’s Online Privacy Protection Act of 1998, (15 U.S.C. 6501, et seq.,) which prohibits unfair or deceptive acts or practices in connection with the collection, use, and/or disclosure of personal information from and about children on the Internet.",KB 2/USA/Children's Online Privacy Protection Act.pdf
sec_312.2,312.2,§ 312.2,Definitions.,,KB 2/USA/Children's Online Privacy Protection Act.pdf
sec_312.3,312.3,§ 312.3,"Regulation of unfair or deceptive acts or practices in connection with the collection, use, and/or disclosure of personal information from and about children on the Internet.","General requirements. It shall be unlawful for any operator of a Web site or online service directed to children, or any operator that has actual knowledge that it is collecting or maintaining personal information from a child, to collect personal information from a child in a manner that violates the regulations prescribed under this part. Generally, under this part, an operator must:",KB 2/USA/Children's Online Privacy Protection Act.pdf
sec_312.4,312.4,§ 312.4,Notice.,,KB 2/USA/Children's Online Privacy Protection Act.pdf
sec_312.5,312.5,§ 312.5,Parental consent.,,KB 2/USA/Children's Online Privacy Protection Act.pdf
sec_312.6,312.6,§ 312.6,Right of parent to review personal information provided by a child.,,KB 2/USA/Children's Online Privacy Protection Act.pdf
sec_312.7,312.7,§ 312.7,Prohibition against conditioning a child’s participation on collection of personal information.,"An operator is prohibited from conditioning a child’s participation in a game, the offering of a prize, or another activity on the child’s disclosing more personal information than is reasonably necessary to participate in such activity.",KB 2/USA/Children's Online Privacy Protection Act.pdf
sec_312.8,312.8,§ 312.8,"Confidentiality, security, and integrity of personal information collected from children.","The operator must establish and maintain reasonable procedures to protect the confidentiality, security, and integrity of personal information collected from children. The operator must also take reasonable steps to release children’s personal information only to service providers and third parties who are capable of maintaining the confidentiality, security and integrity of such information, and who provide assurances that they will maintain the information in such a manner.",KB 2/USA/Children's Online Privacy Protection Act.pdf
sec_312.9,312.9,§ 312.9,Enforcement.,"Subject to sections 6503 and 6505 of the Children’s Online Privacy Protection Act of 1998, a violation of a regulation prescribed under section 6502 (a) of this Act shall be treated as a violation of a rule defining an unfair or deceptive act or practice prescribed under section 18(a)(1)(B) of the Federal Trade Commission Act (15 U.S.C. 57a(a)(1)(B)).",KB 2/USA/Children's Online Privacy Protection Act.pdf
sec_312.10,312.10,§ 312.10,Data retention and deletion requirements.,"An operator of a Web site or online service shall retain personal information collected online from a child for only as long as is reasonably necessary to fulfill the purpose for which the information was collected. The operator must delete such information using reasonable measures to protect against unauthorized access to, or use of, the information in connection with its deletion.",KB 2/USA/Children's Online Privacy Protection Act.pdf
sec_312.11,312.11,§ 312.11,Safe harbor programs.,,KB 2/USA/Children's Online Privacy Protection Act.pdf
sec_312.12,312.12,§ 312.12,Voluntary Commission Approval Processes.,,KB 2/USA/Children's Online Privacy Protection Act.pdf
sec_312.13,312.13,§ 312.13,Severability.,"The provisions of this part are separate and severable from one another. If any provision is stayed or determined to be invalid, it is the Commission’s intention that the remaining provisions shall continue in effect.",KB 2/USA/Children's Online Privacy Protection Act.pdf
