source_id,target_id,rel_type
sec_312.3,prov_312.3(a),HAS_PROVISION
sec_312.3,prov_312.3(b),HAS_PROVISION
sec_312.3,prov_312.3(c),HAS_PROVISION
sec_312.3,prov_312.3(d),HAS_PROVISION
sec_312.3,prov_312.3(e),HAS_PROVISION
sec_312.4,prov_312.4(a),HAS_PROVISION
sec_312.4,prov_312.4(b),HAS_PROVISION
sec_312.4,prov_312.4(c),HAS_PROVISION
sec_312.4,prov_312.4(d),HAS_PROVISION
sec_312.5,prov_312.5(a),HAS_PROVISION
sec_312.5,prov_312.5(b),HAS_PROVISION
sec_312.5,prov_312.5(c),HAS_PROVISION
sec_312.6,prov_312.6(a),HAS_PROVISION
sec_312.6,prov_312.6(b),HAS_PROVISION
sec_312.6,prov_312.6(c),HAS_PROVISION
sec_312.11,prov_312.11(a),HAS_PROVISION
sec_312.11,prov_312.11(b),HAS_PROVISION
sec_312.11,prov_312.11(c),HAS_PROVISION
sec_312.11,prov_312.11(d),HAS_PROVISION
sec_312.11,prov_312.11(e),HAS_PROVISION
sec_312.11,prov_312.11(f),HAS_PROVISION
sec_312.11,prov_312.11(g),HAS_PROVISION
sec_312.12,prov_312.12(a),HAS_PROVISION
sec_312.12,prov_312.12(b),HAS_PROVISION
