provision_id,citation,text,source_document
ussg_b1,¶8B2.1(b)(1),The organization shall establish standards and procedures to prevent and detect criminal conduct.,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
ussg_b2A,¶8B2.1(b)(2)(A),The organization’s governing authority shall be knowledgeable about the content and operation of the compliance and ethics program and shall exercise reasonable oversight with respect to the implementation and effectiveness of the compliance and ethics program.,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
ussg_b2B,¶8B2.1(b)(2)(B),"High-level personnel of the organization shall ensure that the organization has an effective compliance and ethics program, as described in this guideline. Specific individual(s) within high-level personnel shall be assigned overall responsibility for the compliance and ethics program.",Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
ussg_b2C,¶8B2.1(b)(2)(C),"Specific individual(s) within the organization shall be delegated day-to-day operational responsibility for the compliance and ethics program. Individual(s) with operational responsibility shall report periodically to high-level personnel and, as appropriate, to the governing authority, or an appropriate subgroup of the governing authority, on the effectiveness of the compliance and ethics program. To carry out such operational responsibility, such individual(s) shall be given adequate resources, appropriate authority, and direct access to the governing authority or an appropriate subgroup of the governing authority.",Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
ussg_b3,¶8B2.1(b)(3),"The organization shall use reasonable efforts not to include within the substantial authority personnel of the organization any individual whom the organization knew, or should have known through the exercise of due diligence, has engaged in illegal activities or other conduct inconsistent with an effective compliance and ethics program.",Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
ussg_b4A,¶8B2.1(b)(4)(A),"The organization shall take reasonable steps to communicate periodically and in a practical manner its standards and procedures, and other aspects of the compliance and ethics program, to the individuals referred to in subparagraph (B) by conducting effective training programs and otherwise disseminating information appropriate to such individuals’ respective roles and responsibilities.",Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
ussg_b4B,¶8B2.1(b)(4)(B),"The individuals referred to in subparagraph (A) are the members of the governing authority, high-level personnel, substantial authority personnel, the organization’s employees, and, as appropriate, the organization’s agents.",Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
ussg_b5A,¶8B2.1(b)(5)(A),"The organization shall take reasonable steps— to ensure that the organization’s compliance and ethics program is followed, including monitoring and auditing to detect criminal conduct;",Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
ussg_b5B,¶8B2.1(b)(5)(B),The organization shall take reasonable steps— to evaluate periodically the effectiveness of the organization’s compliance and ethics program; and,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
ussg_b5C,¶8B2.1(b)(5)(C),"The organization shall take reasonable steps— to have and publicize a system, which may include mechanisms that allow for anonymity or confidentiality, whereby the organization’s employees and agents may report or seek guidance regarding potential or actual criminal conduct without fear of retaliation.",Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
ussg_b6,¶8B2.1(b)(6),The organization’s compliance and ethics program shall be promoted and enforced consistently throughout the organization through (A) appropriate incentives to perform in accordance with the compliance and ethics program; and (B) appropriate disciplinary measures for engaging in criminal conduct and for failing to take reasonable steps to prevent or detect criminal conduct.,Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
ussg_b7,¶8B2.1(b)(7),"After criminal conduct has been detected, the organization shall take reasonable steps to respond appropriately to the criminal conduct and to prevent further similar criminal conduct, including making any necessary modifications to the organization’s compliance and ethics program.",Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
ussg_c,¶8B2.1(c),"In implementing subsection (b), the organization shall periodically assess the risk of criminal conduct and shall take appropriate steps to design, implement, or modify each requirement set forth in subsection (b) to reduce the risk of criminal conduct identified through this process.",Compliance-Risk-Management-Applying-the-COSO-ERM-Framework.pdf
