source_id,target_id,rel_type
coso_erm_2017_appendices,apxA,CONTAINS
coso_erm_2017_appendices,apxB,CONTAINS
coso_erm_2017_appendices,apxC,CONTAINS
coso_erm_2017_appendices,apxD,CONTAINS
coso_compliance_risk_2020,apx1,CONTAINS
coso_compliance_risk_2020,apx2,CONTAINS
coso_compliance_risk_2020,sec1,CONTAINS
coso_compliance_risk_2020,sec2,CONTAINS
coso_compliance_risk_2020,sec3,CONTAINS
coso_compliance_risk_2020,sec4,CONTAINS
coso_compliance_risk_2020,sec5,CONTAINS
coso_compliance_risk_2020,sec6,CONTAINS
apxA,sub_001,CONTAINS
sub_001,clause_0001,CONTAINS
apxA,sub_002,CONTAINS
sub_002,clause_0002,CONTAINS
sub_002,clause_0003,CONTAINS
sub_002,clause_0004,CONTAINS
sub_002,clause_0005,CONTAINS
sub_002,clause_0006,CONTAINS
sub_002,clause_0007,CONTAINS
apxB,clause_0008,CONTAINS
apxB,sub_003,CONTAINS
sub_003,clause_0009,CONTAINS
sub_003,clause_0010,CONTAINS
sub_003,clause_0011,CONTAINS
apxB,sub_004,CONTAINS
sub_004,clause_0012,CONTAINS
apxB,sub_005,CONTAINS
sub_005,clause_0013,CONTAINS
sub_005,clause_0014,CONTAINS
apxB,sub_006,CONTAINS
sub_006,clause_0015,CONTAINS
apxB,sub_007,CONTAINS
sub_007,clause_0016,CONTAINS
apxB,sub_008,CONTAINS
sub_008,clause_0017,CONTAINS
apxB,sub_009,CONTAINS
sub_009,clause_0018,CONTAINS
apxB,sub_010,CONTAINS
sub_010,clause_0019,CONTAINS
sub_010,clause_0020,CONTAINS
apxB,sub_011,CONTAINS
sub_011,clause_0021,CONTAINS
apxB,sub_012,CONTAINS
sub_012,clause_0022,CONTAINS
apxC,clause_0023,CONTAINS
apxC,sub_013,CONTAINS
sub_013,clause_0024,CONTAINS
sub_013,clause_0025,CONTAINS
sub_013,clause_0026,CONTAINS
sub_013,clause_0027,CONTAINS
sub_013,clause_0028,CONTAINS
sub_013,clause_0029,CONTAINS
sub_013,clause_0030,CONTAINS
sub_013,clause_0031,CONTAINS
sub_013,clause_0032,CONTAINS
sub_013,clause_0033,CONTAINS
sub_013,clause_0034,CONTAINS
sub_013,clause_0035,CONTAINS
sub_013,clause_0036,CONTAINS
sub_013,clause_0037,CONTAINS
sub_013,clause_0038,CONTAINS
sub_013,clause_0039,CONTAINS
sub_013,clause_0040,CONTAINS
sub_013,clause_0041,CONTAINS
sub_013,clause_0042,CONTAINS
sub_013,clause_0043,CONTAINS
sub_013,clause_0044,CONTAINS
sub_013,clause_0045,CONTAINS
sub_013,clause_0046,CONTAINS
sub_013,clause_0047,CONTAINS
sub_013,clause_0048,CONTAINS
sub_013,clause_0049,CONTAINS
sub_013,clause_0050,CONTAINS
sub_013,clause_0051,CONTAINS
sub_013,clause_0052,CONTAINS
sub_013,clause_0053,CONTAINS
apxC,sub_014,CONTAINS
sub_014,clause_0054,CONTAINS
apxC,sub_015,CONTAINS
sub_015,clause_0055,CONTAINS
sub_015,clause_0056,CONTAINS
sub_015,clause_0057,CONTAINS
sub_015,clause_0058,CONTAINS
sub_015,clause_0059,CONTAINS
sub_015,clause_0060,CONTAINS
apxC,sub_016,CONTAINS
sub_016,clause_0061,CONTAINS
sub_016,clause_0062,CONTAINS
sub_016,clause_0063,CONTAINS
sub_016,clause_0064,CONTAINS
sub_016,clause_0065,CONTAINS
sub_016,clause_0066,CONTAINS
sub_016,clause_0067,CONTAINS
sub_016,clause_0068,CONTAINS
sub_016,clause_0069,CONTAINS
sub_016,clause_0070,CONTAINS
sub_016,clause_0071,CONTAINS
apxC,sub_017,CONTAINS
sub_017,clause_0072,CONTAINS
sub_017,clause_0073,CONTAINS
sub_017,clause_0074,CONTAINS
sub_017,clause_0075,CONTAINS
sub_017,clause_0076,CONTAINS
sub_017,clause_0077,CONTAINS
sub_017,clause_0078,CONTAINS
sub_017,clause_0079,CONTAINS
sub_017,clause_0080,CONTAINS
sub_017,clause_0081,CONTAINS
apxC,sub_018,CONTAINS
sub_018,clause_0082,CONTAINS
apxC,sub_019,CONTAINS
sub_019,clause_0083,CONTAINS
sub_019,clause_0084,CONTAINS
sub_019,clause_0085,CONTAINS
sub_019,clause_0086,CONTAINS
sub_019,clause_0087,CONTAINS
sub_019,clause_0088,CONTAINS
sub_019,clause_0089,CONTAINS
sub_019,clause_0090,CONTAINS
apxC,sub_020,CONTAINS
sub_020,clause_0091,CONTAINS
apxC,sub_021,CONTAINS
sub_021,clause_0092,CONTAINS
sub_021,clause_0093,CONTAINS
sub_021,clause_0094,CONTAINS
apxD,sub_022,CONTAINS
sub_022,clause_0095,CONTAINS
apxD,sub_023,CONTAINS
sub_023,clause_0096,CONTAINS
sub_023,clause_0097,CONTAINS
sub_023,clause_0098,CONTAINS
sub_023,clause_0099,CONTAINS
sub_023,clause_0100,CONTAINS
sub_023,clause_0101,CONTAINS
sub_023,clause_0102,CONTAINS
sub_023,clause_0103,CONTAINS
sub_023,clause_0104,CONTAINS
sub_023,clause_0105,CONTAINS
sub_023,clause_0106,CONTAINS
sub_023,clause_0107,CONTAINS
sub_023,clause_0108,CONTAINS
sub_023,clause_0109,CONTAINS
sub_023,clause_0110,CONTAINS
sub_023,clause_0111,CONTAINS
sub_023,clause_0112,CONTAINS
sub_023,clause_0113,CONTAINS
sub_023,clause_0114,CONTAINS
sub_023,clause_0115,CONTAINS
sub_023,clause_0116,CONTAINS
sub_023,clause_0117,CONTAINS
sub_023,clause_0118,CONTAINS
sub_023,clause_0119,CONTAINS
apxD,sub_024,CONTAINS
sub_024,sub_025,CONTAINS
sub_025,clause_0120,CONTAINS
sub_025,clause_0121,CONTAINS
sub_024,sub_026,CONTAINS
sub_026,clause_0122,CONTAINS
sub_026,clause_0123,CONTAINS
sub_024,sub_027,CONTAINS
sub_027,clause_0124,CONTAINS
sub_024,sub_028,CONTAINS
sub_028,clause_0125,CONTAINS
sub_024,sub_029,CONTAINS
sub_029,clause_0126,CONTAINS
sub_024,sub_030,CONTAINS
sub_030,clause_0127,CONTAINS
sub_030,clause_0128,CONTAINS
sub_030,clause_0129,CONTAINS
sub_030,clause_0130,CONTAINS
sub_030,clause_0131,CONTAINS
sub_030,clause_0132,CONTAINS
sub_024,sub_031,CONTAINS
sub_031,clause_0133,CONTAINS
sub_031,clause_0134,CONTAINS
sub_031,clause_0135,CONTAINS
sub_031,clause_0136,CONTAINS
sub_031,clause_0137,CONTAINS
sub_031,clause_0138,CONTAINS
sub_024,sub_032,CONTAINS
sub_032,clause_0139,CONTAINS
sub_032,clause_0140,CONTAINS
sub_032,clause_0141,CONTAINS
sub_032,clause_0142,CONTAINS
sub_032,clause_0143,CONTAINS
sub_032,clause_0144,CONTAINS
sub_032,clause_0145,CONTAINS
sub_032,clause_0146,CONTAINS
sub_024,sub_033,CONTAINS
sub_033,clause_0147,CONTAINS
sub_033,clause_0148,CONTAINS
sub_033,clause_0149,CONTAINS
sub_024,sub_034,CONTAINS
sub_034,clause_0150,CONTAINS
sub_034,clause_0151,CONTAINS
sub_034,clause_0152,CONTAINS
sub_034,clause_0153,CONTAINS
sub_034,clause_0154,CONTAINS
sec1,sub_035,CONTAINS
sub_035,clause_0155,CONTAINS
sub_035,clause_0156,CONTAINS
sec1,sub_036,CONTAINS
sub_036,clause_0157,CONTAINS
sub_036,clause_0158,CONTAINS
sub_036,clause_0159,CONTAINS
sub_036,clause_0160,CONTAINS
sub_036,clause_0161,CONTAINS
sub_036,clause_0162,CONTAINS
sub_036,clause_0163,CONTAINS
sub_036,clause_0164,CONTAINS
sub_036,clause_0165,CONTAINS
sec1,sub_037,CONTAINS
sub_037,clause_0166,CONTAINS
sub_037,clause_0167,CONTAINS
sub_037,clause_0168,CONTAINS
sub_037,clause_0169,CONTAINS
sub_037,clause_0170,CONTAINS
sub_037,clause_0171,CONTAINS
sub_037,clause_0172,CONTAINS
sub_037,clause_0173,CONTAINS
sub_037,clause_0174,CONTAINS
sub_037,clause_0175,CONTAINS
sub_037,clause_0176,CONTAINS
sub_037,clause_0177,CONTAINS
sub_037,clause_0178,CONTAINS
sub_037,clause_0179,CONTAINS
sub_037,clause_0180,CONTAINS
sec1,sub_038,CONTAINS
sub_038,clause_0181,CONTAINS
sub_038,clause_0182,CONTAINS
sub_038,clause_0183,CONTAINS
sub_038,clause_0184,CONTAINS
sub_038,clause_0185,CONTAINS
sub_038,clause_0186,CONTAINS
sub_038,clause_0187,CONTAINS
sub_038,clause_0188,CONTAINS
sub_038,clause_0189,CONTAINS
sub_038,clause_0190,CONTAINS
sub_038,clause_0191,CONTAINS
sub_038,clause_0192,CONTAINS
sub_038,clause_0193,CONTAINS
sub_038,clause_0194,CONTAINS
sub_038,clause_0195,CONTAINS
sub_038,clause_0196,CONTAINS
sub_038,clause_0197,CONTAINS
sub_038,clause_0198,CONTAINS
sub_038,clause_0199,CONTAINS
sub_038,clause_0200,CONTAINS
sub_038,clause_0201,CONTAINS
sub_038,clause_0202,CONTAINS
sub_038,clause_0203,CONTAINS
sub_038,clause_0204,CONTAINS
sub_038,clause_0205,CONTAINS
sub_038,clause_0206,CONTAINS
sub_038,clause_0207,CONTAINS
sec1,sub_039,CONTAINS
sub_039,clause_0208,CONTAINS
sub_039,clause_0209,CONTAINS
sub_039,clause_0210,CONTAINS
sub_039,clause_0211,CONTAINS
sub_039,clause_0212,CONTAINS
sub_039,clause_0213,CONTAINS
sub_039,clause_0214,CONTAINS
sub_039,clause_0215,CONTAINS
sub_039,clause_0216,CONTAINS
sub_039,clause_0217,CONTAINS
sub_039,clause_0218,CONTAINS
sub_039,clause_0219,CONTAINS
sub_039,clause_0220,CONTAINS
sub_039,clause_0221,CONTAINS
sub_039,clause_0222,CONTAINS
sub_039,clause_0223,CONTAINS
sub_039,clause_0224,CONTAINS
sub_039,clause_0225,CONTAINS
sub_039,clause_0226,CONTAINS
sub_039,clause_0227,CONTAINS
sec1,sub_040,CONTAINS
sub_040,clause_0228,CONTAINS
sub_040,clause_0229,CONTAINS
sub_040,clause_0230,CONTAINS
sub_040,clause_0231,CONTAINS
sub_040,clause_0232,CONTAINS
sub_040,clause_0233,CONTAINS
sec1,sub_041,CONTAINS
sub_041,clause_0234,CONTAINS
sub_041,clause_0235,CONTAINS
sub_041,clause_0236,CONTAINS
sub_041,clause_0237,CONTAINS
sub_041,clause_0238,CONTAINS
sub_041,clause_0239,CONTAINS
sub_041,clause_0240,CONTAINS
sub_041,clause_0241,CONTAINS
sec2,clause_0242,CONTAINS
principle_1,clause_0243,CONTAINS
principle_1,clause_0244,CONTAINS
principle_1,clause_0245,CONTAINS
principle_1,clause_0246,CONTAINS
principle_1,clause_0247,CONTAINS
principle_2,clause_0248,CONTAINS
principle_2,clause_0249,CONTAINS
principle_2,clause_0250,CONTAINS
principle_2,clause_0251,CONTAINS
principle_3,clause_0252,CONTAINS
principle_3,clause_0253,CONTAINS
principle_3,clause_0254,CONTAINS
principle_3,clause_0255,CONTAINS
principle_4,clause_0256,CONTAINS
principle_4,clause_0257,CONTAINS
principle_4,clause_0258,CONTAINS
principle_4,clause_0259,CONTAINS
principle_4,clause_0260,CONTAINS
principle_5,clause_0261,CONTAINS
principle_5,clause_0262,CONTAINS
principle_5,clause_0263,CONTAINS
principle_5,clause_0264,CONTAINS
principle_5,clause_0265,CONTAINS
principle_5,clause_0266,CONTAINS
sec3,clause_0267,CONTAINS
principle_6,clause_0268,CONTAINS
principle_6,clause_0269,CONTAINS
principle_6,clause_0270,CONTAINS
principle_6,clause_0271,CONTAINS
principle_7,clause_0272,CONTAINS
principle_7,clause_0273,CONTAINS
principle_7,clause_0274,CONTAINS
principle_7,clause_0275,CONTAINS
principle_7,clause_0276,CONTAINS
principle_7,clause_0277,CONTAINS
principle_7,clause_0278,CONTAINS
principle_7,clause_0279,CONTAINS
principle_7,clause_0280,CONTAINS
