source_id,target_id,rel_type
role_board_d1,clause_0026,HAS_RESPONSIBILITY
role_board_d1,clause_0027,HAS_RESPONSIBILITY
role_board_d1,clause_0028,HAS_RESPONSIBILITY
role_board_d1,clause_0029,HAS_RESPONSIBILITY
role_board_d1,clause_0030,HAS_RESPONSIBILITY
role_board_d1,clause_0031,HAS_RESPONSIBILITY
role_board_d1,clause_0032,HAS_RESPONSIBILITY
role_board_d1,clause_0035,HAS_RESPONSIBILITY
role_board_d1,clause_0036,HAS_RESPONSIBILITY
role_board_d1,clause_0037,HAS_RESPONSIBILITY
role_board_d1,clause_0038,HAS_RESPONSIBILITY
role_board_d1,clause_0040,HAS_RESPONSIBILITY
role_board_d1,clause_0041,HAS_RESPONSIBILITY
role_board_d1,clause_0042,HAS_RESPONSIBILITY
role_board_d1,clause_0047,HAS_RESPONSIBILITY
role_board_d1,clause_0048,HAS_RESPONSIBILITY
role_ceo,clause_0056,HAS_RESPONSIBILITY
role_ceo,clause_0057,HAS_RESPONSIBILITY
role_ceo,clause_0058,HAS_RESPONSIBILITY
role_ceo,clause_0059,HAS_RESPONSIBILITY
role_ceo,clause_0060,HAS_RESPONSIBILITY
role_cro,clause_0063,HAS_RESPONSIBILITY
role_cro,clause_0064,HAS_RESPONSIBILITY
role_cro,clause_0065,HAS_RESPONSIBILITY
role_cro,clause_0066,HAS_RESPONSIBILITY
role_cro,clause_0067,HAS_RESPONSIBILITY
role_cro,clause_0068,HAS_RESPONSIBILITY
role_cro,clause_0069,HAS_RESPONSIBILITY
role_cro,clause_0070,HAS_RESPONSIBILITY
role_cro,clause_0071,HAS_RESPONSIBILITY
role_management,clause_0074,HAS_RESPONSIBILITY
role_management,clause_0075,HAS_RESPONSIBILITY
role_management,clause_0076,HAS_RESPONSIBILITY
role_management,clause_0077,HAS_RESPONSIBILITY
role_management,clause_0078,HAS_RESPONSIBILITY
role_management,clause_0079,HAS_RESPONSIBILITY
role_management,clause_0080,HAS_RESPONSIBILITY
role_second_line,clause_0084,HAS_RESPONSIBILITY
role_second_line,clause_0085,HAS_RESPONSIBILITY
role_second_line,clause_0086,HAS_RESPONSIBILITY
role_second_line,clause_0087,HAS_RESPONSIBILITY
role_second_line,clause_0088,HAS_RESPONSIBILITY
role_second_line,clause_0089,HAS_RESPONSIBILITY
role_second_line,clause_0090,HAS_RESPONSIBILITY
role_external_auditors,clause_0093,HAS_RESPONSIBILITY
role_external_auditors,clause_0094,HAS_RESPONSIBILITY
role_3lm_first,clause_0358,HAS_RESPONSIBILITY
role_3lm_first,clause_0359,HAS_RESPONSIBILITY
role_3lm_first,clause_0360,HAS_RESPONSIBILITY
role_3lm_first,clause_0361,HAS_RESPONSIBILITY
role_3lm_second,clause_0363,HAS_RESPONSIBILITY
role_3lm_second,clause_0364,HAS_RESPONSIBILITY
role_3lm_second,clause_0365,HAS_RESPONSIBILITY
role_3lm_second,clause_0366,HAS_RESPONSIBILITY
role_3lm_third,clause_0368,HAS_RESPONSIBILITY
role_3lm_third,clause_0369,HAS_RESPONSIBILITY
role_3lm_third,clause_0370,HAS_RESPONSIBILITY
role_governing_body,clause_0371,HAS_RESPONSIBILITY
