appendix_paragraph_id,appendix_id,appendix_section_id,paragraph_number,text,footnote_refs,source_document
APPA_P01,APP_A,,1,"As required by the Regulatory Flexibility Act (RFA), as amended, the Commission has prepared this present Initial Regulatory Flexibility Analysis (IRFA) of the expected significant economic impact on small entities by the policies and rules proposed in this Second Further Notice of Proposed Rulemaking (Second Further Notice). Written public comments are requested on this IRFA. Comments must be identified as responses to the IRFA and must be filed by the deadlines for comments on the Second Further Notice. The Commission will send a copy of the Second Further Notice, including this IRFA, to the Chief Counsel for Advocacy of the Small Business Administration. See 5 U.S.C. § 603(a). In addition, the Second Further Notice and IRFA (or summaries thereof) will be published in the Federal Register.",1,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_P02,APP_A,APPA_S_A,2,"The Commission is issuing the Second Further Notice to seek comment on an appropriate method by which carriers must secure their customers’ consent to use the customer’s CPNI. This is necessary to respond to the Tenth Circuit’s decision vacating the opt-in consent method. Under the opt-in method, a carrier was required to notify the customer of his or her rights with regard to CPNI and then obtain express written, oral or electronic customer approval before the carrier may use CPNI to market services to the customer that are outside the existing service relationship that the customer has with the carrier. The opt-in method is distinguished from the opt-out method under which approval to use the customer’s CPNI is inferred from the customer-carrier relationship unless the customer requests specifically that his or her CPNI be restricted.",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_P03,APP_A,APPA_S_A,3,"The Tenth Circuit concluded that although the Commission had asserted that the opt-in method would protect consumer privacy and promote competition for telecommunications services in accordance with the goals of Section 222 of the Act, it did not demonstrate that opt-in directly and materially advanced these interests. The court concluded that the Commission’s determination that an opt-in requirement would best protect a consumer’s privacy interests was not narrowly tailored because the Commission had failed to adequately consider an opt-out option. The court stated that an opt-out option should have been more fully investigated as it is inherently less restrictive of speech. Further, the court ruled the Commission did not adequately show that an opt-out strategy would not offer sufficient protection of consumer privacy. In vacating portions of the CPNI Order, the court did not require the Commission to find specifically that the opt-out option was the correct approach. Instead, it found fault with the Commission’s “inadequate consideration of the approval mechanism alternatives in light of the First Amendment.”",2;3;4,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_P04,APP_A,APPA_S_A,4,"Taking into account the Tenth Circuit’s concerns, we seek comment in the Second Further Notice on several significant issues concerning what methods of approval would serve the governmental interests at issue under Section 222 of the Act, and afford informed consent, while also satisfying the constitutional requirement that any restrictions on speech be narrowly tailored. We seek comment specifically on the extent to which an opt-in or opt-out method of customer approval would be consistent with both the court’s concerns and Section 222, and on whether we should make modification to our customer notification requirements in Section 64.7002 of our rules, 47 C.F.R. § 64.7002, based on the form of approval that we adopt.",5,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_P05,APP_A,APPA_S_A,5,"We also ask for information on any potential harms to business entities, especially smaller business entities within the class of companies directly affected by the proposed rule, that may arise from adopting either an opt-in or opt-out approach, including the extent to which dissemination of CPNI would affect a customer’s privacy. We also ask for comment on how we can ensure that the consent approach we adopt balances the interests of privacy, competition, equity and efficiency.",6;7,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_P06,APP_A,APPA_S_A,6,"In addition, we ask parties to indicate whether or not adoption of an opt- out mechanism undermines the total service approach. The total service approach is not a consent mechanism like the opt-in or opt-out approach, but instead describes the scope of services for which a customer grants his or her consent for the carrier to use CPNI. Specifically, under the total service approach, the customer’s implied approval is limited to the parameters of the customer’s existing service, while the customer must grant the carrier affirmative approval in order for the carrier to use the customer’s CPNI to market other services to the customer. If a carrier need not obtain the customer’s affirmative approval to market services not already subscribed to by the customer, is it necessary or appropriate for us to adopt an alternative to the total service approach.",8,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_P07,APP_A,APPA_S_B,7,"The Second Further Notice is adopted pursuant to Sections 1, 4(i), 222, and 303(r) of the Communications Act of 1934, as amended, 47 U.S.C. §§ 151, 154(i), 222, and 303(r).",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_P08,APP_A,APPA_S_C,8,"The RFA directs agencies to provide a description of and, where feasible, an estimate of the number of small entities that will be affected by our rules. The RFA generally defines the term ""small entity"" as having the same meaning as the terms ""small business,"" ""small organization,"" and ""small governmental jurisdiction."" For the purposes of this order, the RFA defines a ""small business"" to be the same as a ""small business concern"" under the Small Business Act, 15 U.S.C. s 632, unless the Commission has developed one or more definitions that are appropriate to its activities. Under the Small Business Act, a ""small business concern"" is one that: (1) is independently owned and operated; (2) is not dominant in its field of operation; and (3) meets any additional criteria established by the Small Business Administration (SBA). The SBA has defined a small business for Standard Industrial Classification (SIC) categories 4812 (Radiotelephone Communications) and 4813 (Telephone Communications, Except Radiotelephone) to be small entities when they have no more than 1,500 employees. We first discuss generally the total number of small telephone companies falling within both of those SIC categories. Then, we discuss the number of small businesses within the two subcategories, and attempt to refine further those estimates to correspond with the categories of telephone companies that are commonly used under our rules.",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_P09,APP_A,APPA_S_C,9,".Although affected incumbent local exchange carriers (ILECs) may have no more than 1,500 employees, we do not believe that such entities should be considered small entities within the meaning of the RFA because they either are dominant in their field of operations or are not independently owned and operated, and are therefore by definition not ""small entities"" or ""small business concerns"" under the RFA. Accordingly, our use of the terms ""small entities"" and ""small businesses"" does not encompass small ILECs. Out of an abundance of caution, however, for regulatory flexibility analysis purposes, we will separately consider small ILECs within this analysis and use the term ""small ILECs"" to refer to any ILECs that arguably might be defined by SBA as ""small business concerns.""",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
APPA_P10,APP_A,APPA_S_C,10,"Total Number of Telephone Companies Affected. The United States Bureau of the Census (the Census Bureau) reports that at the end of 1992, there were 3,497 firms engaged in providing telephone services, as defined therein, for at least one year. This number contains a variety of different categories of carriers, including local exchange carriers, interexchange carriers, competitive access providers, cellular carriers, mobile service carriers, operator service providers, pay telephone operators, PCS providers, covered SMR providers, and resellers. It seems certain that some of those 3,497 telephone service firms may not qualify as small entities because they are not ""independently owned and operated."" For example, a PCS provider that is affiliated with an interexchange carrier having more than 1,500 employees would not meet the definition of a small business. It seems reasonable to conclude, therefore, that fewer than 3,497 telephone service firms are either small entities or small incumbent LECs that may be affected by this order.",,KB 2/USA/Customer Proprietary Network Information Rules.pdf
