paragraph_id,parent_id,parent_type,level,label,text,amendment_history,source_document
DEF-2-business-transaction(a),DEF-2-business-transaction,Definition,paragraph,a,"the purchase, sale or other acquisition or disposition of an organization or a part of an organization, or any of its assets;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-2-business-transaction(b),DEF-2-business-transaction,Definition,paragraph,b,the merger or amalgamation of two or more organizations;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-2-business-transaction(c),DEF-2-business-transaction,Definition,paragraph,c,the making of a loan or provision of other financing to an organization or a part of an organization;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-2-business-transaction(d),DEF-2-business-transaction,Definition,paragraph,d,"the creating of a charge on, or the taking of a security interest in or a security on, any assets or securities of an organization;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-2-business-transaction(e),DEF-2-business-transaction,Definition,paragraph,e,the lease or licensing of any of an organization’s assets; and,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-2-business-transaction(f),DEF-2-business-transaction,Definition,paragraph,f,any other prescribed arrangement between two or more organizations to conduct a business activity. (transaction commerciale),,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-2-federal-work-undertaking-or-business(a),DEF-2-federal-work-undertaking-or-business,Definition,paragraph,a,"a work, undertaking or business that is operated or carried on for or in connection with navigation and shipping, whether inland or maritime, including the operation of ships and transportation by ship anywhere in Canada;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-2-federal-work-undertaking-or-business(b),DEF-2-federal-work-undertaking-or-business,Definition,paragraph,b,"a railway, canal, telegraph or other work or undertaking that connects a province with another province, or that extends beyond the limits of a province;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-2-federal-work-undertaking-or-business(c),DEF-2-federal-work-undertaking-or-business,Definition,paragraph,c,"a line of ships that connects a province with another province, or that extends beyond the limits of a province;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-2-federal-work-undertaking-or-business(d),DEF-2-federal-work-undertaking-or-business,Definition,paragraph,d,a ferry between a province and another province or between a province and a country other than Canada;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-2-federal-work-undertaking-or-business(e),DEF-2-federal-work-undertaking-or-business,Definition,paragraph,e,"aerodromes, aircraft or a line of air transportation;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-2-federal-work-undertaking-or-business(f),DEF-2-federal-work-undertaking-or-business,Definition,paragraph,f,a radio broadcasting station;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-2-federal-work-undertaking-or-business(g),DEF-2-federal-work-undertaking-or-business,Definition,paragraph,g,a bank or an authorized foreign bank as defined in section 2 of the Bank Act;,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
DEF-2-federal-work-undertaking-or-business(h),DEF-2-federal-work-undertaking-or-business,Definition,paragraph,h,"a work that, although wholly situated within a province, is before or after its execution declared by Parliament to be for the general advantage of Canada or for the advantage of two or more provinces;",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
