section_id,number,subheading,marginal_note,part_id,division_id,text,amendment_history,source_document
S-1,1,,Short title,,,This Act may be cited as the Personal Information Protection and Electronic Documents Act.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-2,2,,Definitions,PART-1,,,"2000, c. 5, s. 2; 2002, c. 8, s. 183; 2015, c. 32, s. 2.",KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-3,3,Purpose,Purpose,PART-1,,"The purpose of this Part is to establish, in an era in which technology increasingly facilitates the circulation and exchange of information, rules to govern the collection, use and disclosure of personal information in a manner that recognizes the right of privacy of individuals with respect to their personal information and the need of organizations to collect, use or disclose personal information for purposes that a reasonable person would consider appropriate in the circumstances.",,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-4,4,Application,Application,PART-1,,,"2000, c. 5, s. 4; 2015, c. 32, s. 3, c. 36, s. 164.",KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-4.01,4.01,,Business contact information,PART-1,,"This Part does not apply to an organization in respect of the business contact information of an individual that the organization collects, uses or discloses solely for the purpose of communicating or facilitating communication with the individual in relation to their employment, business or profession.","2015, c. 32, s. 4.",KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-4.1,4.1,,Certificate under Canada Evidence Act,PART-1,,,"2001, c. 41, s. 103; 2024, c. 16, s. 93.",KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-5,5,,Compliance with obligations,PART-1,DIV-1,,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-6,6,,Effect of designation of individual,PART-1,DIV-1,The designation of an individual under clause 4.1 of Schedule 1 does not relieve the organization of the obligation to comply with the obligations set out in that Schedule.,,KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-6.1,6.1,,Valid consent,PART-1,DIV-1,"For the purposes of clause 4.3 of Schedule 1, the consent of an individual is only valid if it is reasonable to expect that an individual to whom the organization’s activities are directed would understand the nature, purpose and consequences of the collection, use or disclosure of the personal information to which they are consenting.","2015, c. 32, s. 5.",KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
S-7,7,,Collection without knowledge or consent,PART-1,DIV-1,,"2000, c. 5, s. 7, c. 17, s. 97; 2001, c. 41, s. 81; 2004, c. 15, s. 98; 2015, c. 32, s. 6; 2024, c. 17, s. 347.",KB 2/Canada/Personal Information Protection and Electronic Documents Act.pdf
