article_id,article_label,article_number,chapter_id,paragraph_count,text,source_document
ART1,Article 1,1,CH1,1,"This Law is formulated in order to regulate the data handling activities, ensure data security, promote data development and use, protect the legitimate rights and interests of individuals and organizations, and safeguard national sovereignty, security, and development interests.",KB 2/China/Data Security Law of China.pdf
ART2,Article 2,2,CH1,2,"This Law shall apply to the data handling activities carried out within the territory of the People's Republic of China as well as the security regulation thereof. Where any data handling activity carried out outside of the territory of the People's Republic of China harms the national security, public interests, or the legitimate rights and interests of citizens or organizations of the People's Republic of China, legal liability shall be investigated in accordance with the law.",KB 2/China/Data Security Law of China.pdf
ART3,Article 3,3,CH1,3,"For the purpose of this Law, data shall refer to any record of information in electronic or other form. Data handling shall refer to the collection, storage, use, processing, transmission, provision and disclosure of data. Data security shall refer to the ability to ensure that data are being effectively protected and lawfully used and to keep the secure state by adopting necessary measures.",KB 2/China/Data Security Law of China.pdf
ART4,Article 4,4,CH1,1,"In ensuring data security, the overall national security concept shall be upheld, with data security governance systems established and perfected, and data security protection capabilities increased.",KB 2/China/Data Security Law of China.pdf
ART5,Article 5,5,CH1,1,"The central leadership organ of national security is responsible for the decision-making, deliberation and coordination in respect of data security work, and for researching, formulating, and guiding the implementation of national data security strategies and related significant guidelines and policies; coordinating the major matters and key work regarding national data security and establishing a national data security coordination mechanism.",KB 2/China/Data Security Law of China.pdf
ART6,Article 6,6,CH1,4,"All regions and departments assume primary responsibility for the data collected and generated in the work of their respective regions or departments as well as for data security. Competent departments of industries such as industry, telecommunications, transport, finance, natural resources, hygiene and health, education, and science and technology are responsible for the supervision of data security in respective industries or sectors. Public security organs and national security organs are, in accordance with this Law and the relevant laws and administrative regulations, responsible for the supervision of data security within their respective scope of duties. The national cyberspace administration authority is, in accordance with this Law and the relevant laws and administrative regulations, responsible for the comprehensive coordination of online data security and related supervision work.",KB 2/China/Data Security Law of China.pdf
ART7,Article 7,7,CH1,1,"The State shall protect the data-related rights and interests of individuals and organizations; encourage lawful, reasonable, and effective data use; ensure the lawful, orderly, and free flow of data; and stimulate the development of a digital economy with data as a key factor.",KB 2/China/Data Security Law of China.pdf
ART8,Article 8,8,CH1,2,"When conducting data handling activities, laws and administrative regulations shall be observed, social public morals and ethics respected, commercial and professional ethics followed, sincerity and trustworthiness upheld, data security protection obligations fulfilled, and social responsibilities undertaken. It is prohibited to harm national security or public interests or to harm the legitimate rights and interests of individuals and organizations.",KB 2/China/Data Security Law of China.pdf
ART9,Article 9,9,CH1,1,"The State shall support the promotion and publicity of data security knowledge, raise the awareness and capability of the whole society in data security protection, and urge the relevant departments, industrial organizations, research institutions, enterprises, and individuals to jointly participate in data security protection work, so as to create a beneficial environment in which all walks of life jointly safeguard data security and boost development.",KB 2/China/Data Security Law of China.pdf
ART10,Article 10,10,CH1,1,"Relevant industrial organizations shall, in accordance with their articles of association, legally formulate the code of conduct in and the group standards for data security, enhance industrial self-discipline, guide their members to strengthen data security protection, improve the level of data security protection and promote the healthy development of the industry.",KB 2/China/Data Security Law of China.pdf
ART11,Article 11,11,CH1,1,"The State shall actively engage in international exchange and cooperation in such areas as data security governance and data development and use, participate in the formulation of international rules and standards related to data security, and promote the secure and free flow of data across borders.",KB 2/China/Data Security Law of China.pdf
ART12,Article 12,12,CH1,2,Any individual or organization has the right to file a complaint or tip-off about violations of this Law with the relevant competent departments. Departments receiving complaints or tip-offs shall handle them promptly in accordance with the law. Relevant competent departments shall keep confidential the information on those filing the complaint or tip-off and protect their legitimate rights and interests.,KB 2/China/Data Security Law of China.pdf
ART13,Article 13,13,CH2,1,"The State shall coordinate both development and security, and adhere to promoting data security through data development and use and through industrial development, and ensuring data development and use and industrial development through data security.",KB 2/China/Data Security Law of China.pdf
ART14,Article 14,14,CH2,2,"The State shall implement a big data strategy to enhance data infrastructure construction, to encourage and support the innovative application of data in all industries and sectors. People's governments at or above the provincial level shall include the digital economy development in the national economic and social development planning at the respective level and formulate digital economy development plans as needed.",KB 2/China/Data Security Law of China.pdf
ART15,Article 15,15,CH2,1,"The State shall support the data development and use to make public services more intelligent. When providing such intelligent public services, it is required to fully consider the needs of the elderly and the handicapped and avoid causing any obstacle to their daily life.",KB 2/China/Data Security Law of China.pdf
ART16,Article 16,16,CH2,1,The State shall support the research on data development and use technologies and data security technologies; support the dissemination and commercial innovation of technologies in such areas as data development and use and data security; and foster and develop products and industry systems for data development and use and for data security.,KB 2/China/Data Security Law of China.pdf
ART17,Article 17,17,CH2,1,"The State shall advance the construction of the standard systems for the data development and use technology and those for data security. The administrative department of standardization under the State Council and the relevant departments of the State Council shall, according to their respective duties, organize the formulation and timely revision of standards concerning data development and use technologies and products and data security. The State shall support enterprises, social organizations, and education and research institutions to participate in the formulation of standards.",KB 2/China/Data Security Law of China.pdf
ART18,Article 18,18,CH2,2,"The State shall promote the development of services such as data security monitoring and assessment, and certification, and support specialized institutions to perform data security monitoring and assessment, and certification in providing services in accordance with the law. The State shall support relevant departments, industrial organizations, enterprises, education and research institutions, and relevant specialized institutions to conduct coordination in such areas as data security risk assessment, prevention and disposal.",KB 2/China/Data Security Law of China.pdf
ART19,Article 19,19,CH2,1,"The State shall establish and perfect the data transaction management systems, standardize data transaction activities, and cultivate a data transaction market.",KB 2/China/Data Security Law of China.pdf
ART20,Article 20,20,CH2,1,"The State shall support education and research institutions, enterprises and other organizations in carrying out education and training in respect of data development and use technology and data security, and in adopting a variety of methods to cultivate talent in data development and use technology and data security, and to promote talent exchange.",KB 2/China/Data Security Law of China.pdf
ART21,Article 21,21,CH3,3,"The State shall establish a classified and graded data protection system, and carry out classified and graded data protection in accordance with the degree of importance of data to economic and social development, and the damage to national security, public interests, or the legitimate rights and interests of individuals or organizations in the event that data are tampered with, destroyed, leaked, or illegally obtained or used. The national data security coordination mechanism shall make overall planning for and coordinate relevant departments in formulating the catalogues for important data and strengthening the protection of important data. Data that have a bearing on national security, the lifelines of national economy, umportant aspects of people's livelihood and major public interests shall constitute the core data of the State and shall be subject to stricter management system. Each region and department shall, in accordance with the classified and graded data protection system, determine the specific catalogue for important data for the respective region and department, and in relevant industries and areas, and undertake special protection for the data included in the catalogue.",KB 2/China/Data Security Law of China.pdf
ART22,Article 22,22,CH3,1,"The State shall establish a centralized, efficient, and authoritative mechanism for data security risk assessment, reporting, information sharing, supervision, and early warning. The national data security coordination mechanism shall make overall planning for and coordinate relevant departments in strengthening their work in the collection, analysis, determination, and early warning of the data security risk information.",KB 2/China/Data Security Law of China.pdf
ART23,Article 23,23,CH3,1,"The State shall establish a data security emergency response mechanism. In the event of a data security incident, the relevant competent department shall, in accordance with the law, activate a contingency plan, adopt appropriate emergency response measures, prevent expansion of harms, eliminate security hazards, and promptly publish the warning information related to the public.",KB 2/China/Data Security Law of China.pdf
ART24,Article 24,24,CH3,2,"The State shall establish a data security review system, where data handling activities that affect or may affect the national security will undergo national security review. Security review decisions issued in accordance with the law are final decisions.",KB 2/China/Data Security Law of China.pdf
ART25,Article 25,25,CH3,1,The State shall implement export controls in accordance with the law on data belonging to controlled categories and those relevant to safeguarding national security and interests and fulfilling international obligations.,KB 2/China/Data Security Law of China.pdf
ART26,Article 26,26,CH3,1,"For any country or region that adopts discriminatory prohibitions, limitations, or other similar measures related to data and data development and use technology, against the People's Republic of China, in investment, trade and other areas, the People's Republic of China may, depending on the actual circumstances, adopt the equivalent measures against such country or region.",KB 2/China/Data Security Law of China.pdf
ART27,Article 27,27,CH4,2,"Those conducting data handling activities shall, in accordance with laws and regulations, establish and perfect a data security management system across the entire workflow, organize and conduct data security education and training, and adopt the corresponding technical measures and other necessary measures to ensure data security. Those conducting data handling activities by using the internet or other information networks shall, based on the graded cybersecurity protection system, perform the aforesaid data security protection obligations. Those handling important data shall clearly specify responsible personnel and management bodies for data security and fully implement data security protection responsibilities.",KB 2/China/Data Security Law of China.pdf
ART28,Article 28,28,CH4,1,"Any data handling activity as well as the research and development of new data technologies shall benefit the advancement of economic and social development, enhance the people's welfare, and conform to social morals and ethics.",KB 2/China/Data Security Law of China.pdf
ART29,Article 29,29,CH4,1,"Those conducting data handling activities shall strengthen risk monitoring, and where they discover risks such as data security flaws and vulnerabilities, immediately adopt remedial measures; when data security incidents occur, they shall immediately take disposal measures, notify the users as required and report the matter to the relevant competent department.",KB 2/China/Data Security Law of China.pdf
ART30,Article 30,30,CH4,2,"Those handling important data shall, in accordance with relevant provisions, periodically conduct risk assessments for their data handling activities, and submit a risk assessment report to the relevant competent department. The risk assessment report shall include the categories and quantities of important data handled by the said organization, how data are handled, the data security risks faced and their countermeasures.",KB 2/China/Data Security Law of China.pdf
