paragraph_id,article_number,paragraph_number,text,source_document
art1_p1,1,1,"This Law is enacted in accordance with the Constitution to protect the personal information rights and interests, regulate the processing of personal information, and promote the reasonable use of personal information.",KB 2/China/Personal Information Protection Law.pdf
art2_p1,2,1,"The personal information of any natural person shall be protected by law, and no organization or individual may infringe upon the personal information rights and interests of any natural person.",KB 2/China/Personal Information Protection Law.pdf
art3_p1,3,1,This Law shall apply to the processing of the personal information of natural persons within the territory of the People's Republic of China.,KB 2/China/Personal Information Protection Law.pdf
art3_p2,3,2,This Law shall also apply to the activities carried out outside the territory of the People's Republic of China to process the personal information of natural persons within the territory of the People's Republic of China outside the territory of the People's Republic of China under any of the following circumstances:,KB 2/China/Personal Information Protection Law.pdf
art4_p1,4,1,"Personal information refers to various kinds of information related to identified or identifiable natural persons recorded by electronic or other means, excluding the information processed anonymously.",KB 2/China/Personal Information Protection Law.pdf
art4_p2,4,2,"Processing of personal information includes the collection, storage, use, processing, transmission, provision, publication, and erasure of personal information.",KB 2/China/Personal Information Protection Law.pdf
art5_p1,5,1,"Personal information shall be processed in accordance with the principles of legality, legitimacy, necessity, and good faith, and shall not be processed by misleading, fraud, coercion, or other means.",KB 2/China/Personal Information Protection Law.pdf
art6_p1,6,1,"Processing of personal information shall be for a definite and reasonable purpose, shall be directly related to the purpose of processing, and shall be processed in a manner that has the least impact on individual rights and interests.",KB 2/China/Personal Information Protection Law.pdf
art6_p2,6,2,Collection of personal information shall be limited to the minimum scope for the purpose of processing and shall not be excessively collected.,KB 2/China/Personal Information Protection Law.pdf
art7_p1,7,1,"Processing of personal information shall follow the principles of openness and transparency, disclose the rules for processing personal information, and expressly indicate the purpose, manner, and scope of processing.",KB 2/China/Personal Information Protection Law.pdf
art8_p1,8,1,"When processing personal information, the quality of personal information shall be ensured to avoid adverse effects on personal rights and interests caused by inaccurate and incomplete personal information.",KB 2/China/Personal Information Protection Law.pdf
art9_p1,9,1,Personal information processors shall be responsible for their processing of personal information and take necessary measures to ensure the security of the personal information processed.,KB 2/China/Personal Information Protection Law.pdf
art10_p1,10,1,"No organization or individual may illegally collect, use, process, or transmit other people's personal information, or illegally trade, provide, or disclose other people's personal information, or engage in the processing of personal information that endangers the national security or public interests.",KB 2/China/Personal Information Protection Law.pdf
art11_p1,11,1,"The State establishes a sound personal information protection system, prevent and punish the infringement of personal information rights and interests, strengthen the publicity and education on personal information protection, and promote the formation of a good environment for the government, enterprises, relevant social organizations and the public to jointly participate in personal information protection.",KB 2/China/Personal Information Protection Law.pdf
art12_p1,12,1,"The State actively participates in the formulation of international rules for personal information protection, promote the international exchange and cooperation in personal information protection, and drive the mutual recognition of the rules and standards for personal information protection with other countries, regions and international organizations.",KB 2/China/Personal Information Protection Law.pdf
art13_p1,13,1,Only under any of the following circumstances may a personal information processor process personal information:,KB 2/China/Personal Information Protection Law.pdf
art13_p2,13,2,"Individual consent shall be obtained for the processing of personal information stipulated in the other clauses of this Law, but in the circumstances specified in the preceding paragraph from (II) to (VII), the individual's consent is not required.",KB 2/China/Personal Information Protection Law.pdf
art14_p1,14,1,"Where the processing of personal information is based on the consent of the individual concerned, such consent shall be given by the individual concerned in a voluntary and explicit manner in the condition of full knowledge. If laws and administrative regulations provide that the processing of personal information shall be subject to the individual's separate consent or written consent, such provisions shall prevail.",KB 2/China/Personal Information Protection Law.pdf
art14_p2,14,2,"If the purpose or method of processing personal information or the type of personal information to be processed changes, the individual's consent shall be obtained again.",KB 2/China/Personal Information Protection Law.pdf
art15_p1,15,1,"Where the processing of personal information is based on the consent of the individual concerned, the individual is entitled to withdraw his/her consent. The personal information processor shall provide convenient means to withdraw consent.",KB 2/China/Personal Information Protection Law.pdf
art15_p2,15,2,The individual's withdrawal of consent does not affect the validity of the personal information processing activities conducted prior to the withdrawal based on the individual's consent.,KB 2/China/Personal Information Protection Law.pdf
