penalty_id,article_number,clause_id,sanction_text,min_amount,max_amount,applies_to,source_document
pen_66_basic_org,66,art66_p1,"order the processor to make rectification, give a warning to the processor and confiscate its illegal gains, or order the application that illegally processing personal information to suspend or terminate provision of services",,,personal information processor,KB 2/China/Personal Information Protection Law.pdf
pen_66_refusal_org,66,art66_p1,"if rectification is refused, a fine of not more than RMB 1 million shall be imposed concurrently on the processor",,RMB 1 million,personal information processor,KB 2/China/Personal Information Protection Law.pdf
pen_66_refusal_person,66,art66_p1,"a fine of not less than RMB 10,000 but not more than RMB 100,000 shall be imposed on the person directly in charge of the processor and other directly liable persons","RMB 10,000","RMB 100,000",person directly in charge and other directly liable persons,KB 2/China/Personal Information Protection Law.pdf
pen_66_serious_org,66,art66_p2,"order the processor to make rectification, confiscate its illegal gains and impose a fine of not more than RMB 50 million or not more than 5% of its turnover of the previous year on the processor, and may also order the processor to suspend relevant business or to suspend business for rectification, and notify the relevant competent departments to revoke the relevant business permit or business license",,RMB 50 million or 5% of turnover of the previous year,personal information processor,KB 2/China/Personal Information Protection Law.pdf
pen_66_serious_person,66,art66_p2,"a fine of not less than RMB 100,000 but not more than RMB 1 million shall be imposed on the persons directly in charge and other directly liable persons, and such persons may also be prohibited from serving as directors, supervisors, senior managers, and persons in charge of personal information protection of relevant enterprises for a certain period of time","RMB 100,000",RMB 1 million,persons directly in charge and other directly liable persons,KB 2/China/Personal Information Protection Law.pdf
pen_67_credit_archives,67,art67_p1,Any illegal act specified in this Law shall be recorded in the credit archives in accordance with the provisions of the relevant laws and administrative regulations and shall be disclosed to the public.,,,any violator,KB 2/China/Personal Information Protection Law.pdf
pen_68_state_organ,68,art68_p1,"its superior organ or the department performing the duties of personal information protection shall order it to make rectification, and impose sanctions on the person directly in charge and other directly liable persons according to law",,,state organ,KB 2/China/Personal Information Protection Law.pdf
pen_68_staff,68,art68_p2,"Where the staff of departments responsible for personal information protection guilty of dereliction of duties, abusing official powers, or malpractice for personal gain but yet to constitute a crime, they shall be punished pursuant to the law.",,,staff of departments performing duties of personal information protection,KB 2/China/Personal Information Protection Law.pdf
pen_69_tort_liability,69,art69_p1,"Where the right and interests of personal information are infringed upon due to personal information processing and causes damages, and the personal information processor cannot prove that it is not at fault, it shall bear the tort liability for damages.",,,personal information processor,KB 2/China/Personal Information Protection Law.pdf
pen_71_public_security_criminal,71,art71_p1,"Where a violation of the provisions of this Law constitutes a violation of public security administration, a public security administration punishment shall be imposed in accordance with the law; if a crime is constituted, criminal liability shall be investigated in accordance with the law.",,,any violator,KB 2/China/Personal Information Protection Law.pdf
