articulo_id,numero,titulo_id,capitulo_id,epigrafe,texto_encabezado,source_document
ART-1,1,TIT-I,,Objeto,"Objeto. La presente ley tiene por objeto desarrollar el derecho constitucional que tienen todas las personas a conocer, actualizar y rectificar las informaciones que se hayan recogido sobre ellas en bases de datos o archivos, y los demás derechos, libertades y garantías constitucionales a que se refiere el artículo 15 de la Constitución Política; así como el derecho a la información consagrado en el artículo 20 de la misma.",KB 2/South America/Ley_1581_de_2012.pdf
ART-2,2,TIT-I,,Ámbito de aplicación,Ámbito de aplicación. Los principios y disposiciones contenidas en la presente ley serán aplicables a los datos personales registrados en cualquier base de datos que los haga susceptibles de tratamiento por entidades de naturaleza pública o privada.,KB 2/South America/Ley_1581_de_2012.pdf
ART-3,3,TIT-I,,Definiciones,"Definiciones. Para los efectos de la presente ley, se entiende por:",KB 2/South America/Ley_1581_de_2012.pdf
ART-4,4,TIT-II,,Principios para el Tratamiento de datos personales,Principios para el Tratamiento de datos personales.,KB 2/South America/Ley_1581_de_2012.pdf
ART-5,5,TIT-III,,Datos sensibles,"Datos sensibles. Para los propósitos de la presente ley, se entiende por datos sensibles aquellos que afectan la intimidad del Titular o cuyo uso indebido puede generar su discriminación, tales como aquellos que revelen el origen racial o étnico, la orientación política, las convicciones religiosas o filosóficas, la pertenencia a sindicatos, organizaciones sociales, de derechos humanos o que promueva intereses de cualquier partido político o que garanticen los derechos y garantías de partidos políticos de oposición así como los datos relativos a la salud, a la vida sexual y los datos biométricos.",KB 2/South America/Ley_1581_de_2012.pdf
ART-6,6,TIT-III,,Tratamiento de datos sensibles,"Tratamiento de datos sensibles. Se prohíbe el Tratamiento de datos sensibles, excepto cuando:",KB 2/South America/Ley_1581_de_2012.pdf
ART-7,7,TIT-III,,"Derechos de los niños, niñas y adolescentes","Derechos de los niños, niñas y adolescentes.",KB 2/South America/Ley_1581_de_2012.pdf
ART-8,8,TIT-IV,,Derechos de los Titulares,Derechos de los Titulares. El Titular de los datos personales tendrá los siguientes derechos:,KB 2/South America/Ley_1581_de_2012.pdf
ART-9,9,TIT-IV,,Autorización del Titular,"Autorización del Titular. Sin perjuicio de las excepciones previstas en la ley, en el Tratamiento se requiere la autorización previa e informada del Titular, la cual deberá ser obtenida por cualquier medio que pueda ser objeto de consulta posterior.",KB 2/South America/Ley_1581_de_2012.pdf
ART-10,10,TIT-IV,,Casos en que no es necesaria la autorización,Casos en que no es necesaria la autorización. La autorización del Titular no será necesaria cuando se trate de:,KB 2/South America/Ley_1581_de_2012.pdf
